outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,color_group
breakfast,Level Change,0.791015615117281,0.6316401969982476,1.0462976642557076,0.791015615117281,1.0014864120806,2781.87391545128,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.578662823218862,0.2951798035071541,1.1242561210872126,0.578662823218862,1.00229380825252,2606.65160547935,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
chicken,Level Change,3.07329200820184,0.4731592967923075,9.461932302386032,3.07329200820184,1.01359567793817,193.770182941458,Pooled,POOLED,0,finalized_redone_trunc,Animal
chicken,Slope Change,0.575914621950477,0.1401495482091715,1.7221478727572153,0.575914621950477,1.00489722787976,273.753822087718,Pooled,POOLED,0,finalized_redone_trunc,Animal
dairy,Level Change,1.8267756913002,0.46978535738778454,4.722195784490514,1.8267756913002,1.03478837522252,101.909620991679,Pooled,POOLED,0,finalized_redone_trunc,Animal
dairy,Slope Change,0.549718731665847,0.1909308515987231,1.2324505137339636,0.549718731665847,1.07430866183758,36.1851602620564,Pooled,POOLED,0,finalized_redone_trunc,Animal
untextured,Level Change,1.80315481830063,0.4405278026410104,4.893441626355599,1.80315481830063,1.01262387316355,246.012674664336,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
untextured,Slope Change,0.560890569794186,0.27247863660007393,1.0513317614621376,0.560890569794186,1.01482366400901,373.064785122919,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
Total (A3),Level Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,Total
Total (A3),Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,Total
