outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Breakfast,Count,0.413625834559927,-0.14540036130628647,0.8677875659337135,1.5122911739183693,1.042229932375281,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Breakfast,Presence,1.61637907328041,-0.115575295,3.28513291075,5.03482653268651,1.175434548019233,1.03929795693809,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Chicken,Count,0.0528778604401933,-0.095095341325,0.20274414305,1.0543008654113624,1.005301791058936,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Chicken,Presence,1.70871373967508,-0.12193927125,3.380524756,5.521854365615298,1.1863381452386965,1.0023350263566,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Dairy,Count,0.0637193541205933,-0.037784495425,0.1897774495,1.065793246302642,1.0063922793797022,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Dairy,Presence,1.17650915544575,-0.2057644955,2.555701013,3.243033494267972,1.1248513746926279,1.0107209270943,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Egg,Count,0.0282665302720267,-0.046728961975,0.10115792055,1.0286698195339752,1.0028306517776764,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Egg,Presence,0.415589850282614,-0.76818951925,1.560595995,1.515264256195708,1.0424346480752498,1.02033701124177,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Untextured,Count,0.18430967329126,0.004671351625,0.59704421695,1.2023881129335208,1.018601865935078,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Untextured,Presence,1.91155010251508,0.37110095375,3.363054436,6.763564895877192,1.210647100248726,1.01196527918298,Pooled,POOLED,finalized_redone_trunc,NA,Animal
Total (A1),Count,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,NA,Total
Total (A1),Presence,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,NA,Total
Breakfast,Count,-0.231900591561333,-0.413303725,-0.0438690249999999,0.7930249527608402,0.9770767637397458,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Animal
Breakfast,Count,-0.2139341148,-0.289204,-0.14165485,0.8074015790848299,0.9788338043555568,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Animal
Breakfast,Count,0.263662259122,-0.0823285725,0.619426275,1.3016884886384126,1.02671688995908,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Breakfast,Count,0.0425655625988667,-0.222253825,0.33593315,1.0434844676846204,1.0042656282627465,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Animal
Breakfast,Count,-0.0220677221705667,-0.12362425,0.0679615475,0.978173988742354,0.9977956609146341,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal
