outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group,left_ok,right_ok,q1_lo,q1_hi
Breakfast,count,-0.09734097589445,-0.41147222275,0.336572609525,0.9072466041646221,0.9903131253899212,1.01384959533499,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.28816873922990915,0.09348678744100918
Breakfast,presence,-0.3647414043243,-1.6590535285,1.2215128,0.6943761903430454,0.9641830269300786,1.00445683423579,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-1.0995797534314429,0.37009694478284283
Chicken,count,0.066422452508725,-0.41498428,0.609829302,1.0686780875571114,1.0066643538850755,1.0291849385116,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.1950095837157648,0.32785448873321477
Chicken,presence,-0.0014867573545,-1.446637825,1.58282985,0.998514347321686,0.9998513353162395,1.05951113620135,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.7743101438340919,0.7713366291250919
Dairy,count,0.00504964875515,-0.11477082,0.14895083,1.0050624197186697,1.0005050923917407,1.04301689730938,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.06222628236729899,0.072325579877599
Dairy,presence,-0.1802926612419,-1.58312945,1.295415975,0.8350257959610875,0.9821322887321624,1.05244722412622,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.9146154737419,0.5540301512581
Egg,count,0.01926082279255,-0.45830725,0.570605655,1.0194475090908446,1.0019279383671964,1.00971805395007,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.2432169590952051,0.2817386046803051
Egg,presence,-0.13041978850255,-1.689810725,1.401210575,0.8777268939137304,0.9870426992329139,1.00209049997432,Pooled,POOLED,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-0.9189456303392847,0.6581060533341847
Breakfast,count,NA,NA,-2.379518730505657,0.9180909223598803,0.9914905273456369,1.00051940109184,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Breakfast,count,NA,NA,-3.687212544180564,0.9087548413660104,0.9904776353357077,1.00135147617202,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Breakfast,count,NA,NA,-1.6113312035792158,0.9289940059573171,0.9926617581137516,1.00141330875495,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Breakfast,presence,-1.84113760842503,NA,1.0346464923812353,1.1719122974095706,1.0159901819548163,1.00949610724137,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Breakfast,presence,NA,NA,NA,0.5430203242001285,0.9407659895747631,1.00090432202296,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,NA,NA,NA,NA
Breakfast,presence,NA,NA,-1.3378990367942134,0.9074265703271228,0.9903327680036367,1.00020235085789,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Chicken,count,-2.750323941514135,-3.8840949009838694,-2.2412339116565034,1.0659934227243624,1.0064111797603597,1.00804122735506,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-3.169421132669075,-2.331226750359195
Chicken,count,-2.1049121765210423,-2.9686747522488726,-1.6139701676036966,1.1295918532334905,1.0122601849411321,1.01169826637439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-2.450500080767261,-1.759324272274824
Chicken,presence,-0.43171210510681146,NA,1.3765880317459402,1.914384780665158,1.067094602755496,1.27877389871633,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Chicken,presence,-1.4567251765146114,-2.97679315623016,-0.8703464586516673,1.2623790229906091,1.0235733663939863,1.19599406244112,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-1.9940840279376963,-0.9193663250915265
Dairy,count,-3.422279519852917,NA,-2.787990117183983,1.0331764112598294,1.0032691271005447,1.00435876447176,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Dairy,count,-3.3143712031669583,-4.657173311193307,-2.768961428829946,1.037025897582699,1.0036423073883043,1.00217427761834,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-3.7960579078514893,-2.8326844984824273
Dairy,count,-3.3073005082754685,-4.136892576708176,-2.84182961019456,1.0372934635556625,1.003668199640089,1.00078091652972,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-3.637673714018738,-2.976927302532199
Dairy,presence,NA,NA,-2.0132153205094916,0.9974875661837039,0.9997484721109899,1.0015769211772,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Dairy,presence,-0.3661365281874116,NA,2.0947525095502795,2.000521956962979,1.0718014302329906,1.02563823479992,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Dairy,presence,-2.4138369969134708,NA,0.8019030380154895,1.093595983703037,1.008987278624293,1.04281900025207,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Egg,count,-3.573628495994156,NA,-2.643144134236596,1.0284510911466853,1.0028093263224127,1.00016169848942,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Egg,count,-2.902726270791495,-3.7720033788651053,-2.432628091432439,1.056406882165928,1.0055024246504205,1.00169102375439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-3.244403640034522,-2.561048901548468
Egg,presence,-2.3277730362708655,NA,-1.0915505564949983,1.1024254010811956,1.0097989647742103,1.00071507392661,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Egg,presence,-2.741394990083061,NA,0.6478241863042531,1.0666046029359755,1.0064688667914525,1.00288863213436,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,NA,TRUE,NA,NA
Untextured,count,-2.4233389371199294,-4.700566509502679,-1.6273131009344237,1.0926710561761415,1.0089019093015008,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-3.207332153591423,-1.6393457206484356
Untextured,presence,-2.4233389371199294,-4.700566509502679,-1.6273131009344237,1.0926710561761415,1.0089019093015008,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal,FALSE,TRUE,-3.207332153591423,-1.6393457206484356
