outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group
nonvegan,level change,-0.01156681865546,-0.15558306225,0.1268545825,0.9884998198122878,1.0054869099888,298.361503510312,Pooled,POOLED,NA,Animal
nonvegan,slope change,-0.0224140692511667,-0.5851495525,0.607218307499999,0.9778352596993278,1.0125179070703,191.283274414355,Pooled,POOLED,NA,Animal
meat,level change,-0.0515458217356417,-0.196491745,0.0682088404749998,0.949760129307543,1.00843448540077,270.746286548926,Pooled,POOLED,NA,Animal
meat,slope change,-0.06970874236,-0.6330438,0.575032719999999,0.9326654262812805,1.01267495310015,156.898175744979,Pooled,POOLED,NA,Animal
chicken_fish,level change,-0.125023383293779,-0.4577375775,0.0715158824999997,0.8824762671415265,1.00715027696486,257.958189996171,Pooled,POOLED,NA,Animal
chicken_fish,slope change,-0.0531767362985,-0.973155275,0.725514925,0.948212414120114,1.01029087752891,172.95457642446,Pooled,POOLED,NA,Animal
vegetarian,level change,0.02279581698392,-0.2070599775,0.242200262499999,1.0230576272278185,1.00810402521669,195.985750316224,Pooled,POOLED,NA,Plant-based
vegetarian,slope change,-0.211684344173833,-0.721143525,0.443217375,0.8092200922927462,1.00827763504912,269.348375615244,Pooled,POOLED,NA,Plant-based
vegan,level change,0.0502205714610067,-0.1058197375,0.2526696325,1.0515030023526457,1.11280527792349,44.9607545391671,Pooled,POOLED,NA,Plant-based
vegan,slope change,-0.508060010944533,-1.1539442725,0.267734644999999,0.601661664393932,1.19193774149202,12.1453669129391,Pooled,POOLED,NA,Plant-based
nonvegan,level change,-0.004326495893465,-0.098383618,0.088801346,0.9956828499068462,1.00213702795001,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
nonvegan,level change,0.00205953196846667,-0.12915534875,0.13415597575,1.0020616542611578,1.0012141763866,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
nonvegan,level change,-2.05851669988333e-4,-0.12772823,0.1255956175,0.999794169516013,1.00365733255183,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
nonvegan,level change,-0.010992989161675,-0.231024055,0.2091912775,0.989067212941384,1.00697521343268,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
nonvegan,level change,-0.00656651544097,-0.1202865875,0.10236923225,0.9934549970085157,1.0075502508655,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
nonvegan,level change,-0.00462039271508333,-0.2207202175,0.22172885,0.9953902648789296,1.00167034575112,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
nonvegan,level change,-0.00869960807488167,-0.17356367065,0.1606306125,0.991338124018028,1.00328462096792,NA,Restaurant,ED5J990H5VAZT,NA,Animal
nonvegan,slope change,0.0033385714675,-0.7948563775,0.7811867575,1.0033441507043876,1.00273597393716,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
nonvegan,slope change,0.0714288369,-0.9706004,1.111971125,1.0740417158436466,1.00379043120527,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
nonvegan,slope change,-0.01884657363356,-1.06452695,0.998950565,0.9813299125760808,1.0023764034557,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
nonvegan,slope change,-0.00549120832833333,-0.632733275,0.650631975,0.994523840797557,1.00227086052122,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
nonvegan,slope change,0.0359030898333333,-0.227601775,0.287130525,1.0365553888678254,1.00253002132776,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
nonvegan,slope change,-0.0444581928603333,-1.0637468,0.9085372,0.956515588438515,1.00553222410993,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
nonvegan,slope change,-0.0631630229,-0.420181525,0.3076127,0.938790416877338,1.00786491081674,NA,Restaurant,ED5J990H5VAZT,NA,Animal
meat,level change,-0.0107097677306432,-0.095895804074975,0.083508305,0.9893473776452713,1.00849633443374,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
meat,level change,-0.03521997703165,-0.1707753375,0.0951887224999999,0.9653930286054121,1.00932418130737,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
meat,level change,-0.0312409295634333,-0.15562929675,0.0918786699999999,0.9692420258847866,1.01075257495245,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
meat,level change,-0.00290875880048333,-0.220236355,0.2038355725,0.997095467539602,1.01274779120605,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
meat,level change,-0.0528121193490867,-0.15812127525,0.0487243025,0.9485582114759038,1.00602192905919,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
meat,level change,-0.1125533608442,-0.340125069,0.0494060825,0.893549665271882,1.02316659598929,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
meat,level change,-0.056370865015,-0.2471748825,0.1057917075,0.9451885335216761,1.01134523027309,NA,Restaurant,ED5J990H5VAZT,NA,Animal
meat,slope change,-0.0706734143305,-0.874713075,0.6794081,0.9317661439126785,1.01931082495892,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
meat,slope change,-0.0134660886,-1.037807775,0.997839575,0.9866241735574377,1.0126446578946,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
meat,slope change,0.00206561842683333,-0.9733100125,1.006856675,1.0020677532862579,1.01511239817326,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal
meat,slope change,-0.142242448235733,-0.8509039125,0.462914375,0.8674109287408202,1.01213557189119,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
meat,slope change,-7.51015000000001e-4,-0.25737815000000003,0.2494715,0.99924926694118,1.00796890264033,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
meat,slope change,-0.144976476441667,-1.12941955,0.690775525,0.8650426417524479,1.0094429261991,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
meat,slope change,-0.00327840666833333,-0.39810655,0.38769485,0.9967269614389263,1.00588629556991,NA,Restaurant,ED5J990H5VAZT,NA,Animal
chicken_fish,level change,-0.0534587504920817,-0.148374487,0.04006447425,0.9479450424638748,1.00067421367054,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
chicken_fish,level change,-0.128924920431417,-0.37509174,0.0604660125,0.8790399610091365,1.00402756843356,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
chicken_fish,level change,0.00319216870213333,-0.081546765,0.0921298525,1.003197269098309,1.00384556577936,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
chicken_fish,level change,-0.0542075405662717,-0.511012825,0.314305175,0.947235496308912,1.01116506505875,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
chicken_fish,level change,-0.160514506784867,-0.650232375,0.0717724875,0.8517054679743373,1.01483584978293,NA,Restaurant,ED5J990H5VAZT,NA,Animal
chicken_fish,slope change,0.159069675535833,-0.58916165,0.8377832,1.172419632801059,1.01097950154827,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
chicken_fish,slope change,0.39690350124635,-0.107381875,0.839107725,1.4872124089827363,1.01709800122419,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
chicken_fish,slope change,0.702246666666667,0.517384075,0.901810825,2.0182820245810005,1.01275472343718,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
chicken_fish,slope change,0.729539077321333,-0.74349705,2.292237,2.074124376353264,1.00640192193733,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
chicken_fish,slope change,1.20320064206667,0.541832625,1.85574425,3.3307604526043155,1.0338340291338,NA,Restaurant,ED5J990H5VAZT,NA,Animal
vegetarian,level change,0.00246561947891833,-0.093502193,0.100538295,1.0024686616183647,1.00742770595527,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based
vegetarian,level change,0.112650552704467,-0.032992895,0.2669168225,1.1192407489507006,1.00558923134898,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegetarian,level change,0.07483157605085,-0.060775915,0.21648759125,1.0777026246663237,1.0014710377254,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegetarian,level change,-0.127092771385253,-0.3529214715,0.12961400725,0.8806519695042243,1.00739092510768,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based
vegetarian,level change,0.0102841336051967,-0.1065583045,0.123719495,1.0103371970550703,1.00366875466987,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based
vegetarian,level change,0.17207479306115,-0.118267155,0.460726335,1.1877666665967308,1.00660212143176,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based
vegetarian,level change,0.0436025242499,-0.11069346,0.2014470875,1.0445670822789566,1.00140001330909,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based
vegetarian,slope change,-0.141155771652333,-0.824233415,0.637645345,0.8683540362188672,1.00735009491093,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based
vegetarian,slope change,0.513518320013667,-0.563551025,1.5300930675,1.671160541350598,1.00157577463286,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegetarian,slope change,-0.328127887973833,-1.373599825,0.763537375,0.7202708998289247,1.00336043910131,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegetarian,slope change,-0.221875183627717,-0.83265493,0.514005999999998,0.8010153379239817,1.00611207329819,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based
vegetarian,slope change,-0.325631754433333,-0.5896036,-0.0692891750000002,0.7220710379381158,1.00566941679393,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based
vegetarian,slope change,-0.20534391605,-1.23232535,1.008425375,0.814367194296218,1.00306127468147,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based
vegetarian,slope change,-0.211974565267167,-0.530876675,0.1119229,0.808985273629126,1.0024688889752,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based
vegan,level change,0.0993048827309183,1.16964999999996e-4,0.2001474075,1.1044029616260236,1.02384872661219,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based
vegan,level change,0.04240487335575,-0.0988687225,0.18380095,1.043316804426506,1.03783814691113,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegan,level change,0.105826272695517,-0.020404625,0.242964845,1.1116287394659345,1.02504264770117,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegan,level change,0.0341476222090833,-0.1489416875,0.2452643175,1.034737345666799,1.25545174619698,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based
vegan,level change,-0.031187621534575,-0.145804769,0.0720115175,0.9692936956438675,1.07888797985878,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based
vegan,level change,0.0297701124235183,-0.201207005,0.301089885,1.0302176724848293,1.06277456372204,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based
vegan,level change,0.112558884657933,-0.0644795475,0.3801991125,1.1191381550400066,1.14096959748108,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based
vegan,slope change,-0.802642116665317,-1.721547615,0.00986096499999965,0.4481433515260191,1.13133825122152,NA,Restaurant,VLZX7K2M9QD4T,NA,Plant-based
vegan,slope change,0.596141604267773,-0.562356625,1.578152025,1.8151018906998597,1.02955697953501,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegan,slope change,0.3694829917085,-0.63024587,1.53090185,1.4469863173182862,1.03625785866938,NA,Restaurant,SRQS8F7JWA9MZ,NA,Plant-based
vegan,slope change,-0.435589897875952,-0.988154235,0.0659202249999998,0.6468829596210245,1.13272139155999,NA,Restaurant,2HRX9P6HKXA8V,NA,Plant-based
vegan,slope change,-0.652151044453917,-0.8826556075,-0.4260195,0.5209240399735934,1.03119617499719,NA,Restaurant,JHDN7CF1C03X5,NA,Plant-based
vegan,slope change,0.0738086306062333,-1.2791271725,1.6822534,1.0766007573469318,1.21539671855214,NA,Restaurant,L69HYJ4Y3TR91,NA,Plant-based
vegan,slope change,-0.2215176237581,-0.585292425,0.171544075,0.8013018000744037,1.03612606721086,NA,Restaurant,ED5J990H5VAZT,NA,Plant-based
