outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
nonvegan,level change,0.10366673480327,1.1092307253141096,-0.204581049,0.43815910325,1.00106356145795,1279.60284792116,Pooled,POOLED,NA,Animal,22,NA,0.5
nonvegan,slope change,0.26016730859445,1.297147092368625,-0.128586967,0.65098592825,1.00038859036906,1582.7839629192,Pooled,POOLED,NA,Animal,22,NA,0.5
meat,level change,-0.0424933598275681,0.9583968294200238,-0.2370239815,0.141592891,1.69921625850374,696.747937932313,Pooled,POOLED,NA,Animal,22,NA,0.5
meat,slope change,0.10470800641804,1.1103863373311915,-0.22293605475,0.55350397275,1.25259089992189,20.111373835968,Pooled,POOLED,NA,Animal,22,NA,0.5
chicken_fish,level change,0.0138767870051333,1.0139735165276993,-0.2296153,0.261269475,1.13349842644907,18.8462203546077,Pooled,POOLED,NA,Animal,25,NA,0.5
chicken_fish,slope change,0.467816205957667,1.5965039478060814,0.09201036,0.84751345,1.03796914604619,50.9690407151888,Pooled,POOLED,NA,Animal,25,NA,0.5
vegetarian,level change,0.1153585447141,1.122275751482322,-0.13547605,0.478972375,1.22097268383495,11.7787782839776,Pooled,POOLED,NA,Plant-based,27,NA,0.5
vegetarian,slope change,0.121339379375,1.1290080093886494,0.0065066095,0.236266575,1.01304501188119,33.1571399804258,Pooled,POOLED,NA,Plant-based,27,NA,0.5
vegan,level change,0.187483462664,1.2062103017509938,-0.1799741,0.48212085,1.04002359987779,15.3156264336368,Pooled,POOLED,NA,Plant-based,27,NA,0.5
vegan,slope change,0.114433069728,1.1212375938153936,-0.0016599765,0.293085925,1.09873305935545,43.1107127184188,Pooled,POOLED,NA,Plant-based,27,NA,0.5
nonvegan,level change,0.131028262406404,NA,-0.07257069283483537,0.35065687161316933,1.00056035937867,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,22,9,0.5
nonvegan,level change,0.12221763272424911,NA,-0.06187540371808753,0.30010459245033816,1.00041769816751,NA,Restaurant,ED5J990H5VAZT,NA,Animal,22,7,0.5
nonvegan,level change,0.45107561936021673,NA,0.2151113796169455,0.6981347220709843,0.999804027920253,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,18,0.5
nonvegan,level change,-0.5978370007556204,NA,-0.9675840262617056,-0.2484613592984996,1.00111612127789,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,19,0.5
nonvegan,level change,0.09531017980432493,NA,-0.21072103131565253,0.3852624007906449,1.00184867971932,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,20,0.5
nonvegan,level change,0.11332868530700327,NA,-0.21072103131565253,0.44468582126144574,1.0001061106968,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,21,0.5
nonvegan,level change,0.04879016416943205,NA,-0.23572233352106983,0.3293037471426003,1.00032787535649,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,22,0.5
nonvegan,level change,1.2669476034873244,NA,0.6626879730752367,1.8870696490323797,1.00217023760036,NA,Restaurant,EMBVNVD207CC6,NA,Animal,22,8,0.5
nonvegan,level change,0.131028262406404,NA,-0.8209805520698302,1.0473189942805592,0.999830541200895,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,5,0.5
nonvegan,level change,0.2468600779315258,NA,-0.4620354595965587,1.0188473201992472,1.00088310326441,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,6,0.5
nonvegan,level change,0.06765864847381486,NA,-0.12783337150988489,0.27763173659827955,1.00094370372937,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,14,0.5
nonvegan,level change,0.16551443847757333,NA,-0.020202707317519466,0.34358970439007686,1.00030961515805,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,15,0.5
nonvegan,level change,0.22314355131420976,NA,0.0769610411361284,0.37843643572024505,1.00060644800254,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,16,0.5
nonvegan,level change,-0.06187540371808753,NA,-0.2613647641344075,0.131028262406404,1.00153838610351,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,17,0.5
nonvegan,level change,0.412109650826833,NA,0.20701416938432612,0.62057648772511,0.999803903959779,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,22,10,0.5
nonvegan,level change,-0.2231435513142097,NA,-0.4942963218147801,0.01980262729617973,1.00048474754531,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,22,13,0.5
nonvegan,level change,0.01980262729617973,NA,-0.09431067947124129,0.12221763272424911,1.00077177820756,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,22,12,0.5
nonvegan,level change,-0.7550225842780328,NA,-0.941608539858445,-0.579818495252942,0.999871494967809,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,22,1,0.5
nonvegan,level change,0.3293037471426003,NA,0.03922071315328133,0.6043159668533296,1.00122828106841,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,3,0.5
nonvegan,level change,0.29266961396282004,NA,-0.020202707317519466,0.6097655716208943,1.00002611067755,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,4,0.5
nonvegan,level change,0,NA,-0.4780358009429998,0.44468582126144574,1.00020851426585,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,22,11,0.5
nonvegan,level change,-0.11653381625595151,NA,-0.21072103131565253,-0.040821994520255166,1.00151596289341,NA,Restaurant,78AY09MVJVTYE,NA,Animal,22,2,0.5
nonvegan,slope change,0.9895411936137477,NA,0.3148107398400336,1.749199854809259,1.00087237465095,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,22,9,0.5
nonvegan,slope change,0.5822156198526637,NA,0.3364722366212129,0.8197798314933114,1.00016790920275,NA,Restaurant,ED5J990H5VAZT,NA,Animal,22,7,0.5
nonvegan,slope change,-0.2484613592984996,NA,-2.5257286443082556,1.8687205103641833,1.00160591653037,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,18,0.5
nonvegan,slope change,2.334083760053417,NA,0.3293037471426003,4.711240449715158,1.00175591609499,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,19,0.5
nonvegan,slope change,-1.3862943611198906,NA,-3.506557897319982,0.28517894223366247,1.00098057097108,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,20,0.5
nonvegan,slope change,-0.9942522733438669,NA,-3.506557897319982,0.9439058989071284,1.00264949423803,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,21,0.5
nonvegan,slope change,0.2468600779315258,NA,-1.8325814637483102,2.5603232890727545,1.00057214793968,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,22,0.5
nonvegan,slope change,0.6729444732424258,NA,0.3148107398400336,1.0784095813505903,1.00277278883214,NA,Restaurant,EMBVNVD207CC6,NA,Animal,22,8,0.5
nonvegan,slope change,-0.2231435513142097,NA,-1.3470736479666092,0.8586616190375187,1.0001315938362,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,5,0.5
nonvegan,slope change,0.4824261492442928,NA,-0.616186139423817,1.6544112780768316,1.00019276359852,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,6,0.5
nonvegan,slope change,-0.3285040669720361,NA,-2.659260036932778,1.7867469274045107,1.00090767711965,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,14,0.5
nonvegan,slope change,-0.11653381625595151,NA,-2.3025850929940455,2.075684492802124,1.00087914740179,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,15,0.5
nonvegan,slope change,-0.4307829160924542,NA,-1.3093333199837622,0.37843643572024505,1.00045802983302,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,16,0.5
nonvegan,slope change,1.1568811967920856,NA,-0.13926206733350766,2.614471854142644,1.00147180706663,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,17,0.5
