outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group,step_size
total,mpbamod,Count,0,0,0,1,1,NA,Pooled,POOLED,Total,0.12
total,mpbamod,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total,0.12
total,vegan,Count,0,0,0,1,1,NA,Pooled,POOLED,Total,0.12
total,vegan,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total,0.12
total,vegetarian,Count,0,0,0,1,1,NA,Pooled,POOLED,Total,0.12
total,vegetarian,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total,0.12
nonvegan,mpbamod,Count,0.00437301437234333,-0.068393783,0.079416367825,1.00508073275755,1.00044434101901,1.00056189053564,Pooled,POOLED,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-0.037127253849479,-1.6234557323,1.47306169405,1.30245129340097,0.999376457435162,1.00360910329107,Pooled,POOLED,Animal,0.021052631578947368
nonvegan,vegan,Count,0.006431929444935,-0.121845884175,0.1276731457,1.00841652991698,1.00066293445917,1.00398620412241,Pooled,POOLED,Animal,0.021052631578947368
nonvegan,vegan,Proportion,-0.114827068638187,-1.096112311,0.7851115315,0.997190672281089,0.989703123478078,1.00273386236915,Pooled,POOLED,Animal,0.021052631578947368
nonvegan,vegetarian,Count,0.00206155959086,-0.042639287365,0.04380000765,1.00230748749973,1.00020861068456,1.00339872863888,Pooled,POOLED,Animal,0.021052631578947368
nonvegan,vegetarian,Proportion,-0.148456564591615,-0.92892937775,0.672068917225,0.936864810810942,0.986076703645408,1.03252746942009,Pooled,POOLED,Animal,0.021052631578947368
meat,mpbamod,Count,0.0076069434123392,-0.061347250805,0.073328447525,1.00816019036618,1.00076619242496,1.00023192038229,Pooled,POOLED,Animal,0.021052631578947368
meat,mpbamod,Proportion,0.214474025785248,-1.2551413455,1.534878423625,1.58371268650484,1.02426717928531,1.62180190276185,Pooled,POOLED,Animal,0.021052631578947368
meat,vegan,Count,0.0036311302100345,-0.138567906744,0.145708730525,1.00622624860531,1.00038893082737,1.03774088429,Pooled,POOLED,Animal,0.021052631578947368
meat,vegan,Proportion,-0.345106237312567,-1.49221977475,0.8376495525,0.836716720404112,0.967684228939839,1.00333658072244,Pooled,POOLED,Animal,0.021052631578947368
meat,vegetarian,Count,-0.01450370595284,-0.05283894899125,0.02227233847,0.985780335369518,0.998552500223623,1.00164047837956,Pooled,POOLED,Animal,0.021052631578947368
meat,vegetarian,Proportion,-1.03863751196186,-1.8865428634999999,-0.180860103675,0.390390951112136,0.902212647178279,0.999939242075121,Pooled,POOLED,Animal,0.021052631578947368
chicken_fish,mpbamod,Count,0.0167902711194373,-0.0628784294135,0.096184612675,1.01769392462198,1.00168793723662,1.00063852885335,Pooled,POOLED,Animal,0.022222222222222223
chicken_fish,mpbamod,Proportion,-0.017015464090519,-1.615029404,1.58940038225,1.37730934330532,1.00171359305766,1.00312560585915,Pooled,POOLED,Animal,0.022222222222222223
chicken_fish,vegan,Count,-0.049817719843816,-0.162968139675,0.0578546459,0.953029530748632,0.995047633946727,1.00316881478204,Pooled,POOLED,Animal,0.022222222222222223
chicken_fish,vegan,Proportion,-0.931891869905863,-2.33572535,0.460992753925,0.511493631536105,0.913392864945756,1.00278823757493,Pooled,POOLED,Animal,0.022222222222222223
chicken_fish,vegetarian,Count,-0.021830546662573,-0.0681628927575,0.021726148515,0.97865252079758,0.997821840509633,1.00137997375096,Pooled,POOLED,Animal,0.022222222222222223
chicken_fish,vegetarian,Proportion,-1.8379360925361,-2.95718473475,-0.625306264475,0.190095909214767,0.833532901192528,1.00540853581113,Pooled,POOLED,Animal,0.022222222222222223
vegetarian,mpbamod,Count,0.00640255339796,-0.070653356325,0.08401082445,1.00720761140073,1.00064825793739,1.00986550584983,Pooled,POOLED,Plant-based,0.021052631578947368
vegetarian,mpbamod,Proportion,0.100308776323081,-1.399584982,1.727611643,1.52131897417438,1.01328551491492,1.02611729398468,Pooled,POOLED,Plant-based,0.021052631578947368
vegetarian,vegan,Count,-0.0148090182816,-0.122041994,0.08138211125,0.986664014102702,0.998534032897097,1.00211710872981,Pooled,POOLED,Plant-based,0.021052631578947368
vegetarian,vegan,Proportion,-0.122648613777967,-1.007268645,0.781784099,0.982808737119964,0.988831415039422,1.00214940861979,Pooled,POOLED,Plant-based,0.021052631578947368
vegetarian,vegetarian,Count,0.004099662522,-0.04096587575,0.0483676072,1.00435615564146,1.00041252465696,1.04278265808056,Pooled,POOLED,Plant-based,0.021052631578947368
vegetarian,vegetarian,Proportion,0.3559456921301,-0.4890819085,1.2248163055,1.57213393843071,1.03723568395833,1.01601935396981,Pooled,POOLED,Plant-based,0.021052631578947368
vegan,mpbamod,Count,0.02295664119546,-0.061005792175,0.1147979505665,1.02425956324775,1.00230843922715,1.0216551946903,Pooled,POOLED,Plant-based,0.021052631578947368
vegan,mpbamod,Proportion,0.294568694002414,-1.502531608,2.07409214225,2.03996900251632,1.03423281544657,1.010702546537,Pooled,POOLED,Plant-based,0.021052631578947368
vegan,vegan,Count,0.0241727119784,-0.08819497575,0.14353530715,1.02643049448861,1.0024393218941,1.0050888444834,Pooled,POOLED,Plant-based,0.022222222222222223
vegan,vegan,Proportion,0.310278658012033,-0.9118477025,1.5338730725,1.64687273837238,1.0334904089325,1.00467684333929,Pooled,POOLED,Plant-based,0.022222222222222223
vegan,vegetarian,Count,0.0147012359365,-0.043251167575,0.061773087175,1.0151691942769001,1.00147475621064,1.01591069401392,Pooled,POOLED,Plant-based,0.021052631578947368
vegan,vegetarian,Proportion,-0.138145936907567,-1.0341780625,0.82350301475,0.978124381207143,0.987405960288995,1.00386486160666,Pooled,POOLED,Plant-based,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-2.69426367474639,0.998362111141708,0.999781068333977,0.99980634594859,Restaurant,1SQPTEGYPH0GA,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-1.7551612690693974,0.995642555829206,0.999194286011009,1.00034753022509,Restaurant,2HRX9P6HKXA8V,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-2.4525535952053397,0.999816024504088,0.999900394175908,0.99979377936328,Restaurant,78AY09MVJVTYE,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-3.685165924806937,0.996547914790549,0.999645267834669,1.00138451815796,Restaurant,9XKJD8DQTH559,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-4.335754234104426,NA,-1.7788294645549643,1.01670061569369,1.00134494072465,1.00009539972885,Restaurant,C0BE4NDSW26QN,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-4.643645278225149,NA,-2.458802422462977,1.01038940134083,1.00096985782579,0.999204531021544,Restaurant,CB2KHY1C2G9PT,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-6.391982175018518,NA,-3.976622162937398,1.00172356464074,1.00016797928806,1.00071313230548,Restaurant,ED5J990H5VAZT,Animal,0.021052631578947368
