outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id
chicken_fish,Level Change,0.886960929985619,0.531519536279409,1.3331398507706296,1.0141907813973599,302.5436335575337,Pooled,POOLED
chicken_fish,Slope Change,1.0449739363193449,0.35370430907224554,3.2971946471421374,1.0056233690549492,218.11763516659528,Pooled,POOLED
meat,Level Change,0.8737550109209813,0.679385476795121,1.108373305608444,1.0224424046869391,207.96702437795895,Pooled,POOLED
meat,Slope Change,1.0086314964434495,0.516802701069362,2.069544428075222,1.0076592451551614,166.91263384823202,Pooled,POOLED
nonvegan,Level Change,0.9216654173731932,0.6465205465944419,1.429349613389221,1.0340943929081359,194.86201159707906,Pooled,POOLED
nonvegan,Slope Change,1.1224694849967434,0.6716178337545851,1.9705060245116275,1.0034112399455741,585.8714869099209,Pooled,POOLED
total,Level Change,0.9187272021535335,0.6677201869582541,1.30536112287027,1.0105556326874618,280.75874242511793,Pooled,POOLED
total,Slope Change,1.1562429355724637,0.6253069217396854,2.252104190565351,1.0105996776668091,361.6422560549174,Pooled,POOLED
vegan,Level Change,1.0761887290140961,0.8454004572342466,1.4228192277179907,1.0021956568984987,520.1290813586504,Pooled,POOLED
vegan,Slope Change,1.2302060154741175,0.569419860527648,2.8846901677535017,1.0138797027167834,404.01581307714935,Pooled,POOLED
vegetarian,Level Change,1.0017491502470843,0.6716949399077087,1.5754618619940732,1.0105415252153307,254.25474348350548,Pooled,POOLED
vegetarian,Slope Change,1.1097701656261925,0.7294541239311417,1.835651528697892,1.0062888848981826,320.6777311332847,Pooled,POOLED
chicken_fish,Level Change,0.86,0.58,1.24,1.0003892845300038,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Slope Change,0.64,0.08,4.11,1.0024113884582975,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Level Change,1.06,0.76,1.5,1.0035030053206344,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Slope Change,0.22,0.08,0.53,1.010563689296916,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Level Change,1.15,0.98,1.34,1.0017255038566186,NA,Restaurant,JHDN7CF1C03X5
chicken_fish,Slope Change,1.36,0.97,1.9,1.00129108772471,NA,Restaurant,JHDN7CF1C03X5
chicken_fish,Level Change,0.79,0.35,1.47,1.0025086211664147,NA,Restaurant,L69HYJ4Y3TR91
chicken_fish,Slope Change,1.61,0.21,15.64,1.0049243201662064,NA,Restaurant,L69HYJ4Y3TR91
chicken_fish,Level Change,0.65,0.33,1.09,1.0049814722458208,NA,Restaurant,ED5J990H5VAZT
chicken_fish,Slope Change,3.86,1.59,8.54,1.0077196726957152,NA,Restaurant,ED5J990H5VAZT
meat,Level Change,0.91,0.71,1.19,1.0109037096265812,NA,Restaurant,VLZX7K2M9QD4T
meat,Slope Change,0.9,0.24,3.03,1.0150599700245728,NA,Restaurant,VLZX7K2M9QD4T
meat,Level Change,0.91,0.79,1.08,1.017685898027836,NA,Restaurant,SRQS8F7JWA9MZ
meat,Level Change,0.93,0.81,1.09,1.005328864146317,NA,Restaurant,SRQS8F7JWA9MZ
meat,Slope Change,0.53,0.16,1.12,1.0110899763926144,NA,Restaurant,SRQS8F7JWA9MZ
meat,Slope Change,0.93,0.44,3.02,1.0110806286845522,NA,Restaurant,SRQS8F7JWA9MZ
meat,Level Change,0.71,0.53,0.93,1.0112357419886016,NA,Restaurant,2HRX9P6HKXA8V
meat,Slope Change,0.59,0.31,1.2,1.0076255378091512,NA,Restaurant,2HRX9P6HKXA8V
meat,Level Change,0.97,0.82,1.17,1.0194521104921865,NA,Restaurant,JHDN7CF1C03X5
meat,Slope Change,1.22,0.81,1.85,1.028455777009503,NA,Restaurant,JHDN7CF1C03X5
meat,Level Change,0.88,0.68,1.14,1.0061152228971593,NA,Restaurant,L69HYJ4Y3TR91
meat,Slope Change,1.89,0.68,8.74,1.003529329537834,NA,Restaurant,L69HYJ4Y3TR91
meat,Level Change,0.85,0.64,1.11,1.0007654449271268,NA,Restaurant,ED5J990H5VAZT
meat,Slope Change,1.2,0.73,1.97,1.0048465833308038,NA,Restaurant,ED5J990H5VAZT
nonvegan,Level Change,0.93,0.66,1.28,1.00274779802502,NA,Restaurant,VLZX7K2M9QD4T
nonvegan,Slope Change,1.03,0.33,2.87,1.0052252221859372,NA,Restaurant,VLZX7K2M9QD4T
nonvegan,Level Change,0.97,0.83,1.16,1.0015305792482094,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Level Change,0.97,0.83,1.15,1.0026452896926115,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,0.55,0.16,1.24,1.006648246421834,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,1,0.44,3.4,1.0062765565284861,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Level Change,0.57,0.42,0.78,1.009114515763538,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Slope Change,0.85,0.47,1.47,1.0057200384750475,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Level Change,0.94,0.78,1.12,1.0054111029707786,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Slope Change,1.16,0.78,1.77,1.0108812650290724,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Level Change,1.26,0.94,1.69,1.0015617042694294,NA,Restaurant,L69HYJ4Y3TR91
