outcome,exposure_type,mean,q2.5,q97.5,rhat,color_group
Breakfast,Count,1.4853769886884078,0.4181817007995872,5.483818966824944,1.0019869516533995,Animal
Breakfast,Presence,1.072861361546025,0.928016603178354,1.2330081080099968,1.0014174843965487,Animal
Chicken,Count,1.3064409724803934,0.7410527082308745,1.8015207602344898,1.3594314638501295,Animal
Chicken,Presence,1.022550907721578,0.9178684263958758,1.148224601882205,1.0167502513708846,Animal
Dairy,Count,1.0668578201564554,0.8519878609206819,1.2934007954019817,1.006627815936204,Animal
Dairy,Presence,1.0154990636749566,0.9090668024144689,1.1340800572092682,1.0015952401694972,Animal
Egg,Count,1.024503582282712,0.4441459408279575,2.0006355898523336,1.0073824542429093,Animal
Egg,Presence,1.005918940904494,0.9021529551124864,1.1286896126448995,1.0067691932642744,Animal
Untextured,Count,1.2130896890758616,0.6275428176533356,2.269837572571619,1.032232641361222,Animal
Untextured,Presence,1.061015201918291,0.9532758551067894,1.17176329027399,1.0273789664125732,Animal
Total (A1),Count,0.9451816219551971,0.7336471778950001,1.2485527430755314,1.0030038907063523,Total
Total (A1),Presence,0.9274977788581686,0.8139325327615096,1.061746695083981,1.0031043375165287,Total
