outcome,exposure_group,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
chicken_fish,mpbamod,Count,1.0313314079922524,0.9055163957278602,1.198057805262027,1.0103555292095219,Pooled,NA
chicken_fish,mpbamod,Proportion,0.9821144956880848,0.9383337622235058,1.0283438494433337,1.0020798810868754,Pooled,NA
chicken_fish,vegan,Count,1.1919197094450453,0.8832628449710513,1.5655815462254212,1.0312009483601763,Pooled,NA
chicken_fish,vegan,Proportion,1.0078278064692794,0.971493170538955,1.0416702088390901,1.0222835183809937,Pooled,NA
chicken_fish,vegetarian,Count,1.2138882168501206,0.7815448039920279,1.7194244281050668,1.0004088092648649,Pooled,NA
chicken_fish,vegetarian,Proportion,0.981946492810355,0.9281091588894027,1.0408393396360733,1.024860369233907,Pooled,NA
meat,mpbamod,Count,1.0013931363282955,0.949254143362104,1.0646998622933894,1.0020330743523618,Pooled,NA
meat,mpbamod,Proportion,0.9963468310294444,0.9758405859276815,1.0208854306431985,1.000026708504304,Pooled,NA
meat,vegan,Count,1.1540507495072996,0.8507461849062087,1.5227393244415275,1.004832215490452,Pooled,NA
meat,vegan,Proportion,1.031875377184961,0.9637824684214691,1.1031751865564183,1.0036259135973935,Pooled,NA
meat,vegetarian,Count,1.0838462582445123,0.8988758966817239,1.3080288377481022,1.0010460908021983,Pooled,NA
meat,vegetarian,Proportion,1.0005395089069733,0.9646892550437303,1.040513196899649,1.0021351687917333,Pooled,NA
nonvegan,mpbamod,Count,1.027533492313314,0.9799118160389637,1.0861276488696079,1.0042100432067587,Pooled,NA
nonvegan,mpbamod,Proportion,0.9966115467998597,0.9753928168942619,1.0240674668063148,1.0057052655045462,Pooled,NA
nonvegan,vegan,Count,1.2372916885305865,0.96429717409001,1.5832426435814873,1.0018615677413762,Pooled,NA
nonvegan,vegan,Proportion,1.0312703516058042,0.9669470954546469,1.101840314435498,1.0004674098529736,Pooled,NA
nonvegan,vegetarian,Count,1.1526412466856482,0.9242388454469284,1.4372846876981473,1.0045939329145208,Pooled,NA
nonvegan,vegetarian,Proportion,1.0070792875505123,0.9650845643806755,1.048188315375196,1.0033135070461412,Pooled,NA
total,mpbamod,Count,1.024170721441251,0.9750114689771372,1.0889058339390676,1.001890790557717,Pooled,NA
total,mpbamod,Proportion,0.9967760716565188,0.9761729064614828,1.0231746082948154,1.0021735419765714,Pooled,NA
total,vegan,Count,1.2400226199858464,0.9298391451489061,1.6384068716883864,1.0042501539329443,Pooled,NA
total,vegan,Proportion,1.0374996964724859,0.967875152222794,1.1090666990753084,1.001269042585763,Pooled,NA
total,vegetarian,Count,1.119011091985305,0.9270627678268244,1.3558070691396604,1.0086074871890118,Pooled,NA
total,vegetarian,Proportion,1.0106366620443044,0.9709138088264007,1.0517088263831749,1.0060718419006263,Pooled,NA
vegan,mpbamod,Count,1.0529975329962957,0.9903894602705898,1.1469867084721352,1.0010532350489425,Pooled,NA
vegan,mpbamod,Proportion,1.0073549548953469,0.973269540614835,1.0534390522979298,1.0008506751924802,Pooled,NA
vegan,vegan,Count,1.907832151032942,0.6475073073432007,5.345649219195217,1.01750368155828,Pooled,NA
vegan,vegan,Proportion,1.0868603759984514,0.9644902794672464,1.213525913131757,1.0015533162745784,Pooled,NA
vegan,vegetarian,Count,1.0870745123383556,1.0021336795614866,1.188370570106266,1.0019452137593117,Pooled,NA
vegan,vegetarian,Proportion,1.0113618993322682,0.9948032386292842,1.0316859977344903,1.0005975658513075,Pooled,NA
vegetarian,mpbamod,Count,1.094644738121491,0.9797451325184637,1.2330582308083262,1.0014758654715685,Pooled,NA
vegetarian,mpbamod,Proportion,1.048385377484354,0.9703165747585063,1.1367311145072787,1.0018924378661025,Pooled,NA
vegetarian,vegan,Count,1.2306554091671373,1.0384654763329713,1.474636472361886,1.005255445758403,Pooled,NA
vegetarian,vegan,Proportion,1.0079036719283327,0.9951216171513494,1.0260861601734834,1.0017571310291622,Pooled,NA
vegetarian,vegetarian,Count,1.162069999116446,0.9594974751120621,1.3910296106138038,1.0009671153451405,Pooled,NA
