outcome,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
Breakfast,Count,1.6939305689753341,0.6426299023519307,3.96857068140505,1.0224508242698191,Pooled,POOLED
Breakfast,Presence,1.1964419160375799,1.0578420487562232,1.345242776851003,1.0035084086881496,Pooled,POOLED
Chicken,Count,1.0787238396685999,0.7310906636807579,1.5239277530415003,1.0052690833191684,Pooled,POOLED
Chicken,Presence,1.0089175879460142,0.851217203261859,1.191999083777708,1.0011500629672099,Pooled,POOLED
Dairy,Count,1.459080749496712,0.8315488772968204,2.4674733700805307,1.002615583246039,Pooled,POOLED
Dairy,Presence,1.17785680870639,0.9976286745449271,1.3921794933896974,1.0018599412627727,Pooled,POOLED
Egg,Count,1.418478743496415,0.6061352700002616,2.903822579840726,1.0041831729686743,Pooled,POOLED
Egg,Presence,1.1413292242087452,0.9668922566052355,1.347663564354341,1.010853915109285,Pooled,POOLED
Untextured,Count,1.1379279538436111,0.7186115007839644,1.7351651566132669,1.084837786173446,Pooled,POOLED
Untextured,Presence,1.0619029020103288,0.9575684665006726,1.16662877415024,1.002192713043419,Pooled,POOLED
Breakfast,Count,0.99,0.88,1.11,1.0008624440375762,Restaurant,2HRX9P6HKXA8V
Breakfast,Count,1.43,1.29,1.59,1.0093655865588078,Restaurant,ED5J990H5VAZT
Breakfast,Count,1.05,1.03,1.07,1.0081184063018078,Restaurant,JHDN7CF1C03X5
Breakfast,Count,1.13,0.96,1.34,1.001873763049115,Restaurant,L69HYJ4Y3TR91
Breakfast,Count,0.97,0.92,1.03,1.0026350846012493,Restaurant,SRQS8F7JWA9MZ
Breakfast,Count,92.79,37.81,271.65,1.0008994196384082,Restaurant,W8T41JZK0ZMEP
Breakfast,Presence,1.4119881611527285,0.9872980226511102,2.0313481985418678,1.0025616317310848,Restaurant,2HRX9P6HKXA8V
Breakfast,Presence,1.0500712315941094,0.9979817686415696,1.1060507543320017,0.9998838222687716,Restaurant,ED5J990H5VAZT
Breakfast,Presence,1.2005466451282925,1.1337850122151276,1.274518842575128,1.0009134730346898,Restaurant,JHDN7CF1C03X5
Breakfast,Presence,1.233130542368271,1.0622949305906157,1.4340396932967785,1.0055399393746627,Restaurant,L69HYJ4Y3TR91
Breakfast,Presence,1.5757524726983725,1.446846990608697,1.7227783040287064,1.0007211607861017,Restaurant,SRQS8F7JWA9MZ
Breakfast,Presence,2.2678669985321567,1.8686664803796387,2.800409084918976,1.0042150823913876,Restaurant,W8T41JZK0ZMEP
Chicken,Count,1.1,1,1.22,1.0004421252944962,Restaurant,JHDN7CF1C03X5
Chicken,Count,1.08,1.02,1.15,1.0029113709116209,Restaurant,W8T41JZK0ZMEP
Chicken,Presence,1.0241896249073048,0.821509903954877,1.2887678912254956,1.0049006242790774,Restaurant,JHDN7CF1C03X5
Chicken,Presence,1.0019822247447452,0.7943282347242815,1.252352598549048,1.0050443687762944,Restaurant,W8T41JZK0ZMEP
Dairy,Count,2.3,2.04,2.6,1.0013562473567643,Restaurant,ED5J990H5VAZT
Dairy,Count,1.29,1.21,1.38,1.0043433534135424,Restaurant,JHDN7CF1C03X5
Dairy,Count,1.21,1.06,1.38,1.0020014887154918,Restaurant,W8T41JZK0ZMEP
Dairy,Presence,1.8984364858641605,1.6683403283046367,2.1810184946912514,1.0026999803253691,Restaurant,ED5J990H5VAZT
Dairy,Presence,1.3631303048502947,0.9621679608471888,1.9130578518168293,1.0013623539717604,Restaurant,JHDN7CF1C03X5
Dairy,Presence,1.3500902398141759,0.8977344508701224,1.9469985876846367,1.0102875505486657,Restaurant,W8T41JZK0ZMEP
Egg,Count,2.11,1.86,2.41,0.9999741570779579,Restaurant,ED5J990H5VAZT
Egg,Count,1.22,1.1,1.36,0.9997972193720877,Restaurant,W8T41JZK0ZMEP
Egg,Presence,1.6848893340689013,1.4674957598209584,1.9545099744631305,1.000656891731928,Restaurant,ED5J990H5VAZT
Egg,Presence,1.2337359095717821,0.8739716291356506,1.724861495169221,1.0020198927721684,Restaurant,W8T41JZK0ZMEP
Untextured,Count,1.01,0.92,1.1,1.0156108907706098,Restaurant,JHDN7CF1C03X5
Untextured,Count,1.02,0.96,1.08,1.0018770169154656,Restaurant,SRQS8F7JWA9MZ
Untextured,Count,1.48,1.32,1.67,1.0073606182808816,Restaurant,W8T41JZK0ZMEP
Untextured,Presence,1.0723081473268217,0.9895192582062144,1.163848588631034,1.0004874114661868,Restaurant,JHDN7CF1C03X5
Untextured,Presence,1.0765014734877172,0.9272776363420387,1.260676901113041,1.0049698193238235,Restaurant,SRQS8F7JWA9MZ
Untextured,Presence,1.055114547698332,0.9028804514474342,1.2098650390994656,1.007245077909482,Restaurant,W8T41JZK0ZMEP
