outcome,exposure_group,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
chicken_fish,mpbamod,Count,1.0110410324182162,0.9469782436787857,1.079516628775518,1.0016298845381857,Pooled,POOLED
chicken_fish,mpbamod,Proportion,0.9067105005931366,0.8151594831813271,1.0209504886401546,1.0012217715257823,Pooled,POOLED
chicken_fish,vegan,Count,1.1848112340692223,0.875398427980276,1.5865587300788013,1.0062134131599665,Pooled,POOLED
chicken_fish,vegan,Proportion,1.0685910506462868,0.9663936428499625,1.169233493084823,1.0007497525027378,Pooled,POOLED
chicken_fish,vegetarian,Count,1.0898140573749762,0.9401450707882834,1.263416235448173,1.0241133003916247,Pooled,POOLED
chicken_fish,vegetarian,Proportion,0.9636068272327757,0.8485573981365225,1.089515911825128,1.0005851288965681,Pooled,POOLED
meat,mpbamod,Count,0.981652220596333,0.9000636463424136,1.0335431855553794,1.0027696783020754,Pooled,POOLED
meat,mpbamod,Proportion,0.9399949107570077,0.8583298180813503,1.0301601596919219,1.0010525751005244,Pooled,POOLED
meat,vegan,Count,1.186706971539757,0.923280971171033,1.557088373387539,1.0034199247267381,Pooled,POOLED
meat,vegan,Proportion,1.0200137661704716,0.9229235690540668,1.1239071035851003,1.007930620374153,Pooled,POOLED
meat,vegetarian,Count,1.0317646939475995,0.9720829584150632,1.0955835350012468,1.0109756932823417,Pooled,POOLED
meat,vegetarian,Proportion,0.9335274654900352,0.840963853763534,1.0409205074524703,1.0034227667368416,Pooled,POOLED
nonvegan,mpbamod,Count,0.937472677406377,0.7242441642579528,1.1693898300537418,1.0128380748906831,Pooled,POOLED
nonvegan,mpbamod,Proportion,0.924907503349471,0.8258118218494134,1.0326095376917286,1.003939317329159,Pooled,POOLED
nonvegan,vegan,Count,1.205272591480005,0.8991184910730196,1.5679646076159957,1.0205838213354008,Pooled,POOLED
nonvegan,vegan,Proportion,1.0555866141316264,0.9614995230512188,1.150126803258952,1.002108533130963,Pooled,POOLED
nonvegan,vegetarian,Count,1.041766913469015,0.9596495915061113,1.129358926437888,1.0055064666233333,Pooled,POOLED
nonvegan,vegetarian,Proportion,0.9841947044487483,0.8946996979749076,1.0760541115287743,1.0039768960785953,Pooled,POOLED
total,mpbamod,Count,0.9451816219551971,0.7657059195447261,1.1624021117642949,1.0030038907063523,Pooled,POOLED
total,mpbamod,Proportion,0.9274977788581686,0.8321022492323739,1.0326876730484165,1.0031043375165287,Pooled,POOLED
total,vegan,Count,1.2238701706709478,0.9302770816046603,1.621083657505161,1.0025560683454244,Pooled,POOLED
total,vegan,Proportion,1.0765454099112668,0.9742074405877788,1.1765836177848747,1.0033492907196366,Pooled,POOLED
total,vegetarian,Count,1.0353422109873929,0.9644371471612934,1.1021001314636103,1.0015383510649216,Pooled,POOLED
total,vegetarian,Proportion,1.0090138382168288,0.9244176012814876,1.096117296331905,1.0044196380904333,Pooled,POOLED
vegan,mpbamod,Count,1.0231622012473065,0.9428261139607773,1.1074699617544668,1.0033128958808983,Pooled,POOLED
vegan,mpbamod,Proportion,0.9667823570493196,0.8732702118629335,1.0730078129185379,1.00461379492353,Pooled,POOLED
vegan,vegan,Count,1.18754051925924,1.0026882579025318,1.4284061610765046,1.0022608384141802,Pooled,POOLED
vegan,vegan,Proportion,1.1877821636035046,1.0755838602993286,1.2946240576079724,1.0004344556684406,Pooled,POOLED
vegan,vegetarian,Count,1.0311215119578465,1.0000966186822842,1.0652840689464405,1.002069433961768,Pooled,POOLED
vegan,vegetarian,Proportion,1.101025506067811,1.0164953352045158,1.1836858833043615,1.000502291554742,Pooled,POOLED
vegetarian,mpbamod,Count,0.973279429031271,0.772451620002438,1.1960737290604568,1.0079968216138122,Pooled,POOLED
vegetarian,mpbamod,Proportion,0.9571047641856049,0.846914782814744,1.0746027678372616,1.0001681002588378,Pooled,POOLED
vegetarian,vegan,Count,1.2155068806468692,0.9984226687965317,1.4834465790161153,1.0007540051449666,Pooled,POOLED
vegetarian,vegan,Proportion,1.0672070699858431,1.0013840013471145,1.1359179607028689,1.0014080846981681,Pooled,POOLED
vegetarian,vegetarian,Count,1.0583767209274706,0.9847585251467738,1.1300816649724152,1.0006540332150726,Pooled,POOLED
vegetarian,vegetarian,Proportion,1.0515913208215557,0.9524932724984284,1.157209380162535,1.00076389876857,Pooled,POOLED
chicken_fish,mpbamod,Count,1,0.89,1.12,1.0003941065806794,Restaurant,2HRX9P6HKXA8V
chicken_fish,mpbamod,Count,1.02,1,1.05,1.00043543573037,Restaurant,JHDN7CF1C03X5
chicken_fish,mpbamod,Count,1.02,0.92,1.19,1.000418454770266,Restaurant,L69HYJ4Y3TR91
chicken_fish,mpbamod,Count,0.98,0.94,1.03,1.0005598597037841,Restaurant,ED5J990H5VAZT
chicken_fish,mpbamod,Count,1.01,0.99,1.04,1.0003212189185562,Restaurant,W8T41JZK0ZMEP
chicken_fish,mpbamod,Proportion,0.8772762586965452,0.7042261140012369,1.10277817813286,1.0004542165228272,Restaurant,2HRX9P6HKXA8V
chicken_fish,mpbamod,Proportion,0.7767996097157338,0.7247796636776955,0.8513399225207846,1.0009908491261936,Restaurant,JHDN7CF1C03X5
chicken_fish,mpbamod,Proportion,0.9146993820210588,0.7411344491069477,1.1877941466750874,1.0010348050440956,Restaurant,L69HYJ4Y3TR91
chicken_fish,mpbamod,Proportion,0.8555037734677596,0.7767996097157338,0.9436670752867394,1.0009571374886064,Restaurant,ED5J990H5VAZT
chicken_fish,mpbamod,Proportion,0.9948838031081763,0.8555037734677596,1.1562261501379638,1.0018310831242891,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Count,0.99,0.74,1.29,1.000593576124522,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Count,1.01,1,1.03,1.000636430895935,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Count,1.39,1.16,1.67,1.0005990595321457,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Count,1.77,1.4,2.22,0.9999390667275283,Restaurant,ED5J990H5VAZT
chicken_fish,vegan,Count,1.01,0.99,1.03,1.0003424003315518,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Proportion,1.0448000141602642,0.8594928497600735,1.1968279729368279,1.0029216231837388,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Proportion,1.092850178048433,1.0067888050184637,1.1905279694526718,1.0005528607596925,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Proportion,1.1019462027587548,0.956352499790037,1.3119776792736872,1.001288644377638,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Proportion,1.055114547698332,0.9003405372962772,1.2005466451282925,1.0007074770708233,Restaurant,ED5J990H5VAZT
chicken_fish,vegan,Proportion,1.079552695180011,0.9791483623609768,1.1917709191687387,1.0020521712183463,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Count,1.13,0.98,1.33,1.0044996842337415,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Count,1.02,1.01,1.03,1.004781016803812,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Count,1.24,1.08,1.46,1.0038202696474052,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Count,1.18,1.09,1.27,1.0043420811474026,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Count,1,0.99,1.02,1.0006428607740931,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Proportion,1.0039297727022005,0.7767996097157338,1.2957331889981085,1.0023065996955665,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Proportion,1.1794615084841227,1.0868579428992127,1.281446362625798,1.0008398299804202,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Proportion,0.9453388051113798,0.7042261140012369,1.2589254117941673,1.001917348538704,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Proportion,0.6309573444801932,0,0.8513399225207846,1.005087292642368,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Proportion,0.9906132650954108,0.8376158603010033,1.155411233499692,1.0020950584997244,Restaurant,W8T41JZK0ZMEP
meat,mpbamod,Count,0.98,0.93,1.03,0.999915871964774,Restaurant,SRQS8F7JWA9MZ
meat,mpbamod,Count,0.89,0.64,1.02,1.003570589018142,Restaurant,2HRX9P6HKXA8V
meat,mpbamod,Count,0.98,0.96,1,1.0008039513103344,Restaurant,JHDN7CF1C03X5
meat,mpbamod,Count,1.03,0.95,1.18,1.0036756057816927,Restaurant,L69HYJ4Y3TR91
meat,mpbamod,Count,1.01,0.99,1.04,1.0009877036966013,Restaurant,ED5J990H5VAZT
meat,mpbamod,Count,1,0.98,1.02,1.000323226427914,Restaurant,W8T41JZK0ZMEP
meat,mpbamod,Proportion,0.9779327685429285,0.92118162761254,1.0371372893366482,1.0005707100580656,Restaurant,SRQS8F7JWA9MZ
meat,mpbamod,Proportion,0.7767996097157338,0,0.9815395625560397,1.0008971582861392,Restaurant,2HRX9P6HKXA8V
meat,mpbamod,Proportion,0.8154443636507333,0.754770860611584,0.8923084338428022,1.0002407573699574,Restaurant,JHDN7CF1C03X5
meat,mpbamod,Proportion,0.9938315630347766,0.8019351848161371,1.2908931990449974,1.000022247277456,Restaurant,L69HYJ4Y3TR91
meat,mpbamod,Proportion,1.0158242733348055,0.956352499790037,1.0790495235974156,1.0001463437432314,Restaurant,ED5J990H5VAZT
meat,mpbamod,Proportion,0.9635736363632673,0.8633219511791956,1.0785442314053602,1.0005326022787238,Restaurant,W8T41JZK0ZMEP
meat,vegan,Count,2.08,1.79,2.42,0.9998095131019148,Restaurant,SRQS8F7JWA9MZ
meat,vegan,Count,1.02,0.83,1.25,1.0016353540071203,Restaurant,2HRX9P6HKXA8V
meat,vegan,Count,0.99,0.98,1.01,1.0000305105643374,Restaurant,JHDN7CF1C03X5
meat,vegan,Count,1.09,1.03,1.16,1.0012910351088382,Restaurant,L69HYJ4Y3TR91
meat,vegan,Count,1.22,1.13,1.33,1.0014195038137939,Restaurant,ED5J990H5VAZT
meat,vegan,Count,0.99,0.98,1.01,0.999756636234879,Restaurant,W8T41JZK0ZMEP
meat,vegan,Proportion,1.2638727025115426,1.1946265724684626,1.339742348801407,0.9997779487384696,Restaurant,SRQS8F7JWA9MZ
meat,vegan,Proportion,0.9767034215585771,0.7767996097157338,1.2058445799940376,0.9999496521919647,Restaurant,2HRX9P6HKXA8V
meat,vegan,Proportion,0.9916965051523726,0.9190663078716547,1.0738979584144939,1.0010173571863343,Restaurant,JHDN7CF1C03X5
meat,vegan,Proportion,1.1794615084841227,0.9861703143068244,1.4195149239741365,0.9996913522429502,Restaurant,L69HYJ4Y3TR91
meat,vegan,Proportion,0.8923084338428022,0.7767996097157338,1.0104906465227195,1.0001055659047962,Restaurant,ED5J990H5VAZT
meat,vegan,Proportion,0.9146993820210588,0.821509903954877,1.0140743178387932,1.001981464058656,Restaurant,W8T41JZK0ZMEP
meat,vegetarian,Count,0.99,0.97,1.01,1.0001109123658585,Restaurant,SRQS8F7JWA9MZ
meat,vegetarian,Count,1.01,0.91,1.1,1.0045770222468915,Restaurant,2HRX9P6HKXA8V
meat,vegetarian,Count,1,0.99,1.01,1.0020721555382381,Restaurant,JHDN7CF1C03X5
meat,vegetarian,Count,1.08,1.04,1.13,1.0003873750459877,Restaurant,L69HYJ4Y3TR91
meat,vegetarian,Count,1.12,1.08,1.15,1.0003980219451063,Restaurant,ED5J990H5VAZT
meat,vegetarian,Count,0.99,0.98,1,0.9996225337913327,Restaurant,W8T41JZK0ZMEP
meat,vegetarian,Proportion,1.081049672035076,1.0334785804947872,1.128843996786771,1.000289940738101,Restaurant,SRQS8F7JWA9MZ
meat,vegetarian,Proportion,0.8835676359470228,0.7042261140012369,1.0820373898183429,0.9999607514167118,Restaurant,2HRX9P6HKXA8V
meat,vegetarian,Proportion,1.055114547698332,0.9850308790880502,1.1337850122151276,1.0006858342833038,Restaurant,JHDN7CF1C03X5
meat,vegetarian,Proportion,0.99899547129175,0.8271973337231157,1.2127152637614846,1.0002057625583194,Restaurant,L69HYJ4Y3TR91
meat,vegetarian,Proportion,0.7042261140012369,0.6309573444801932,0.8271973337231157,1.0006215108852978,Restaurant,ED5J990H5VAZT
meat,vegetarian,Proportion,0.7767996097157338,0.6762433378062414,0.8804725142695762,1.0009605393204635,Restaurant,W8T41JZK0ZMEP
nonvegan,mpbamod,Count,1.01,0.95,1.07,1.00129749506058,Restaurant,SRQS8F7JWA9MZ
nonvegan,mpbamod,Count,0.59,0.43,0.96,1.0169469111512408,Restaurant,2HRX9P6HKXA8V
nonvegan,mpbamod,Count,0.99,0.96,1.01,1.0006885734105253,Restaurant,JHDN7CF1C03X5
nonvegan,mpbamod,Count,1.12,0.98,1.29,1.0032164387976932,Restaurant,L69HYJ4Y3TR91
nonvegan,mpbamod,Count,1.02,1,1.04,1.0005308689675034,Restaurant,ED5J990H5VAZT
nonvegan,mpbamod,Count,1.02,1,1.05,1.0024163145314142,Restaurant,W8T41JZK0ZMEP
nonvegan,mpbamod,Proportion,1.0166891778440417,0.9517721299086175,1.087799358808552,0.9996238778395188,Restaurant,SRQS8F7JWA9MZ
nonvegan,mpbamod,Proportion,0.6309573444801932,0,0.8804725142695762,1.0009641120473451,Restaurant,2HRX9P6HKXA8V
nonvegan,mpbamod,Proportion,0.7767996097157338,0.7042261140012369,0.8469842998552983,1.0003215857902905,Restaurant,JHDN7CF1C03X5
nonvegan,mpbamod,Proportion,1.0487756308196965,0.8089433786991753,1.4105019153446545,1.0034127524529646,Restaurant,L69HYJ4Y3TR91
nonvegan,mpbamod,Proportion,1.0225651825635729,0.9767034215585771,1.0690633991544003,1.0001300236022084,Restaurant,ED5J990H5VAZT
nonvegan,mpbamod,Proportion,0.9146993820210588,0.8019351848161371,1.0454721296829765,1.0008196360566886,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Count,2.08,1.79,2.44,1.0006214081869294,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Count,1.03,0.84,1.26,1.002468423306259,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Count,1,0.99,1.02,1.0001709827119876,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Count,1.11,1.06,1.18,0.99983796199529,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Count,1.37,1.28,1.47,1.0007572744658806,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Count,1.03,1.01,1.04,1.000368077103717,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Proportion,1.2361310063581523,1.166626099269615,1.3129296775017545,1.001354203712108,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Proportion,1.0140743178387932,0.8154443636507333,1.2461455617083548,1.0005786402512349,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Proportion,1.0371372893366482,0.9548475870408182,1.1264698953516594,1.0020876471258129,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Proportion,1.2455924558106561,1.0599498142810273,1.4868089482473736,1.0027600450959178,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Proportion,0.9028804514474342,0.8154443636507333,1.0009955282949736,1.0005538865849628,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Proportion,1.025791204689333,0.92118162761254,1.1422184737661238,1.0005230681780437,Restaurant,W8T41JZK0ZMEP
nonvegan,vegetarian,Count,1.01,0.98,1.03,1.00169305645577,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegetarian,Count,0.95,0.84,1.06,0.999950432875878,Restaurant,2HRX9P6HKXA8V
nonvegan,vegetarian,Count,1.01,1,1.02,1.0006649011032498,Restaurant,JHDN7CF1C03X5
nonvegan,vegetarian,Count,1.09,1.05,1.13,1.0007202875744023,Restaurant,L69HYJ4Y3TR91
nonvegan,vegetarian,Count,1.17,1.14,1.2,0.9996465709115532,Restaurant,ED5J990H5VAZT
nonvegan,vegetarian,Count,1.02,1.01,1.03,1.0002382854351997,Restaurant,W8T41JZK0ZMEP
nonvegan,vegetarian,Proportion,1.1201496277835286,1.06684993901576,1.1780961125092395,0.9999027001412419,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegetarian,Proportion,0.8513399225207846,0.6762433378062414,1.0413797439924106,1.0028085171873335,Restaurant,2HRX9P6HKXA8V
nonvegan,vegetarian,Proportion,1.0985605433061179,1.0175475106035239,1.1896928008769756,1.0000612822047201,Restaurant,JHDN7CF1C03X5
nonvegan,vegetarian,Proportion,1.0712363662277915,0.9053576433419918,1.274631487316363,1.000052310320002,Restaurant,L69HYJ4Y3TR91
nonvegan,vegetarian,Proportion,0.8633219511791956,0.7664958432641342,0.9663308284400851,1.0029463478889074,Restaurant,ED5J990H5VAZT
nonvegan,vegetarian,Proportion,0.9232541136674268,0.8089433786991753,1.0461403787417247,1.0016294280414322,Restaurant,W8T41JZK0ZMEP
total,mpbamod,Count,1.01,0.94,1.07,1.0004091756775109,Restaurant,SRQS8F7JWA9MZ
total,mpbamod,Count,0.6,0.45,0.89,1.0041740066855958,Restaurant,2HRX9P6HKXA8V
total,mpbamod,Count,0.98,0.95,1.01,1.0018479775895772,Restaurant,JHDN7CF1C03X5
total,mpbamod,Count,1.15,1,1.32,1.0044142123162305,Restaurant,L69HYJ4Y3TR91
total,mpbamod,Count,1.02,1,1.04,1.0012991822976358,Restaurant,ED5J990H5VAZT
total,mpbamod,Count,1.01,0.98,1.04,0.9999697409089183,Restaurant,W8T41JZK0ZMEP
total,mpbamod,Proportion,1.0131890444241456,0.9502002165056764,1.0805527510712007,1.002009296772317,Restaurant,SRQS8F7JWA9MZ
total,mpbamod,Proportion,0.6309573444801932,0,0.8739716291356506,1.0006631220558118,Restaurant,2HRX9P6HKXA8V
total,mpbamod,Proportion,0.7664958432641342,0.7042261140012369,0.8469842998552983,1.0005099009392835,Restaurant,JHDN7CF1C03X5
total,mpbamod,Proportion,1.0696103757250688,0.8089433786991753,1.4764344187142524,1.001365662718733,Restaurant,L69HYJ4Y3TR91
total,mpbamod,Proportion,1.0200841112177017,0.9742021249237081,1.06684993901576,1.0003237246669558,Restaurant,ED5J990H5VAZT
total,mpbamod,Proportion,0.92118162761254,0.8089433786991753,1.058159820292016,0.9998919064380964,Restaurant,W8T41JZK0ZMEP
total,vegan,Count,2.28,1.96,2.67,1.0010689179403798,Restaurant,SRQS8F7JWA9MZ
total,vegan,Count,1.03,0.83,1.26,1.0021381290345543,Restaurant,2HRX9P6HKXA8V
total,vegan,Count,1,0.99,1.02,1.0009002941634373,Restaurant,JHDN7CF1C03X5
total,vegan,Count,1.13,1.08,1.2,1.0005110945602267,Restaurant,L69HYJ4Y3TR91
total,vegan,Count,1.35,1.26,1.44,0.99999388312343,Restaurant,ED5J990H5VAZT
total,vegan,Count,1.02,1,1.04,0.9994535104334186,Restaurant,W8T41JZK0ZMEP
total,vegan,Proportion,1.2722469133704737,1.199966342722849,1.3522884267303528,0.9998692765606951,Restaurant,SRQS8F7JWA9MZ
total,vegan,Proportion,1.0392779987370508,0.8376158603010033,1.262774683767149,1.0018210956022218,Restaurant,2HRX9P6HKXA8V
total,vegan,Proportion,1.0371372893366482,0.9533210199136081,1.129179513154545,0.9999855050527408,Restaurant,JHDN7CF1C03X5
total,vegan,Proportion,1.3057691328599415,1.1134911305486308,1.5552225410891083,1.0007321747047973,Restaurant,L69HYJ4Y3TR91
total,vegan,Proportion,0.9895192582062144,0.9053576433419918,1.0800537648543813,0.9998862046340533,Restaurant,ED5J990H5VAZT
total,vegan,Proportion,1.0342196941293802,0.9190663078716547,1.1610101087573002,0.9997667012738676,Restaurant,W8T41JZK0ZMEP
total,vegetarian,Count,1.01,0.98,1.03,1.0010193656560513,Restaurant,SRQS8F7JWA9MZ
total,vegetarian,Count,0.97,0.87,1.07,0.9998808674090958,Restaurant,2HRX9P6HKXA8V
total,vegetarian,Count,1.01,1,1.02,1.0022907275876531,Restaurant,JHDN7CF1C03X5
total,vegetarian,Count,1.1,1.06,1.14,1.000492846737457,Restaurant,L69HYJ4Y3TR91
total,vegetarian,Count,1.13,1.1,1.16,1.00063568315758,Restaurant,ED5J990H5VAZT
total,vegetarian,Count,1.01,1,1.03,1.000382207950005,Restaurant,W8T41JZK0ZMEP
total,vegetarian,Proportion,1.1187005138069044,1.06684993901576,1.1739122615769215,1.0006569284612372,Restaurant,SRQS8F7JWA9MZ
total,vegetarian,Proportion,0.9003405372962772,0.7247796636776955,1.073370373006841,1.0010084299125694,Restaurant,2HRX9P6HKXA8V
total,vegetarian,Proportion,1.0905804187347243,1.009576582776887,1.1803639317454637,1.0005509725625958,Restaurant,JHDN7CF1C03X5
total,vegetarian,Proportion,1.0825282218556607,0.9384855431870388,1.2679450370596226,1.0005544872260106,Restaurant,L69HYJ4Y3TR91
total,vegetarian,Proportion,0.92118162761254,0.8271973337231157,1.025791204689333,1.0012343365728564,Restaurant,ED5J990H5VAZT
total,vegetarian,Proportion,0.9703382962383449,0.8424172486141028,1.107255833228436,0.9998535060690943,Restaurant,W8T41JZK0ZMEP
vegan,mpbamod,Count,1.04,0.96,1.12,1.001564409534472,Restaurant,SRQS8F7JWA9MZ
vegan,mpbamod,Count,0.95,0.77,1.06,1.001521024527998,Restaurant,2HRX9P6HKXA8V
vegan,mpbamod,Count,1,0.98,1.03,1.0008418623182511,Restaurant,JHDN7CF1C03X5
vegan,mpbamod,Count,1.13,1,1.4,1.0054386446250485,Restaurant,L69HYJ4Y3TR91
vegan,mpbamod,Count,1.04,1.02,1.06,1.0003070452714142,Restaurant,ED5J990H5VAZT
vegan,mpbamod,Count,1.01,0.98,1.03,0.9996209667372357,Restaurant,W8T41JZK0ZMEP
vegan,mpbamod,Proportion,1.03198184410593,0.9272776363420387,1.141308697219414,1.000162914962934,Restaurant,SRQS8F7JWA9MZ
vegan,mpbamod,Proportion,0.8271973337231157,0.6309573444801932,1.052620071910597,1.001595369560315,Restaurant,2HRX9P6HKXA8V
vegan,mpbamod,Proportion,0.7664958432641342,0.7042261140012369,0.8424172486141028,1.0018686859541308,Restaurant,JHDN7CF1C03X5
vegan,mpbamod,Proportion,1.0941919383436087,0.8513399225207846,1.4860467482860829,1.0013674734872995,Restaurant,L69HYJ4Y3TR91
