outcome,effect_type,mean,q5,q95,rhat,estimate_type,restaurant_id,source,ess_bulk
breakfast,Level Change,0.7262023037509198,0.43858646632788134,1.2809337446598756,1.001734788852577,Pooled,POOLED,finalized_redone,NA
breakfast,Slope Change,0.7713479240340418,0.3143430102392285,1.9818975611780927,1.002087086165992,Pooled,POOLED,finalized_redone,NA
textured,Level Change,1.2720375162257411,0.5486217252527411,3.2107787212150267,1.060159567748309,Pooled,POOLED,finalized_redone,NA
textured,Slope Change,0.7054271262454167,0.15762223917455148,3.008374801837048,1.0072316372172752,Pooled,POOLED,finalized_redone,NA
untextured,Level Change,0.7231946541879174,0.3451571356471004,1.9616186024122695,1.426028129134894,Pooled,POOLED,finalized_redone2,NA
untextured,Slope Change,0.796039774763187,0.1752819427608131,1.8765234759256972,1.2645074237959004,Pooled,POOLED,finalized_redone2,NA
breakfast,Level Change,0.54,0.41,0.72,1.0003927092150653,Restaurant,2HRX9P6HKXA8V,finalized_redone,NA
breakfast,Slope Change,0.34,0.18,0.65,1.0003388554823,Restaurant,2HRX9P6HKXA8V,finalized_redone,NA
breakfast,Level Change,0.94,0.67,1.31,1.000631548318321,Restaurant,L69HYJ4Y3TR91,finalized_redone,NA
breakfast,Slope Change,1.09,0.32,4.52,0.9999612967694126,Restaurant,L69HYJ4Y3TR91,finalized_redone,NA
breakfast,Level Change,0.68,0.48,0.96,1.0001874586856807,Restaurant,ED5J990H5VAZT,finalized_redone,NA
breakfast,Slope Change,1.14,0.65,1.97,0.9995483064168178,Restaurant,ED5J990H5VAZT,finalized_redone,NA
textured,Level Change,1.33,1.02,1.75,1.0023384998534837,Restaurant,VLZX7K2M9QD4T,finalized_redone,NA
textured,Slope Change,0.51,0.08,2.55,1.015947001453199,Restaurant,VLZX7K2M9QD4T,finalized_redone,NA
untextured,Level Change,0.91,0.8,1.07,1.0709827468803141,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,NA
untextured,Level Change,1.03,0.91,1.15,1.0564629600699371,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,NA
untextured,Slope Change,0.55,0.24,1.07,1.0828856518470253,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,NA
untextured,Slope Change,0.89,0.51,2.12,1.1101693504502819,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,NA
