outcome,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id,source
Breakfast,Count,-0.183191090383,-0.63699555,0.19557069999999996,1.0056323713940438,Pooled,POOLED,finalized_redone2
Breakfast,Presence,-0.16940991127366667,-0.74668245,0.5694974499999998,1.0005398361496856,Pooled,POOLED,finalized_redone2
Chicken,Count,0.267306625073,-0.17580885,0.51524435,1.3594314638501295,Pooled,POOLED,finalized_redone
Chicken,Presence,0.2230039519822889,-0.63270015,1.1221410000000007,1.0167502513708846,Pooled,POOLED,finalized_redone
Dairy,Count,0.0647177114787,-0.082833335,0.19328215,1.006627815936204,Pooled,POOLED,finalized_redone
Dairy,Presence,0.15380180004353333,-0.6912737999999999,1.0457945000000002,1.0015952401694972,Pooled,POOLED,finalized_redone
Egg,Count,0.024208185306333334,-0.5692670000000001,0.4525848999999992,1.0073824542429093,Pooled,POOLED,finalized_redone
Egg,Presence,0.059014927895,-0.8004759,0.889197299999999,1.0067691932642744,Pooled,POOLED,finalized_redone
Untextured,Count,-0.0348263944205,-0.70188375,0.8080107999999993,1.4548227944647536,Pooled,POOLED,finalized_redone2
Untextured,Presence,-0.0348263944205,-0.70188375,0.8080107999999993,1.4548227944647536,Pooled,POOLED,finalized_redone2
Breakfast,Count,-0.31471074483970024,-0.5621189181535413,-0.09431067947124129,1.0002590873349866,Restaurant,2HRX9P6HKXA8V,finalized_redone2
Breakfast,Count,-0.040821994520255166,-0.1743533871447778,0.09531017980432493,1.0001507836931434,Restaurant,ED5J990H5VAZT,finalized_redone2
Breakfast,Count,-0.08338160893905101,-0.35667494393873245,0.19885085874516517,1.0003403195601037,Restaurant,L69HYJ4Y3TR91,finalized_redone2
Breakfast,Presence,0.08617769624105241,-0.9942522733438669,1.749199854809259,1.0020409221363222,Restaurant,2HRX9P6HKXA8V,finalized_redone2
Breakfast,Presence,-0.4780358009429998,-0.7550225842780328,-0.18632957819149348,1.000708443242851,Restaurant,ED5J990H5VAZT,finalized_redone2
Breakfast,Presence,-0.12783337150988489,-0.4462871026284195,0.2151113796169455,1.0006113867251345,Restaurant,L69HYJ4Y3TR91,finalized_redone2
Chicken,Count,0.02955880224154443,-0.01005033585350145,0.06765864847381486,1.180186360337677,Restaurant,JHDN7CF1C03X5,finalized_redone
Chicken,Count,0.1906203596086497,0.04879016416943205,0.30010459245033816,1.3540070266718136,Restaurant,W8T41JZK0ZMEP,finalized_redone
Chicken,Presence,0.36464311358790924,-0.941608539858445,2.066862759472976,1.0134810409033397,Restaurant,JHDN7CF1C03X5,finalized_redone
Chicken,Presence,0.23901690047049992,0.009950330853168092,0.47000362924573563,1.0004127240001996,Restaurant,W8T41JZK0ZMEP,finalized_redone
Dairy,Count,0.06765864847381486,0.009950330853168092,0.12221763272424911,1.0019438037136001,Restaurant,ED5J990H5VAZT,finalized_redone
Dairy,Count,0.10436001532424286,0.06765864847381486,0.14842000511827322,0.9997951979960014,Restaurant,JHDN7CF1C03X5,finalized_redone
Dairy,Count,0.03922071315328133,0,0.08617769624105241,1.0012485593799498,Restaurant,W8T41JZK0ZMEP,finalized_redone
Dairy,Presence,0.131028262406404,-0.06187540371808753,0.3364722366212129,1.0010260516253129,Restaurant,ED5J990H5VAZT,finalized_redone
Dairy,Presence,0.13976194237515863,-1.4696759700589417,1.7817091333745536,1.0016841257342735,Restaurant,JHDN7CF1C03X5,finalized_redone
Dairy,Presence,0.29266961396282004,-0.8675005677047231,1.715598108262491,1.0013468759633422,Restaurant,W8T41JZK0ZMEP,finalized_redone
Egg,Count,0.01980262729617973,-0.030459207484708574,0.0769610411361284,1.0007588381918033,Restaurant,ED5J990H5VAZT,finalized_redone
Egg,Count,0.06765864847381486,0.02955880224154443,0.12221763272424911,1.004153467531167,Restaurant,W8T41JZK0ZMEP,finalized_redone
Egg,Presence,0.03922071315328133,-0.23572233352106983,0.3074846997479607,1.0002786727899573,Restaurant,ED5J990H5VAZT,finalized_redone
Egg,Presence,0.09531017980432493,-1.2039728043259361,1.449269160281279,1.0030338577098077,Restaurant,W8T41JZK0ZMEP,finalized_redone
Untextured,Count,-0.040821994520255166,-0.12783337150988489,0.02955880224154443,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
Untextured,Presence,-0.040821994520255166,-0.12783337150988489,0.02955880224154443,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
