outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,0.8326090369547797,0.42892480720368065,1.3656965957207916,1.0056323713940438,Pooled,POOLED,finalized_redone2,Animal
Breakfast,Presence,0.9832017005470864,0.9107199804383759,1.0820600765536905,1.0005398361496856,Pooled,POOLED,finalized_redone2,Animal
Chicken,Count,1.3064409724803934,0.7410527082308745,1.8015207602344898,1.3594314638501295,Pooled,POOLED,finalized_redone,Animal
Chicken,Presence,1.022550907721578,0.9178684263958758,1.148224601882205,1.0167502513708846,Pooled,POOLED,finalized_redone,Animal
Dairy,Count,1.0668578201564554,0.8519878609206819,1.2934007954019817,1.006627815936204,Pooled,POOLED,finalized_redone,Animal
Dairy,Presence,1.0154990636749566,0.9090668024144689,1.1340800572092682,1.0015952401694972,Pooled,POOLED,finalized_redone,Animal
Egg,Count,1.024503582282712,0.4441459408279575,2.0006355898523336,1.0073824542429093,Pooled,POOLED,finalized_redone,Animal
Egg,Presence,1.005918940904494,0.9021529551124864,1.1286896126448995,1.0067691932642744,Pooled,POOLED,finalized_redone,Animal
Untextured,Count,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,Pooled,POOLED,finalized_redone2,Animal
Untextured,Presence,0.9965234179127904,0.9243055802113462,1.1212484757840244,1.4548227944647536,Pooled,POOLED,finalized_redone2,Animal
Total (A1),Count,0.9451816219551971,0.7336471778950001,1.2485527430755314,1.0030038907063523,Pooled,POOLED,finalized_redone,Total
Total (A1),Presence,0.9274977788581686,0.8139325327615096,1.061746695083981,1.0031043375165287,Pooled,POOLED,finalized_redone,Total
Breakfast,Count,0.73,0.55,0.95,1.0002590873349866,Restaurant,2HRX9P6HKXA8V,finalized_redone2,Animal
Breakfast,Count,0.96,0.82,1.13,1.0001507836931434,Restaurant,ED5J990H5VAZT,finalized_redone2,Animal
Breakfast,Count,0.92,0.67,1.3,1.0003403195601037,Restaurant,L69HYJ4Y3TR91,finalized_redone2,Animal
Breakfast,Presence,1.0086550094987714,0.8772762586965452,1.2543181408384745,1.0020409221363222,Restaurant,2HRX9P6HKXA8V,finalized_redone2,Animal
Breakfast,Presence,0.9533210199136081,0.92118162761254,0.9861703143068244,1.000708443242851,Restaurant,ED5J990H5VAZT,finalized_redone2,Animal
Breakfast,Presence,0.9872980226511102,0.9517721299086175,1.0281521620726264,1.0006113867251345,Restaurant,L69HYJ4Y3TR91,finalized_redone2,Animal
Chicken,Count,1.03,0.98,1.08,1.180186360337677,Restaurant,JHDN7CF1C03X5,finalized_redone,Animal
Chicken,Count,1.21,1.03,1.36,1.3540070266718136,Restaurant,W8T41JZK0ZMEP,finalized_redone,Animal
Chicken,Presence,1.0371372893366482,0.8739716291356506,1.319260294041121,1.0134810409033397,Restaurant,JHDN7CF1C03X5,finalized_redone,Animal
Chicken,Presence,1.0241896249073048,0.9969587133618938,1.053248691300327,1.0004127240001996,Restaurant,W8T41JZK0ZMEP,finalized_redone,Animal
Dairy,Count,1.07,0.99,1.15,1.0019438037136001,Restaurant,ED5J990H5VAZT,finalized_redone,Animal
Dairy,Count,1.11,1.06,1.16,0.9997951979960014,Restaurant,JHDN7CF1C03X5,finalized_redone,Animal
Dairy,Count,1.04,0.99,1.1,1.0012485593799498,Restaurant,W8T41JZK0ZMEP,finalized_redone,Animal
Dairy,Presence,1.0131890444241456,0.9895192582062144,1.0378552826828715,1.0010260516253129,Restaurant,ED5J990H5VAZT,finalized_redone,Animal
Dairy,Presence,1.0140743178387932,0.8271973337231157,1.2710971117526273,1.0016841257342735,Restaurant,JHDN7CF1C03X5,finalized_redone,Animal
Dairy,Presence,1.0296994477882186,0.8739716291356506,1.240942873164288,1.0013468759633422,Restaurant,W8T41JZK0ZMEP,finalized_redone,Animal
Egg,Count,1.02,0.96,1.09,1.0007588381918033,Restaurant,ED5J990H5VAZT,finalized_redone,Animal
Egg,Count,1.07,1.02,1.14,1.004153467531167,Restaurant,W8T41JZK0ZMEP,finalized_redone,Animal
Egg,Presence,1.0039297727022005,0.9716416578630735,1.0364147944268143,1.0002786727899573,Restaurant,ED5J990H5VAZT,finalized_redone,Animal
Egg,Presence,1.009576582776887,0.8513399225207846,1.2084169489178813,1.0030338577098077,Restaurant,W8T41JZK0ZMEP,finalized_redone,Animal
Untextured,Count,0.96,0.87,1.05,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,Animal
Untextured,Presence,0.9959261213978506,0.9861703143068244,1.0048909381985118,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,Animal
