outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,-0.056378177409833335,-0.30972704999999995,0.22198507500000006,1.0030038907063523,Pooled,POOLED,Total
total,mpbamod,Proportion,-0.7526487926549666,-2.0587779999999998,0.599153775,1.0031043375165287,Pooled,POOLED,Total
total,vegan,Count,0.20201810875106666,-0.14987904999999999,0.5563332000000001,1.0025560683454244,Pooled,POOLED,Total
total,vegan,Proportion,0.7375721985064333,-0.456693975,1.8040752500000004,1.0033492907196366,Pooled,POOLED,Total
total,vegetarian,Count,0.03473201070358667,-0.05939925249999999,0.11768357500000028,1.0015383510649216,Pooled,POOLED,Total
total,vegetarian,Proportion,0.089734560612,-0.96057165,1.0784055000000001,1.0044196380904333,Pooled,POOLED,Total
nonvegan,mpbamod,Count,-0.06456766566213333,-0.407552125,0.2377265250000002,1.0128380748906831,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,-0.7806154284863334,-2.1089085,0.5775747999999999,1.003939317329159,Pooled,POOLED,Animal
nonvegan,vegan,Count,0.18670575835526668,-0.18408829999999998,0.50904355,1.0205838213354008,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,0.5409664475157333,-0.586471375,1.62432825,1.002108533130963,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,0.040918226820033335,-0.06739520999999998,0.14541542500000001,1.0055064666233333,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,-0.159315311289,-1.342573,0.8415208500000001,1.0039768960785953,Pooled,POOLED,Animal
meat,mpbamod,Count,-0.01851818753396,-0.139746175,0.05542866750000002,1.0027696783020754,Pooled,POOLED,Animal
meat,mpbamod,Proportion,-0.6188081782103333,-1.731943,0.5244200500000004,1.0010525751005244,Pooled,POOLED,Animal
meat,vegan,Count,0.17118222039973333,-0.1399551,0.5184177500000002,1.0034199247267381,Pooled,POOLED,Animal
meat,vegan,Proportion,0.19816123450666667,-0.9825701,1.39749925,1.007930620374153,Pooled,POOLED,Animal
meat,vegetarian,Count,0.0312706313205,-0.042330019999999996,0.1212920000000001,1.0109756932823417,Pooled,POOLED,Animal
meat,vegetarian,Proportion,-0.6878489437636667,-1.9042629999999996,0.6070437750000012,1.0034227667368416,Pooled,POOLED,Animal
chicken_fish,mpbamod,Count,0.010980525187264445,-0.07689229,0.11003784999999996,1.0016298845381857,Pooled,POOLED,Animal
chicken_fish,mpbamod,Proportion,-0.9793206328641556,-2.2450285,0.44862447499999925,1.0012217715257823,Pooled,POOLED,Animal
chicken_fish,vegan,Count,0.169583465754,-0.22984187499999997,0.5311063999999996,1.0062134131599665,Pooled,POOLED,Animal
chicken_fish,vegan,Proportion,0.6634100566675556,-0.577484375,1.7380247499999995,1.0007497525027378,Pooled,POOLED,Animal
chicken_fish,vegetarian,Count,0.08600709212475556,-0.154738025,0.27171942499999985,1.0241133003916247,Pooled,POOLED,Animal
