outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
Breakfast,Count,1.4853769886884078,0.4181817007995872,5.483818966824944,1.0019869516533995,Pooled,POOLED
Breakfast,Presence,2.0203938933875287,0.4737589883476469,8.121931537805468,1.0014174843965487,Pooled,POOLED
Chicken,Count,1.3064409724803934,0.7410527082308745,1.8015207602344898,1.3594314638501295,Pooled,POOLED
Chicken,Presence,1.2498255130145155,0.4244282754215115,3.9835335418554,1.0167502513708846,Pooled,POOLED
Dairy,Count,1.0668578201564554,0.8519878609206819,1.2934007954019817,1.006627815936204,Pooled,POOLED
Dairy,Presence,1.1662597112457083,0.38544106578762105,3.519144780481708,1.0015952401694972,Pooled,POOLED
Egg,Count,1.024503582282712,0.4441459408279575,2.0006355898523336,1.0073824542429093,Pooled,POOLED
Egg,Presence,1.0607910759997647,0.3571097933810054,3.355407588735024,1.0067691932642744,Pooled,POOLED
Untextured,Count,1.2130896890758616,0.6275428176533356,2.269837572571619,1.032232641361222,Pooled,POOLED
Untextured,Presence,1.8080734288486133,0.619706329656848,4.87976469273181,1.0273789664125732,Pooled,POOLED
Breakfast,Count,0.52,0.38,0.73,1.0009506508590371,Restaurant,2HRX9P6HKXA8V
Breakfast,Count,0.97,0.82,1.13,1.0005035310719712,Restaurant,ED5J990H5VAZT
Breakfast,Count,17.41,5.93,58.23,0.999678060286415,Restaurant,L69HYJ4Y3TR91
Breakfast,Presence,4.89,0.27,106.96,1.0023939867332616,Restaurant,2HRX9P6HKXA8V
Breakfast,Presence,0.6,0.43,0.83,0.999628240575794,Restaurant,ED5J990H5VAZT
Breakfast,Presence,17.24,5.97,56.05,1.0000495285894138,Restaurant,L69HYJ4Y3TR91
Chicken,Count,1.03,0.98,1.08,1.180186360337677,Restaurant,JHDN7CF1C03X5
Chicken,Count,1.21,1.03,1.36,1.3540070266718136,Restaurant,W8T41JZK0ZMEP
Chicken,Presence,1.44,0.26,15.97,1.0134810409033397,Restaurant,JHDN7CF1C03X5
Chicken,Presence,1.27,0.97,1.68,1.0004127240001996,Restaurant,W8T41JZK0ZMEP
Dairy,Count,1.07,0.99,1.15,1.0019438037136001,Restaurant,ED5J990H5VAZT
Dairy,Count,1.11,1.06,1.16,0.9997951979960014,Restaurant,JHDN7CF1C03X5
Dairy,Count,1.04,0.99,1.1,1.0012485593799498,Restaurant,W8T41JZK0ZMEP
Dairy,Presence,1.14,0.9,1.45,1.0010260516253129,Restaurant,ED5J990H5VAZT
Dairy,Presence,1.15,0.15,11.01,1.0016841257342735,Restaurant,JHDN7CF1C03X5
Dairy,Presence,1.34,0.26,8.66,1.0013468759633422,Restaurant,W8T41JZK0ZMEP
Egg,Count,1.02,0.96,1.09,1.0007588381918033,Restaurant,ED5J990H5VAZT
Egg,Count,1.07,1.02,1.14,1.004153467531167,Restaurant,W8T41JZK0ZMEP
Egg,Presence,1.04,0.75,1.43,1.0002786727899573,Restaurant,ED5J990H5VAZT
Egg,Presence,1.1,0.2,6.64,1.0030338577098077,Restaurant,W8T41JZK0ZMEP
Untextured,Count,1.03,0.93,1.15,1.0054413479425934,Restaurant,JHDN7CF1C03X5
Untextured,Count,1.05,0.93,1.19,1.0016820069886674,Restaurant,SRQS8F7JWA9MZ
Untextured,Count,1.75,1.5,2.05,1.0040591084904555,Restaurant,W8T41JZK0ZMEP
Untextured,Presence,2.16,0.92,5.53,1.0033054855645231,Restaurant,JHDN7CF1C03X5
Untextured,Presence,1.05,0.93,1.18,1.003071736835137,Restaurant,SRQS8F7JWA9MZ
Untextured,Presence,4.76,3.19,7.3,1.0026857669216518,Restaurant,W8T41JZK0ZMEP
