outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,ess_bulk
breakfast,Level Change,0.7262023037509198,0.38593233415528866,1.4554627626680916,1.001734788852577,Pooled,POOLED,NA
breakfast,Slope Change,0.7713479240340418,0.2657840877487718,2.409078417520027,1.002087086165992,Pooled,POOLED,NA
textured,Level Change,1.2720375162257411,0.4028544191916245,4.142265042743766,1.060159567748309,Pooled,POOLED,NA
textured,Slope Change,0.7054271262454167,0.1184624495569989,3.872707984746362,1.0072316372172752,Pooled,POOLED,NA
untextured,Level Change,2.1079209505637144,0.42608677767289455,8.88011271451912,1.0066442380484202,Pooled,POOLED,NA
untextured,Slope Change,0.40258024876952386,0.12959802297536932,1.5796892492414567,1.0101041999912808,Pooled,POOLED,NA
breakfast,Level Change,0.54,0.38,0.75,1.0003927092150653,Restaurant,2HRX9P6HKXA8V,NA
breakfast,Slope Change,0.34,0.16,0.76,1.0003388554823,Restaurant,2HRX9P6HKXA8V,NA
breakfast,Level Change,0.94,0.63,1.4,1.000631548318321,Restaurant,L69HYJ4Y3TR91,NA
breakfast,Slope Change,1.09,0.24,6.23,0.9999612967694126,Restaurant,L69HYJ4Y3TR91,NA
breakfast,Level Change,0.68,0.45,1.03,1.0001874586856807,Restaurant,ED5J990H5VAZT,NA
breakfast,Slope Change,1.14,0.57,2.19,0.9995483064168178,Restaurant,ED5J990H5VAZT,NA
textured,Level Change,1.33,0.97,1.85,1.0023384998534837,Restaurant,VLZX7K2M9QD4T,NA
textured,Slope Change,0.51,0.05,3.47,1.015947001453199,Restaurant,VLZX7K2M9QD4T,NA
untextured,Level Change,0.91,0.75,1.11,1.000453212573789,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Level Change,1.03,0.86,1.27,1.0001696578116002,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Slope Change,0.37,0.1,0.88,1.0029680359405728,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Slope Change,0.55,0.23,1.95,1.0049153600100378,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Level Change,35.99,14.18,95.71,1.0003396705093996,Restaurant,JHDN7CF1C03X5,NA
untextured,Slope Change,0.23,0.11,0.43,1.0042596349782795,Restaurant,JHDN7CF1C03X5,NA
