outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
chicken_fish,mpbamod,Count,0.9918796737845621,0.8062728058069644,1.1014432689675444,1.0407671922504045,Pooled,POOLED
chicken_fish,mpbamod,Proportion,0.8913659418469256,0.787626922374371,1.0364967372133183,1.0028569240265928,Pooled,POOLED
chicken_fish,vegan,Count,1.1855264533627434,0.7609570398103095,1.86097547653611,1.0016256837678288,Pooled,POOLED
chicken_fish,vegan,Proportion,1.0911857869928392,0.9715680585475135,1.2145079920920165,1.0022710879653423,Pooled,POOLED
chicken_fish,vegetarian,Count,1.0852373020458523,0.9470587213093796,1.2622880981113085,1.0167144144848919,Pooled,POOLED
chicken_fish,vegetarian,Proportion,0.9659575393674814,0.8322784239259697,1.1257551444646179,1.002017020112004,Pooled,POOLED
chicken_fish,mpbamod,Count,0.96,0.73,1.09,1.0268846154479048,Restaurant,2HRX9P6HKXA8V
chicken_fish,mpbamod,Count,1.02,0.99,1.06,1.0070820902051272,Restaurant,JHDN7CF1C03X5
chicken_fish,mpbamod,Count,0.99,0.77,1.22,1.022973669679341,Restaurant,L69HYJ4Y3TR91
chicken_fish,mpbamod,Count,0.98,0.92,1.03,1.0157786727513671,Restaurant,ED5J990H5VAZT
chicken_fish,mpbamod,Count,1.01,0.98,1.04,1.0011219524882744,Restaurant,W8T41JZK0ZMEP
chicken_fish,mpbamod,Proportion,0.8424172486141028,0.6309573444801932,1.1064537610602057,1.0002744239307322,Restaurant,2HRX9P6HKXA8V
chicken_fish,mpbamod,Proportion,0.7664958432641342,0.7042261140012369,0.8469842998552983,0.9999577506632881,Restaurant,JHDN7CF1C03X5
chicken_fish,mpbamod,Proportion,0.8835676359470228,0.6762433378062414,1.2109409598902408,0.999874774707199,Restaurant,L69HYJ4Y3TR91
chicken_fish,mpbamod,Proportion,0.8594928497600735,0.7664958432641342,0.9676833077041481,1.0026151146643438,Restaurant,ED5J990H5VAZT
chicken_fish,mpbamod,Proportion,0.9663308284400851,0.8154443636507333,1.1540414354687236,1.000452299615146,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Count,1,0.83,1.21,0.9997049414585362,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Count,1.02,1,1.04,0.9998823724573455,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Count,1.35,1.08,1.72,1.0007824221684438,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Count,1.81,1.34,2.45,1.0007198951544234,Restaurant,ED5J990H5VAZT
chicken_fish,vegan,Count,1.01,0.99,1.04,1.0016718386008292,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Proportion,1.079552695180011,0.8923084338428022,1.2572791550535343,1.0008271373228022,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Proportion,1.122292152623965,1.0192448764914566,1.240942873164288,1.0003897354136184,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Proportion,1.1205092844155164,0.9486045450669235,1.38951124977565,1.0007152046573864,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Proportion,1.0754668654331612,0.8633219511791956,1.2528794620016284,1.00044516670225,Restaurant,ED5J990H5VAZT
chicken_fish,vegan,Proportion,1.1011085353637668,0.9729294719520967,1.2423684405118736,1.0002288628939326,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Count,1.07,0.94,1.23,1.0014992256503212,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Count,1.02,1,1.04,1.0070241626022833,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Count,1.22,1.04,1.49,1.003858824420572,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Count,1.18,1.07,1.31,1.0014215289173147,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Count,1.01,0.99,1.02,1.0006648960049853,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Proportion,1.1052407538560174,0.8089433786991753,1.5086301817851386,1.0015775938946538,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Proportion,1.2076870059474099,1.0932990799580533,1.3347700255316342,1.0003758105060172,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Proportion,0.9578363965785066,0.6309573444801932,1.4598417113418158,1.0010530354751546,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Proportion,0,0,0.8271973337231157,1.001571865996843,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Proportion,0.99899547129175,0.821509903954877,1.2195879871075817,1.0021628744102735,Restaurant,W8T41JZK0ZMEP
