outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source
Breakfast,Count,0.8326090369547797,0.42892480720368065,1.3656965957207916,1.0056323713940438,Pooled,POOLED,finalized_redone3
Breakfast,Presence,0.8441628006063864,0.39250812159969684,2.2004613105571718,1.0005398361496856,Pooled,POOLED,finalized_redone3
Untextured,Count,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,Pooled,POOLED,finalized_redone3
Untextured,Presence,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,Pooled,POOLED,finalized_redone3
Breakfast,Count,0.73,0.55,0.95,1.0002590873349866,Restaurant,2HRX9P6HKXA8V,finalized_redone3
Breakfast,Count,0.96,0.82,1.13,1.0001507836931434,Restaurant,ED5J990H5VAZT,finalized_redone3
Breakfast,Count,0.92,0.67,1.3,1.0003403195601037,Restaurant,L69HYJ4Y3TR91,finalized_redone3
Breakfast,Presence,1.09,0.27,9.64,1.0020409221363222,Restaurant,2HRX9P6HKXA8V,finalized_redone3
Breakfast,Presence,0.62,0.44,0.87,1.000708443242851,Restaurant,ED5J990H5VAZT,finalized_redone3
Breakfast,Presence,0.88,0.61,1.32,1.0006113867251345,Restaurant,L69HYJ4Y3TR91,finalized_redone3
Untextured,Count,0.96,0.87,1.05,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone3
Untextured,Presence,0.96,0.87,1.05,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone3
