outcome,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
Breakfast,Count,0.39566860447317775,-0.6454570000000001,1.4842255000000004,1.0019869516533995,Pooled,POOLED
Breakfast,Presence,0.7032924891302222,-0.48185839999999996,1.8688595000000001,1.0014174843965487,Pooled,POOLED
Chicken,Count,0.267306625073,-0.17580885,0.51524435,1.3594314638501295,Pooled,POOLED
Chicken,Presence,0.2230039519822889,-0.63270015,1.1221410000000007,1.0167502513708846,Pooled,POOLED
Dairy,Count,0.0647177114787,-0.082833335,0.19328215,1.006627815936204,Pooled,POOLED
Dairy,Presence,0.15380180004353333,-0.6912737999999999,1.0457945000000002,1.0015952401694972,Pooled,POOLED
Egg,Count,0.024208185306333334,-0.5692670000000001,0.4525848999999992,1.0073824542429093,Pooled,POOLED
Egg,Presence,0.059014927895,-0.8004759,0.889197299999999,1.0067691932642744,Pooled,POOLED
Untextured,Count,0.19317056710966668,-0.32434955,0.67435125,1.032232641361222,Pooled,POOLED
Untextured,Presence,0.5922618744465111,-0.3089677,1.4333715,1.0273789664125732,Pooled,POOLED
Breakfast,Count,-0.6539264674066639,-0.941608539858445,-0.37106368139083207,1.0009506508590371,Restaurant,2HRX9P6HKXA8V
Breakfast,Count,-0.030459207484708574,-0.1743533871447778,0.09531017980432493,1.0005035310719712,Restaurant,ED5J990H5VAZT
Breakfast,Count,2.8570447537800976,1.9344157696295783,3.849083205654272,0.999678060286415,Restaurant,L69HYJ4Y3TR91
Breakfast,Presence,1.5871923034867805,-0.843970070294529,4.0975062255596795,1.0023939867332616,Restaurant,2HRX9P6HKXA8V
Breakfast,Presence,-0.5108256237659907,-0.7765287894989963,-0.23572233352106983,0.999628240575794,Restaurant,ED5J990H5VAZT
Breakfast,Presence,2.847232265235547,1.9459101490553132,3.8086604924329928,1.0000495285894138,Restaurant,L69HYJ4Y3TR91
Chicken,Count,0.02955880224154443,-0.01005033585350145,0.06765864847381486,1.180186360337677,Restaurant,JHDN7CF1C03X5
Chicken,Count,0.1906203596086497,0.04879016416943205,0.30010459245033816,1.3540070266718136,Restaurant,W8T41JZK0ZMEP
Chicken,Presence,0.36464311358790924,-0.941608539858445,2.066862759472976,1.0134810409033397,Restaurant,JHDN7CF1C03X5
Chicken,Presence,0.23901690047049992,0.009950330853168092,0.47000362924573563,1.0004127240001996,Restaurant,W8T41JZK0ZMEP
Dairy,Count,0.06765864847381486,0.009950330853168092,0.12221763272424911,1.0019438037136001,Restaurant,ED5J990H5VAZT
Dairy,Count,0.10436001532424286,0.06765864847381486,0.14842000511827322,0.9997951979960014,Restaurant,JHDN7CF1C03X5
Dairy,Count,0.03922071315328133,0,0.08617769624105241,1.0012485593799498,Restaurant,W8T41JZK0ZMEP
Dairy,Presence,0.131028262406404,-0.06187540371808753,0.3364722366212129,1.0010260516253129,Restaurant,ED5J990H5VAZT
Dairy,Presence,0.13976194237515863,-1.4696759700589417,1.7817091333745536,1.0016841257342735,Restaurant,JHDN7CF1C03X5
Dairy,Presence,0.29266961396282004,-0.8675005677047231,1.715598108262491,1.0013468759633422,Restaurant,W8T41JZK0ZMEP
Egg,Count,0.01980262729617973,-0.030459207484708574,0.0769610411361284,1.0007588381918033,Restaurant,ED5J990H5VAZT
Egg,Count,0.06765864847381486,0.02955880224154443,0.12221763272424911,1.004153467531167,Restaurant,W8T41JZK0ZMEP
Egg,Presence,0.03922071315328133,-0.23572233352106983,0.3074846997479607,1.0002786727899573,Restaurant,ED5J990H5VAZT
Egg,Presence,0.09531017980432493,-1.2039728043259361,1.449269160281279,1.0030338577098077,Restaurant,W8T41JZK0ZMEP
Untextured,Count,0.02955880224154443,-0.05129329438755058,0.12221763272424911,1.0054413479425934,Restaurant,JHDN7CF1C03X5
Untextured,Count,0.04879016416943205,-0.05129329438755058,0.1570037488096647,1.0016820069886674,Restaurant,SRQS8F7JWA9MZ
Untextured,Count,0.5596157879354227,0.43178241642553783,0.6931471805599453,1.0040591084904555,Restaurant,W8T41JZK0ZMEP
Untextured,Presence,0.7701082216960737,0.03922071315328133,1.5432981099295553,1.0033054855645231,Restaurant,JHDN7CF1C03X5
Untextured,Presence,0.04879016416943205,-0.05129329438755058,0.14842000511827322,1.003071736835137,Restaurant,SRQS8F7JWA9MZ
Untextured,Presence,1.5602476682433286,1.2237754316221157,1.9198594718553708,1.0026857669216518,Restaurant,W8T41JZK0ZMEP
