model_id,term,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,1.6705563361765332,5.122809309088871,0.7443474829746515,-8.370149909637654,11.71126258199072,SRQS8F7JWA9MZ,17349,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,2.180969922088873,4.140343214134922,0.5983598055107359,-5.934102777615574,10.296042621793319,SRQS8F7JWA9MZ,17349,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:date_code,-7.424437913908032e-4,0.0021304649111848666,0.7274729012135026,-0.004918155017313142,0.003433267434531535,SRQS8F7JWA9MZ,17349,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:date_code,-8.791532038466708e-4,0.0016807499715224556,0.6009241684563558,-0.004173423148030684,0.002415116740337342,SRQS8F7JWA9MZ,17349,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1:gendermale,0.09245593291748377,0.07255072544467811,0.20253493162181213,-0.04974348895408531,0.23465535478905286,SRQS8F7JWA9MZ,17349,2041,A5,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2:gendermale,-0.007024401316430641,0.06582417968792545,0.9150153958809729,-0.13603979350476453,0.12199099087190324,SRQS8F7JWA9MZ,17349,2041,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,-1.6945090405083423,1.537464290885156,0.2703985085315249,-4.7079390506432475,1.3189209696265631,2HRX9P6HKXA8V,5309,1964,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:date_code,9.697289487249888e-4,7.807428124128462e-4,0.21421464696740877,-5.605269636041897e-4,0.0024999848610541674,2HRX9P6HKXA8V,5309,1964,A5,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1:gendermale,0.07025318428043799,0.048405783034536486,0.14668558118034863,-0.024622150467253523,0.1651285190281295,2HRX9P6HKXA8V,5309,1964,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,20.79041666838748,26.308479509583783,0.42937865735922504,-30.77420317039674,72.35503650717169,L69HYJ4Y3TR91,3242,472,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:date_code,-0.006283283833866294,0.007879404426934264,0.42520057838840547,-0.021726916510657453,0.009160348842924862,L69HYJ4Y3TR91,3242,472,A5,meat
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1:gendermale,0.021047909607527397,0.10322668489796037,0.838431731708597,-0.18127639279247493,0.2233722120075297,L69HYJ4Y3TR91,3242,472,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,-4.934882560670448,2.402252117244236,0.03994924032420733,-9.643296710469151,-0.22646841087174518,ED5J990H5VAZT,12974,1359,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:date_code,0.001773225193827516,8.478372342237034e-4,0.03648605292871861,1.1146421474905722e-4,0.0034349861729059744,ED5J990H5VAZT,12974,1359,A5,meat
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1:gendermale,-0.1628604146779806,0.08301815615114466,0.049792233299758716,-0.3255760007342241,-1.4482862173706423e-4,ED5J990H5VAZT,12974,1359,A5,meat
