estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
30.882323760091097,29.804203593140674,1.036173426462519,0.3001212416551998,exposure_L69HYJ4Y3TR91_1,-27.53391528246462,89.29856280264681,L69HYJ4Y3TR91,3242,472,A6,breakfast
-8.316656103826735e-4,8.028340584033693e-4,-1.0359122183189922,0.3002430969042279,vegan_price_real,-0.0024052203648532774,7.418891440879301e-4,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.004505963970307314,0.001904703390820577,2.3657037584030713,0.01799583762235627,vegetarian_price_real,7.727453242989827e-4,0.008239182616315645,L69HYJ4Y3TR91,3242,472,A6,breakfast
8.516301592480606e-4,7.573720648217916e-4,1.124454147181211,0.2608204122263209,meat_price_real,-6.328190878026507e-4,0.002336079406298772,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.49191894358241334,0.11087921633639786,4.436529764874728,9.142069913754407e-6,weekend,0.2745956795630735,0.7092422076017532,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.29121918848896866,0.249125151603783,1.1689674310851335,0.24241675357249742,holiday_window,-0.19706610865444601,0.7795044856323834,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.14497868608112108,0.21831773137660201,-0.6640719705493378,0.5066442488356758,month_cat2,-0.572881439579261,0.28292406741701887,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.4997540889050551,0.44656842880958436,-1.1190985673511393,0.2630980909816206,month_cat3,-1.3750282093718404,0.3755200315617302,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.33817676367097765,0.6252748562622633,-0.5408449744685302,0.5886144406101348,month_cat4,-1.5637154819450136,0.8873619546030584,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.9923508630126188,0.8457395218085562,-1.173352831957698,0.24065434398060426,month_cat5,-2.6500003257573885,0.6652985997321512,L69HYJ4Y3TR91,3242,472,A6,breakfast
-1.2258960614859609,1.0224720772735933,-1.198953094890175,0.23054618461839843,month_cat6,-3.2299413329422038,0.778149209970282,L69HYJ4Y3TR91,3242,472,A6,breakfast
-13.072980077571234,0.7269368018217855,-17.98365421149249,2.6166482625076727e-72,month_cat8,-14.497776209141934,-11.648183946000534,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.9559676025039692,0.6464400743088012,1.4788185950973518,0.1391888046307227,month_cat9,-0.31105494314128124,2.2229901481492194,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.9715830575390245,0.49480876748682906,1.9635526316030492,0.049581995209081194,month_cat10,0.00175787326483956,1.9414082418132095,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.48719719787148263,0.3319324398621564,1.4677601203238946,0.14216939361867684,month_cat11,-0.16339038425834396,1.1377847800013092,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.17444626510287498,0.21033280240088695,0.8293821178229086,0.4068882169923756,month_cat12,-0.23780602760286346,0.5866985578086135,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.01449348651769121,0.005809984095506682,2.494582821474531,0.012610529360216987,date_code,0.0031059176904981115,0.02588105534488431,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.22773007607990597,0.14207911013824337,1.6028399661169328,0.10896999064800904,day_of_week_cat1,-0.050744979791051026,0.5062051319508629,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.19823772115542326,0.1335781443972429,1.484058054930691,0.1377935196715667,day_of_week_cat2,-0.06357544186317277,0.4600508841740193,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.02023765051268691,0.15954828445972355,-0.12684342286234807,0.899064326811826,day_of_week_cat3,-0.33295228805374505,0.29247698702837127,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.07951502399684825,0.09811525343325733,0.810424691517901,0.4176961314624547,day_of_week_cat4,-0.11279087273233611,0.2718209207260326,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.0732972789476873,0.08533194919215518,-0.8589664204509433,0.3903590424621605,day_of_week_cat5,-0.24054789936431148,0.09395334146893687,L69HYJ4Y3TR91,3242,472,A6,breakfast
2.06972570657938e-4,0.00332703115886349,0.06220938752152823,0.9503960868104183,precip,-0.006314008500714502,0.006727953642030379,L69HYJ4Y3TR91,3242,472,A6,breakfast
0.006233025997144268,0.007094736961694641,0.8785422251448,0.37964953340591523,temp,-0.007672658447777229,0.020138710442065763,L69HYJ4Y3TR91,3242,472,A6,breakfast
-1.345364176553993e-4,1.1738396262817748e-4,-1.1461226443816137,0.2517444092802663,breakfast_price_real,-3.6460898440662717e-4,9.553614909582858e-5,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.00932133997946507,0.008925096148929716,-1.044396589563113,0.2963019408504637,exposure_L69HYJ4Y3TR91_1:date_code,-0.026814528431367314,0.008171848472437175,L69HYJ4Y3TR91,3242,472,A6,breakfast
-0.10161223697534076,0.14009817207925174,-0.7252930960288334,0.46827224030254805,exposure_L69HYJ4Y3TR91_1:gendermale,-0.3762046542506742,0.17298018029999263,L69HYJ4Y3TR91,3242,472,A6,breakfast
