model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1,Level Change,NA,-0.0053036232582333335,0.07509170351570718,NA,-0.12496574999999999,0.12453214999999995,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2,Level Change,NA,-0.016659876831086665,0.07658287353300322,NA,-0.14248709999999998,0.11488594999999999,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,total
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1,Level Change,NA,-0.024132305896266668,0.09177865752145835,NA,-0.18302179999999998,0.1192752499999999,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_exposure,total
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1,Level Change,NA,0.03866342624145,0.10738685506188307,NA,-0.09680190500000001,0.23134759999999988,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_exposure,total
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1,Level Change,NA,-0.00832103903993,0.032774575807820346,NA,-0.06282660500000001,0.04630547499999996,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_exposure,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_slope,Slope Change,NA,-0.15740767822466667,0.33641998406442586,NA,-0.86813755,0.2608847999999998,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,total
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_slope,Slope Change,NA,0.0503612215009,0.34287137208066126,NA,-0.37278175,0.7691212999999999,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_exposure,total
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_slope,Slope Change,NA,0.028729914265,0.08148520087453426,NA,-0.10100274999999999,0.16574285,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_exposure,total
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_slope,Slope Change,NA,0.044155733801933335,0.21789930287607373,NA,-0.27530594999999997,0.3522509999999994,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_exposure,total
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_slope,Slope Change,NA,0.059844426211126664,0.06975558545511329,NA,-0.05577761,0.17928289999999997,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_exposure,total
