model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-4.357470863933333e-6,1.9726089885906526e-5,NA,-3.760119000000001e-5,2.7963554999999978e-5,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-0.0534191083,0.023857596352659178,NA,-0.07402480500000001,-0.0199287,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-5.015270382633334e-6,2.037560921255934e-5,NA,-4.360518999999999e-5,2.7544009999999993e-5,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.043594332666666666,0.14651807991038585,NA,-0.1782652,0.16025005,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,6.7045670746566665e-6,2.0821587358518772e-5,NA,-2.3384115e-5,4.3243174999999944e-5,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.0534191083,0.023857596352659178,NA,-0.07402480500000001,-0.0199287,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,6.7005222064333335e-6,2.1455554657972723e-5,NA,-2.6318074999999993e-5,4.669686999999998e-5,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.043594332666666666,0.14651807991038585,NA,-0.1782652,0.16025005,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,-0.14106191606666665,0.063298377980717,NA,-0.19301605,-0.0519517,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,-0.0534191083,0.023857596352659178,NA,-0.07402480500000001,-0.0199287,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.06801759085333334,0.053915646158888664,NA,-0.10970825000000001,0.00812508,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.043594332666666666,0.14651807991038585,NA,-0.1782652,0.16025005,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,-0.2741749431,0.28007634736939135,NA,-0.663715,-0.015671470000000003,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,-0.0534191083,0.023857596352659178,NA,-0.07402480500000001,-0.0199287,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.1542754206,0.08136426802814932,NA,-0.24844404999999997,-0.049737955,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.043594332666666666,0.14651807991038585,NA,-0.1782652,0.16025005,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,-0.0016329275466666665,0.010894718911850839,NA,-0.016833050000000002,0.0092450235,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,-0.0534191083,0.023857596352659178,NA,-0.07402480500000001,-0.0199287,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,-0.0025347796726666668,0.024729040908699648,NA,-0.0339033,0.02690352,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,-0.043594332666666666,0.14651807991038585,NA,-0.1782652,0.16025005,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,chicken_fish
