model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.0407019111139,0.04964147605990809,NA,-0.03195152,0.13059579999999973,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.10761012361716667,0.111764864074736,NA,-0.08630904499999999,0.27459284999999994,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.159146434436,0.06026091312329503,NA,-0.25844925,-0.05264141500000001,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,0.0010470994412,0.10954926595372685,NA,-0.18872204999999995,0.16222219999999948,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.01996399605881,0.05209202144776126,NA,-0.11629514999999999,0.05494010999999997,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.10761012361716667,0.111764864074736,NA,-0.08630904499999999,0.27459284999999994,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.11961951792603333,0.0640794629888197,NA,0.0068258195,0.22473264999999995,SRQS8F7JWA9MZ,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.0010470994412,0.10954926595372685,NA,-0.18872204999999995,0.16222219999999948,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.036865555842366664,0.062119937195219174,NA,-0.06583592499999999,0.1393391,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.10761012361716667,0.111764864074736,NA,-0.08630904499999999,0.27459284999999994,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.05086869741516667,0.06665708155730063,NA,-0.1630439,0.05832229999999998,2HRX9P6HKXA8V,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,0.0010470994412,0.10954926595372685,NA,-0.18872204999999995,0.16222219999999948,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.23614503585366667,0.08643189390133668,NA,0.10173215,0.37975924999999977,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.10761012361716667,0.111764864074736,NA,-0.08630904499999999,0.27459284999999994,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.0174829949686,0.07896506841221991,NA,-0.1150925,0.1463583,L69HYJ4Y3TR91,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.0010470994412,0.10954926595372685,NA,-0.18872204999999995,0.16222219999999948,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,0.13881436066666666,0.025161867962903317,NA,0.098187605,0.18037079999999994,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,0.10761012361716667,0.111764864074736,NA,-0.08630904499999999,0.27459284999999994,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.08990100725,0.025692179667383932,NA,0.047923795000000005,0.1316032,ED5J990H5VAZT,NA,NA,A5_gaussian_iid_day_gender,vegetarian
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.0010470994412,0.10954926595372685,NA,-0.18872204999999995,0.16222219999999948,mu_gamma (pooled),NA,NA,A5_gaussian_iid_day_gender,vegetarian
