model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-6.2049738776722e-6,9.570106806451402e-6,NA,-2.1176451550000003e-5,5.7480679749999945e-6,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.00664371990382,0.023946133865734413,NA,-0.0190484956,0.03860718955,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,1.9806672888147e-5,2.5975234050878492e-5,NA,-5.1481050449999994e-6,5.948327565e-5,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.08212719220366667,0.010720907001005621,NA,-0.09125494515,-0.0670708804,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,5.389671437104166e-6,9.314597141576206e-6,NA,-6.955604434999999e-6,1.9384342449999997e-5,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.00664371990382,0.023946133865734413,NA,-0.0190484956,0.03860718955,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-2.1011555815308132e-5,2.7053502463138655e-5,NA,-6.20380438e-5,4.973699854999995e-6,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.08212719220366667,0.010720907001005621,NA,-0.09125494515,-0.0670708804,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,-0.059614250694666665,0.030654442519305845,NA,-0.10184342800000001,-0.029857757,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.00664371990382,0.023946133865734413,NA,-0.0190484956,0.03860718955,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,chicken_fish
