model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.0357929025582952,0.07628045192605627,NA,-0.08362607054999999,0.16515255899999987,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,meat
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-0.0294438709384017,0.04258475990512294,NA,-0.0991901876,0.039594347699999935,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,0.015310801833204667,0.055601462531690425,NA,-0.06270172190000001,0.11975842999999993,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,meat
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.0305449837949399,0.03295638873493622,NA,-0.08316946794999999,0.023872307999999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.08531672681480033,0.07933766917077952,NA,-0.2191585835,0.0372663655999999,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,meat
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.0294438709384017,0.04258475990512294,NA,-0.0991901876,0.039594347699999935,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,meat
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.019094375664370267,0.057128258121917956,NA,-0.1255470875,0.06251889264999996,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,meat
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.0305449837949399,0.03295638873493622,NA,-0.08316946794999999,0.023872307999999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.0016619533660678666,0.06452222397736866,NA,-0.1040595755,0.11159218449999997,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,meat
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,-0.0294438709384017,0.04258475990512294,NA,-0.0991901876,0.039594347699999935,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,meat
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.11722907982992667,0.07021555230062394,NA,-0.2420916675,-0.011906927350000015,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,meat
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.0305449837949399,0.03295638873493622,NA,-0.08316946794999999,0.023872307999999995,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,meat
