model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.06228236541058833,0.06339536018323638,NA,-0.019051459950000002,0.18338433299999998,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.013228527501627667,0.07368916814445628,NA,-0.13828279749999997,0.10513534149999995,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.03286112289635407,0.06339579129671906,NA,-0.1569894665,0.05729484084999994,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,-0.027905566619515935,0.07653867212035119,NA,-0.1525306765,0.10367018449999978,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.0027681465269896667,0.07140653201584327,NA,-0.12671056199999997,0.12173288949999989,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.16596471422671,0.08445540154585349,NA,-0.31755972949999994,-0.02921462980000001,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.2805803280286,0.08831044795157028,NA,0.12174847300000001,0.3977715359999999,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,-0.0047112134846589,0.07495812645957793,NA,-0.13195136999999998,0.10441300849999995,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
