model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-0.0017151530415,0.0264115919056313,NA,-0.039721005000000004,0.044615924999999966,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,-0.05624361345257,0.03296380718318943,NA,-0.11346945,-0.004578410000000078,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.06164221757366667,0.027961896080815594,NA,-0.11098655,-0.021338375000000007,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
SRQS8F7JWA9MZ,exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.05267311401909,0.03459398342378618,NA,-0.0018269464999999996,0.11308355,SRQS8F7JWA9MZ,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_SRQS8F7JWA9MZ_2_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,0.00820248635811,0.021684479637570222,NA,-0.02039439,0.04981896499999999,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
2HRX9P6HKXA8V,exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,-0.0296730994441,0.027416034317552712,NA,-0.077119925,0.010516109999999992,2HRX9P6HKXA8V,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_2HRX9P6HKXA8V_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,-0.012185533572066667,0.019764955822017313,NA,-0.0462353,0.019771109999999974,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
L69HYJ4Y3TR91,exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.0190557484489,0.02435559443010986,NA,-0.018307715000000002,0.06116012499999999,L69HYJ4Y3TR91,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_L69HYJ4Y3TR91_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,-0.01181602808149,0.009385864399175891,NA,-0.02701507,0.0035736974999999987,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
ED5J990H5VAZT,exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,-5.4971853725e-4,0.01031826781250203,NA,-0.017737705,0.016049039999999997,ED5J990H5VAZT,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_ED5J990H5VAZT_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_1_gendermale,Gender x Level,male,-0.027961654036733334,0.051276706109082366,NA,-0.11442749999999999,0.05750287999999988,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_1_genderfemale,Gender x Level,female,0.019221974492166668,0.047594046438764026,NA,-0.055250725,0.10283674999999998,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_2_gendermale,Gender x Level,male,-0.05412055231431,0.04924256938569588,NA,-0.14347415,0.014570274999999982,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_2_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_2_genderfemale,Gender x Level,female,0.03580589173076667,0.046200498953680245,NA,-0.032432415,0.11873724999999996,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_2_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_3_gendermale,Gender x Level,male,-0.017517569484833333,0.05081159753495308,NA,-0.09658212499999999,0.06834143999999996,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_3_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_3_genderfemale,Gender x Level,female,0.0133445264304,0.04651976264414756,NA,-0.06525097,0.08917491499999995,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_3_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_4_gendermale,Gender x Level,male,-0.058542946658633334,0.053441229211670833,NA,-0.15372065,0.017455179999999945,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_4_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_4_genderfemale,Gender x Level,female,0.0030261974077,0.04861376184470396,NA,-0.081189005,0.07478691999999999,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_4_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_5_gendermale,Gender x Level,male,-9.971252473333336e-5,0.057293002109273516,NA,-0.079471505,0.10474669999999998,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_5_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_5_genderfemale,Gender x Level,female,0.021157378076266668,0.04960390302539256,NA,-0.05788457,0.10300854999999995,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_5_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
EMBVNVD207CC6,exposure_EMBVNVD207CC6_1_gendermale,Gender x Level,male,-0.024876979847266667,0.029485643756886976,NA,-0.08366101,0.009511666499999998,EMBVNVD207CC6,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_EMBVNVD207CC6_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
EMBVNVD207CC6,exposure_EMBVNVD207CC6_1_genderfemale,Gender x Level,female,-0.00167230679063,0.033850834962947364,NA,-0.060358675,0.05091667999999998,EMBVNVD207CC6,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_EMBVNVD207CC6_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1_gendermale,Gender x Level,male,0.00689224469456,0.042249162047127926,NA,-0.059662429999999995,0.07707933999999998,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1_genderfemale,Gender x Level,female,-0.015457329515766666,0.04326876623973794,NA,-0.08712880999999999,0.052720619999999954,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2_gendermale,Gender x Level,male,-2.743827748566666e-4,0.04177493621514604,NA,-0.06744473,0.067614295,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_2_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2_genderfemale,Gender x Level,female,-0.01214115282203,0.04278192460204647,NA,-0.084331635,0.05841387999999997,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_2_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_1_gendermale,Gender x Level,male,-0.009448336043006666,0.04321630811574329,NA,-0.08250718,0.06032875999999999,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_V3Q26BHF3SE2H_1_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_1_genderfemale,Gender x Level,female,0.010735229075343333,0.040452351835599455,NA,-0.056604985,0.07295513499999999,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_V3Q26BHF3SE2H_1_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_2_gendermale,Gender x Level,male,-0.020611064508833335,0.044086711799157845,NA,-0.10082189999999999,0.04266529999999994,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_V3Q26BHF3SE2H_2_gendermale,Gender x Level,male,-0.00928830170286,0.010743579704947794,NA,-0.026788395,0.007212742499999992,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_2_genderfemale,Gender x Level,female,0.0298002905465,0.03992952091032906,NA,-0.029506675,0.10243704999999988,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
mu_gamma (pooled),exposure_V3Q26BHF3SE2H_2_genderfemale,Gender x Level,female,0.007272992825336667,0.012008181593755846,NA,-0.012631165,0.027087629999999994,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,vegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_3_gendermale,Gender x Level,male,0.049380965239841,0.04254679163674412,NA,-0.01071802,0.12784714999999996,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,vegan
