"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"untextured","SRQS8F7JWA9MZ","Level Change","Base",0.132194597921833,-0.068910075,0.36157335
"untextured","SRQS8F7JWA9MZ","Level Change","Base",0.0552829014270433,-0.12531495,0.260436375
"untextured","pooled","Level Change","Base",0.0854978848861333,-0.57089075,1.241852
"untextured","SRQS8F7JWA9MZ","Slope Change","Base",-0.654782229560483,-2.14253225,0.236318275
"untextured","SRQS8F7JWA9MZ","Slope Change","Base",0.236999864364,-0.668938275,1.643044
"untextured","pooled","Slope Change","Base",0.000565882419683333,-0.692639475,0.829639649999999
"untextured","SRQS8F7JWA9MZ","Gender x Level","Female",0.0246575355852202,-0.1344587,0.19208945
"untextured","SRQS8F7JWA9MZ","Gender x Level","Female",-0.0309730937059667,-0.207142075,0.13805595
"untextured","pooled","Gender x Level","Female",-0.00273104172348333,-0.4619205,0.42128785
"untextured","SRQS8F7JWA9MZ","Gender x Level","Male",-0.10218763254811,-0.271580375,0.0559733249999998
"untextured","SRQS8F7JWA9MZ","Gender x Level","Male",0.0337220063149,-0.130062475,0.21218425
"untextured","pooled","Gender x Level","Male",-0.0625293476237333,-0.469275625,0.561491725
"breakfast","2HRX9P6HKXA8V","Level Change","Base",0.0723300016103167,-0.0817703525,0.2765767
"breakfast","ED5J990H5VAZT","Level Change","Base",0.0355788341268067,-0.0221703025,0.09523427
"breakfast","L69HYJ4Y3TR91","Level Change","Base",0.00825175022112667,-0.159715525,0.144722025
"breakfast","pooled","Level Change","Base",0.052662911931935,-0.1054732,0.2701902
"breakfast","2HRX9P6HKXA8V","Slope Change","Base",0.0527354972796333,-0.141613725,0.2585201
"breakfast","ED5J990H5VAZT","Slope Change","Base",0.169869245327333,0.0396217125,0.299972575
"breakfast","L69HYJ4Y3TR91","Slope Change","Base",0.23306429929645,-0.33470045,1.03206025
"breakfast","pooled","Slope Change","Base",0.122877174889667,-0.4116037,0.729464025
"breakfast","2HRX9P6HKXA8V","Gender x Level","Female",-0.156153689932833,-0.320083675,-0.00575085575000003
"breakfast","ED5J990H5VAZT","Gender x Level","Female",-0.0462109293226,-0.08411522,-0.00922781150000001
"breakfast","L69HYJ4Y3TR91","Gender x Level","Female",0.05446398602105,-0.03077847,0.142812675
"breakfast","pooled","Gender x Level","Female",-0.0156572362700433,-0.303656125,0.607932575
"breakfast","2HRX9P6HKXA8V","Gender x Level","Male",-0.0356901113830817,-0.169890475,0.10245175
"breakfast","ED5J990H5VAZT","Gender x Level","Male",-0.08893096515,-0.127750625,-0.04963298
"breakfast","L69HYJ4Y3TR91","Gender x Level","Male",-0.00314781326305,-0.08743897,0.08648725
"breakfast","pooled","Gender x Level","Male",0.0493290182399333,-0.225624525,0.659168749999998
