outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
total,mpbamod,count,1.0312638224834076,1.0312638224834076,1.0030832496863407,0.8973927404584473,1.1577098656956915,1.02461036892935,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Total,0.5
total,mpbamod,proportion,1.0224236288105444,1.2482707018442143,1.0224236288105444,0.9152805121811738,1.135186069065812,1.0119905071951,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Total,0.5
total,vegan,count,1.2064004021872203,1.2064004021872203,1.018941257285173,0.8581688748731239,1.6265016396246172,1.03217282885731,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/all_restaurants_weekly.png,Total,0.5
total,vegan,proportion,1.0913434317155217,2.396703939518421,1.0913434317155217,0.9703090548341916,1.2211073365656533,1.0128693353444,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/all_restaurants_weekly.png,Total,0.5
total,vegetarian,count,1.0457428170285767,1.0457428170285767,1.0044827639184053,1.003311917068086,1.10542994523062,1.02545796645636,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Total,0.5
total,vegetarian,proportion,1.0981009789678084,2.5493108081264553,1.0981009789678084,0.9872927328715464,1.1965915018083346,1.00789984355775,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Total,0.5
nonvegan,mpbamod,count,1.0219719810304606,1.0219719810304606,1.0021757711206478,0.7927158653667719,1.1548827804089525,1.02172248153063,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
nonvegan,mpbamod,proportion,1.0167280027715393,1.18045069121437,1.0167280027715393,0.9141550732793013,1.1092425000789734,1.01120456600385,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,0.5
nonvegan,vegan,count,1.1717356200571498,1.1717356200571498,1.0159748638602124,0.8033255339408503,1.6134237921450678,1.0608545877844,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
nonvegan,vegan,proportion,1.0714080545305928,1.9931916974685377,1.0714080545305928,0.9567080566897352,1.1949004183661431,1.01629986066628,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,0.5
