outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
nonvegan,Level Change,1.1092307253141096,1.1092307253141096,0.8149886852226818,1.549851474210764,1.00106356145795,1279.60284792116,Pooled,POOLED,NA,Animal,22,NA,0.15
nonvegan,Slope Change,1.297147092368625,1.297147092368625,0.879337085784653,1.9174303461423476,1.00038859036906,1582.7839629192,Pooled,POOLED,NA,Animal,22,NA,0.15
meat,Level Change,0.9583968294200238,0.9583968294200238,0.7889723670499136,1.1521075197099588,1.69921625850374,696.747937932313,Pooled,POOLED,NA,Animal,22,NA,0.15
meat,Slope Change,1.1103863373311915,1.1103863373311915,0.8001660144744887,1.739336941938158,1.25259089992189,20.111373835968,Pooled,POOLED,NA,Animal,22,NA,0.15
chicken_fish,Level Change,1.0139735165276993,1.0139735165276993,0.7948393183808957,1.2985775524746206,1.13349842644907,18.8462203546077,Pooled,POOLED,NA,Animal,25,NA,0.15
chicken_fish,Slope Change,1.5965039478060814,1.5965039478060814,1.09637618047921,2.33383642999245,1.03796914604619,50.9690407151888,Pooled,POOLED,NA,Animal,25,NA,0.15
vegetarian,Level Change,1.122275751482322,1.122275751482322,0.873300078214891,1.6144145367410274,1.22097268383495,11.7787782839776,Pooled,POOLED,NA,Plant-based,27,NA,0.15
vegetarian,Slope Change,1.1290080093886494,1.1290080093886494,1.0065278234689716,1.2665118855761959,1.01304501188119,33.1571399804258,Pooled,POOLED,NA,Plant-based,27,NA,0.15
vegan,Level Change,1.2062103017509938,1.2062103017509938,0.8352918451899038,1.6195054907147424,1.04002359987779,15.3156264336368,Pooled,POOLED,NA,Plant-based,27,NA,0.15
vegan,Slope Change,1.1212375938153936,1.1212375938153936,0.9983414004989563,1.3405579729269064,1.09873305935545,43.1107127184188,Pooled,POOLED,NA,Plant-based,27,NA,0.15
nonvegan,Level Change,1.14,NA,0.93,1.42,1.00056035937867,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,22,9,0.15
nonvegan,Level Change,1.13,NA,0.94,1.35,1.00041769816751,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/ED5J990H5VAZT.png,Animal,22,11,0.15
nonvegan,Level Change,1.57,NA,1.24,2.01,0.999804027920253,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,2,0.15
nonvegan,Level Change,0.55,NA,0.38,0.78,1.00111612127789,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,21,0.15
nonvegan,Level Change,1.1,NA,0.81,1.47,1.00184867971932,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,13,0.15
nonvegan,Level Change,1.12,NA,0.81,1.56,1.0001061106968,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,12,0.15
