"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegetarian","2HRX9P6HKXA8V","level change","Base",-0.029037295,-0.2725254225,0.20951796
"vegetarian","ED5J990H5VAZT","level change","Base",-0.01397395,-0.110817475,0.0831202605
"vegetarian","L69HYJ4Y3TR91","level change","Base",-0.02838785,-0.32975552,0.28246648
"vegetarian","SRQS8F7JWA9MZ","level change","Base",-0.0081131,-0.19090991,0.162816955
"vegetarian","SRQS8F7JWA9MZ","level change","Base",0.02491125,-0.1565389075,0.2021999765
"vegetarian","pooled","level change","Base",-0.0236158,-0.3127071625,0.1687175525
"vegetarian","2HRX9P6HKXA8V","slope change","Base",-0.02527705,-0.2514540675,0.1790191625
"vegetarian","ED5J990H5VAZT","slope change","Base",-0.16487265,-0.366117875,0.0136632202500002
"vegetarian","L69HYJ4Y3TR91","slope change","Base",-0.12741305,-0.8926037,0.442987345
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",0.13762865,-0.471827205,1.1714578375
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",-0.0540253,-1.127143275,0.55762557
"vegetarian","pooled","slope change","Base",-0.09471625,-0.4959276975,0.391881745000001
"vegetarian","2HRX9P6HKXA8V","gender x level","Female",0.13630105,-0.12820473,0.4042313825
"vegetarian","ED5J990H5VAZT","gender x level","Female",0.0635475,-0.004180125,0.1294426175
"vegetarian","L69HYJ4Y3TR91","gender x level","Female",0.0033501,-0.2336869335,0.2288070575
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",-0.1003655,-0.28661112,0.1111169075
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",0.107027035,-0.12149245075,0.300082565
"vegetarian","pooled","gender x level","Female",0.050769,-0.31300556,0.377023790825
"vegetarian","2HRX9P6HKXA8V","gender x level","Male",0.000359700000000004,-0.2246839065,0.22854086
"vegetarian","ED5J990H5VAZT","gender x level","Male",0.16462875,0.0962267575,0.23111846
"vegetarian","L69HYJ4Y3TR91","gender x level","Male",-0.0322405,-0.30072225,0.226042425
"vegetarian","SRQS8F7JWA9MZ","gender x level","Male",-0.08027865,-0.29658848975,0.1203295225
"vegetarian","SRQS8F7JWA9MZ","gender x level","Male",0.131577,-0.0740741025,0.348338255
"vegetarian","pooled","gender x level","Male",0.06567503,-0.3438686475,0.500864075
"vegan","2HRX9P6HKXA8V","level change","Base",0.07439606,-0.12028304865,0.30856139
"vegan","ED5J990H5VAZT","level change","Base",0.014493745,-0.0596604782,0.08694952025
"vegan","L69HYJ4Y3TR91","level change","Base",-0.02131368,-0.325081111,0.17151522
"vegan","SRQS8F7JWA9MZ","level change","Base",-0.00871864,-0.177872145,0.1462072575
"vegan","SRQS8F7JWA9MZ","level change","Base",0.02984845,-0.1444411205,0.19406772075
"vegan","pooled","level change","Base",0.01258502,-0.249207422,0.2190025075
"vegan","2HRX9P6HKXA8V","slope change","Base",-0.08115815,-0.2762219625,0.0907079700000001
"vegan","ED5J990H5VAZT","slope change","Base",-0.061057271,-0.21384845875,0.089445215
"vegan","L69HYJ4Y3TR91","slope change","Base",-0.06269665,-0.6011023135,0.451228105
"vegan","SRQS8F7JWA9MZ","slope change","Base",0.052700425,-0.512693405,0.996107095
"vegan","SRQS8F7JWA9MZ","slope change","Base",0.0331817,-0.93727388,0.6038064975
"vegan","pooled","slope change","Base",-0.047199525,-0.349359015,0.27643169
"vegan","2HRX9P6HKXA8V","gender x level","Female",0.13011045,-0.1011114575,0.37328949
"vegan","ED5J990H5VAZT","gender x level","Female",-0.032749555,-0.07905859275,0.0138257405
