outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Breakfast,Count,0.924359112560795,0.6626739279982004,1.4001405291178417,0.924359112560795,0.990481821967726,1.01384959533499,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/all_restaurants_weekly.png,Animal
Breakfast,Presence,0.982277410649141,0.19031902641813878,3.3923157490776656,0.982277410649141,0.96698119136001,1.00445683423579,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/all_restaurants_weekly.png,Animal
Chicken,Count,1.09616922445039,0.6603506613357871,1.8401172676342703,1.09616922445039,1.00691376613554,1.0291849385116,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count/plots/all_restaurants_weekly.png,Animal
Chicken,Presence,1.36467201710556,0.23536028175645235,4.868714065656598,1.36467201710556,1.00280297787954,1.05951113620135,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/all_restaurants_weekly.png,Animal
Dairy,Count,1.0072541581699,0.8915704506103028,1.1606159203212563,1.0072541581699,1.00052674502649,1.04301689730938,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/all_restaurants_weekly.png,Animal
Dairy,Presence,1.09446971422314,0.2053315169866682,3.652515013110829,1.09446971422314,0.98464730409117,1.05244722412622,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/all_restaurants_weekly.png,Animal
Egg,Count,1.04670469662876,0.6323531558492924,1.7693383355963288,1.04670469662876,1.00218706895245,1.00971805395007,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count/plots/all_restaurants_weekly.png,Animal
Egg,Presence,1.20420814405194,0.1845544522313099,4.060112063175159,1.20420814405194,0.990019782924495,1.00209049997432,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_presence/plots/all_restaurants_weekly.png,Animal
Total (A1),Count,1,1,1,1,1,NA,Pooled,POOLED,finalized_redone_trunc,NA,Total
Total (A1),Presence,1,1,1,1,1,NA,Pooled,POOLED,finalized_redone_trunc,NA,Total
Breakfast,Count,0.921663806657579,0.7737579348340382,1.0970174958709946,0.921663806657579,0.991528978781903,1.00051940109184,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
Breakfast,Count,0.910563245837582,0.8021443899309576,1.0253578847466063,0.910563245837582,0.99049735244099,1.00135147617202,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/ED5J990H5VAZT.png,Animal
Breakfast,Count,0.936122481280975,0.7311769740279734,1.2209407888837558,0.936122481280975,0.992736810759941,1.00141330875495,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
Breakfast,Presence,257.861330460915,0.2343616134114021,16.678346311178018,257.861330460915,1.02319578553946,1.00949610724137,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/2HRX9P6HKXA8V.png,Animal
Breakfast,Presence,0.549526122485183,0.40189854413073084,0.7354052655673966,0.549526122485183,0.940877981326239,1.00090432202296,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/ED5J990H5VAZT.png,Animal
Breakfast,Presence,0.923475514757229,0.6247330284388788,1.300041744362475,0.923475514757229,0.990507019188576,1.00020235085789,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/L69HYJ4Y3TR91.png,Animal
Chicken,Count,1.06625128576957,1.0207793814687907,1.1121857519513951,1.06625128576957,1.00641361460045,1.00804122735506,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count/plots/JHDN7CF1C03X5.png,Animal
Chicken,Count,1.13045929784817,1.0527137406931344,1.2202986208718314,1.13045929784817,1.01226793327528,1.01169826637439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
Chicken,Presence,370.32384976331,0.25490700158741514,52.528847768879956,370.32384976331,1.07801488383232,1.27877389871633,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/JHDN7CF1C03X5.png,Animal
Chicken,Presence,1.26803062537162,1.0522765710490014,1.5201460640331033,1.26803062537162,1.02361902244842,1.19599406244112,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Dairy,Count,1.03330274862468,0.9992705116810744,1.0634781259887571,1.03330274862468,1.00327035604128,1.00435876447176,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/ED5J990H5VAZT.png,Animal
Dairy,Count,1.03711868300992,1.009538462914141,1.064736251694779,1.03711868300992,1.00364320529448,1.00217427761834,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/JHDN7CF1C03X5.png,Animal
Dairy,Count,1.03735119400804,1.016100648262152,1.0600529582614555,1.03735119400804,1.00366875807917,1.00078091652972,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
