outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,0.790134008836846,0.4929044337889213,1.3262599589201844,0.790134008836846,1.0004118007458,2703.00395091767,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6138200612046615,1.0170924532758556
Breakfast-style meat,Slope change,0.44033961437255065,0.17888228324164684,1.307823457375388,0.44033961437255065,1.00065442799972,3934.89746144297,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.2650844417999242,0.7314611701433399
Ground meat,Level change,1.0127509406076738,0.4824135066988467,2.3340046181401406,1.0127509406076738,1.01042910104574,181.478657553481,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/untextured/plots/all_restaurants_weekly.png,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.6773900534772541,1.5141416122611675
Ground meat,Slope change,0.38070679190195084,0.14311457797026114,1.091054462059942,0.38070679190195084,1.0112403634854,176.724441195302,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/untextured/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.22675097155644983,0.6391931218878723
Breakfast-style meat,Level change,0.8363005136556093,0.6787011030732908,1.031450351459551,0.8363005136556093,1.00019014689066,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7516099546299717,0.9305339090206167
Breakfast-style meat,Slope change,0.5595933390662696,0.37741565149793693,0.88102262264894,0.5595933390662696,1.00018768467054,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.45076723832423216,0.6946926894942069
Breakfast-style meat,Level change,0.7719987233867248,0.5240535789414474,1.0708628844007442,0.7719987233867248,0.999835823809117,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6433444789898213,0.926380886716465
Breakfast-style meat,Slope change,1.0520433858175264,0.5987517095875766,1.8572207038771087,1.0520433858175264,1.00064740381577,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7881723841905902,1.4042553479960131
Breakfast-style meat,Level change,0.8603209101656604,0.6470251102216141,1.2077738627158134,0.8603209101656604,1.00087833707847,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7336879285341675,1.0088104760657812
Breakfast-style meat,Slope change,0.7643896498099088,0.21731459038550865,2.8952783357119856,0.7643896498099088,0.999884074414089,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/L69HYJ4Y3TR91.png,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.39484503077543004,1.4797996459244624
