outcome,effect_type,mean,q2.5,q16,q84,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,0.7127186833007275,0.4562109881116283,0.5786210660754881,0.8729621159940086,1.0934927543730641,0.7127186833007275,NA,NA,Pooled,POOLED,5,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5786210660754881,0.8729621159940086
Breakfast-style meat,Slope change,0.7567020330904142,0.4024101095906456,0.5677216943918677,1.0209955774638166,1.448828509278555,0.7567020330904142,NA,NA,Pooled,POOLED,5,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5677216943918677,1.0209955774638166
Dairy,Level change,1.4158171852858104,0.4298287653377476,0.8519244137024709,2.423297852025318,4.667391889425711,1.4158171852858104,NA,NA,Pooled,POOLED,3,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a4_its_t/dairy_t2/plots/all_restaurants_weekly.png,"Exposure: Dairy Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.8519244137024709,2.423297852025318
Dairy,Slope change,0.691420833229242,0.2661467282217575,0.4431497739039218,1.0634912779977181,1.6931222739317318,0.691420833229242,NA,NA,Pooled,POOLED,3,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a4_its_t/dairy_t2/plots/all_restaurants_weekly.png,"Exposure: Dairy Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.4431497739039218,1.0634912779977181
Whole-muscle meat,Level change,0.9703877268002824,0.40195288282916697,0.6894565115098258,1.3299980992269873,2.057578269058025,0.9703877268002824,NA,NA,Pooled,POOLED,2,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/all_restaurants_weekly.png,"Exposure: Whole-Muscle
Analog Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.6894565115098258,1.3299980992269873
Whole-muscle meat,Slope change,0.5428098578919428,0.17338133087720795,0.31334942541422045,0.9663533068076783,2.0889409112262194,0.5428098578919428,NA,NA,Pooled,POOLED,2,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/all_restaurants_weekly.png,"Exposure: Whole-Muscle
Analog Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.31334942541422045,0.9663533068076783
Ground meat,Level change,1.3840950464249737,0.36291120607614746,0.7069298746248149,2.627325231425671,4.722266684530684,1.3840950464249737,NA,NA,Pooled,POOLED,7,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.7069298746248149,2.627325231425671
Ground meat,Slope change,0.7289255674132944,0.38131845159866334,0.53670061881511,0.9699386796680877,1.2945370517293677,0.7289255674132944,NA,NA,Pooled,POOLED,7,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.53670061881511,0.9699386796680877
Breakfast-style meat,Level change,0.8048070739306744,0.6544533679683195,0.7299042319757899,0.9020005993968002,1.0222651020534699,0.8048070739306744,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/2HRX9P6HKXA8V.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7299042319757899,0.9020005993968002
Breakfast-style meat,Level change,0.7412861028453346,0.560753879327799,0.6451429549258111,0.873274329795792,1.0442884052762755,0.7412861028453346,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/L69HYJ4Y3TR91.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6451429549258111,0.873274329795792
Breakfast-style meat,Level change,0.7196546261218625,0.5382080344114677,0.6249875196531937,0.8312133457522003,0.9593871011352048,0.7196546261218625,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/ED5J990H5VAZT.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6249875196531937,0.8312133457522003
Breakfast-style meat,Level change,16.06166906571542,5.072988662696981,8.97868356461706,30.821350693537052,58.99944287119302,16.06166906571542,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/V3Q26BHF3SE2H.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,8.97868356461706,30.821350693537052
Breakfast-style meat,Level change,12.75540502112677,2.242156926827143,5.368921644094892,31.643316914700534,82.90366467000558,12.75540502112677,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/V3Q26BHF3SE2H.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,5.368921644094892,31.643316914700534
Breakfast-style meat,Level change,0.7288508618380223,0.4064866241319925,0.5362336340820193,1.015443711949954,1.441009434232831,0.7288508618380223,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/V3Q26BHF3SE2H.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5362336340820193,1.015443711949954
Breakfast-style meat,Level change,0.6543426160164241,0.32721761528731524,0.4481302575714772,0.983097474428446,1.43059887198358,0.6543426160164241,NA,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/V3Q26BHF3SE2H.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.4481302575714772,0.983097474428446
