"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegan","1SQPTEGYPH0GA","level change","Base",-0.06547449,-0.34619361185,0.04627278425
"vegan","2HRX9P6HKXA8V","level change","Base",0.01054318,-0.125568476,0.14490858275
"vegan","78AY09MVJVTYE","level change","Base",-0.054978419,-0.249393565,0.08115591725
"vegan","9XKJD8DQTH559","level change","Base",-0.1161833,-0.3254080525,0.11220929
"vegan","9XKJD8DQTH559","level change","Base",0.01382927,-0.226571669,0.1868497104
"vegan","C0BE4NDSW26QN","level change","Base",0.04963399,-0.17623925,0.2797103575
"vegan","C0BE4NDSW26QN","level change","Base",0.0538367,-0.157512905,0.2883857775
"vegan","ED5J990H5VAZT","level change","Base",0.01731222,-0.04382734025,0.0811155465
"vegan","EMBVNVD207CC6","level change","Base",-0.07013633,-0.3362712575,0.05906107025
"vegan","L69HYJ4Y3TR91","level change","Base",-0.03065615,-0.2074700575,0.110044265
"vegan","LBZEEFSBJNB3Z","level change","Base",0.030403278,-0.087862785,0.18504934175
"vegan","LQ5EH4BKGV61T","level change","Base",-0.0053268,-0.20504389,0.2206660175
"vegan","S8MT0YGD2KTN9","level change","Base",0.0295619,-0.1041953175,0.274245553
"vegan","SAFK7ND1HR6XS","level change","Base",-0.03025397,-0.17186231825,0.10020861675
"vegan","SRQS8F7JWA9MZ","level change","Base",-0.0241467,-0.12149181,0.071353515
"vegan","SRQS8F7JWA9MZ","level change","Base",0.03403215,-0.064258785,0.1328817125
"vegan","V3Q26BHF3SE2H","level change","Base",0.045694955,-0.0966929275,0.19372350425
"vegan","V3Q26BHF3SE2H","level change","Base",0.07595965,-0.06953717675,0.209210825
"vegan","V3Q26BHF3SE2H","level change","Base",-0.1012909,-0.24388751,0.02087328
"vegan","V3Q26BHF3SE2H","level change","Base",0.00252651,-0.120150345,0.1474190275
"vegan","W8T41JZK0ZMEP","level change","Base",-0.07308187,-0.25863225,0.1278696
"vegan","W8T41JZK0ZMEP","level change","Base",0.1501015,-0.041133975,0.339137315
"vegan","W8T41JZK0ZMEP","level change","Base",-0.10405805,-0.285514835,0.0566502625
"vegan","W8T41JZK0ZMEP","level change","Base",-0.0631284,-0.2467608325,0.10110973775
"vegan","W8T41JZK0ZMEP","level change","Base",-0.0022123,-0.193053025,0.2074007975
"vegan","pooled","level change","Base",-0.01699655,-0.095078325,0.04884664
"vegan","1SQPTEGYPH0GA","slope change","Base",-0.195804195,-0.399053983,0.03457479725
"vegan","2HRX9P6HKXA8V","slope change","Base",-0.025740305,-0.113678455,0.059595668
"vegan","78AY09MVJVTYE","slope change","Base",-0.026310855,-0.11392379,0.0548698325
"vegan","9XKJD8DQTH559","slope change","Base",-0.05862549,-0.31092695,0.17121598925
"vegan","9XKJD8DQTH559","slope change","Base",-0.05987965,-0.28750494,0.1619123425
"vegan","C0BE4NDSW26QN","slope change","Base",-0.01161527,-0.15518057525,0.1608692495
"vegan","C0BE4NDSW26QN","slope change","Base",-0.04703229,-0.24942183425,0.0942654075
"vegan","ED5J990H5VAZT","slope change","Base",-0.006783055,-0.1051023525,0.0879521715
"vegan","EMBVNVD207CC6","slope change","Base",-0.19359455,-0.4023150375,0.0430481675000001
"vegan","L69HYJ4Y3TR91","slope change","Base",-0.01549085,-0.269333313,0.240542355
"vegan","LBZEEFSBJNB3Z","slope change","Base",0.087963105,-0.07869526125,0.322775965
"vegan","LQ5EH4BKGV61T","slope change","Base",-0.013754415,-0.303488005,0.2564910725
"vegan","S8MT0YGD2KTN9","slope change","Base",-0.0232229,-0.1396795,0.1084506325
"vegan","SAFK7ND1HR6XS","slope change","Base",-0.024933955,-0.29828317875,0.241235265
"vegan","SRQS8F7JWA9MZ","slope change","Base",0.070102,-0.108212945,0.30378393
"vegan","SRQS8F7JWA9MZ","slope change","Base",0.060984425,-0.16346395775,0.25053915
"vegan","V3Q26BHF3SE2H","slope change","Base",0.01784215,-0.26420627425,0.274087275
"vegan","V3Q26BHF3SE2H","slope change","Base",0.0200604,-0.2545473875,0.248147465
"vegan","V3Q26BHF3SE2H","slope change","Base",0.043428225,-0.1532774975,0.34337078375
"vegan","V3Q26BHF3SE2H","slope change","Base",0.019765795,-0.258447715,0.25334963
"vegan","W8T41JZK0ZMEP","slope change","Base",0.0221533255,-0.22412701825,0.30357993
"vegan","W8T41JZK0ZMEP","slope change","Base",-0.00522025,-0.3557492805,0.1811314425
"vegan","W8T41JZK0ZMEP","slope change","Base",0.02510985,-0.209888565,0.34159840725
"vegan","W8T41JZK0ZMEP","slope change","Base",0.01209998,-0.23995383675,0.293210785
"vegan","W8T41JZK0ZMEP","slope change","Base",0.018484405,-0.21992703075,0.287067117
"vegan","pooled","slope change","Base",-0.028135395,-0.1369705,0.066749755
"vegan","1SQPTEGYPH0GA","gender x level","Female",0.480846205,0.1714359,0.773540985
"vegan","2HRX9P6HKXA8V","gender x level","Female",0.19769105,0.011416845,0.3892877575
"vegan","78AY09MVJVTYE","gender x level","Female",-0.21291685,-0.4744553325,0.03376437
"vegan","9XKJD8DQTH559","gender x level","Female",0.4703905,-0.089561515,1.3900144075
"vegan","9XKJD8DQTH559","gender x level","Female",-0.466121253,-1.3242352625,0.0489999485
"vegan","C0BE4NDSW26QN","gender x level","Female",-0.104001165,-0.68704070425,0.418705145
"vegan","C0BE4NDSW26QN","gender x level","Female",-0.0977897,-0.63073397,0.463748235
"vegan","ED5J990H5VAZT","gender x level","Female",-0.026892005,-0.07365265,0.01912994525
"vegan","EMBVNVD207CC6","gender x level","Female",0.021537985,-0.228804675,0.282369203
"vegan","L69HYJ4Y3TR91","gender x level","Female",0.0526981955,-0.13612491175,0.23739695975
"vegan","LBZEEFSBJNB3Z","gender x level","Female",-0.09000885,-0.2237446333,0.042454402
"vegan","LQ5EH4BKGV61T","gender x level","Female",0.040730295,-0.43962645,0.548988557000001
"vegan","S8MT0YGD2KTN9","gender x level","Female",0.08784335,-0.123454635,0.30398233075
"vegan","SAFK7ND1HR6XS","gender x level","Female",0.027165985,-0.164382525,0.231120225
"vegan","SRQS8F7JWA9MZ","gender x level","Female",0.02457635,-0.137867855,0.2036665325
"vegan","SRQS8F7JWA9MZ","gender x level","Female",0.0145585,-0.1687510835,0.186322055
"vegan","V3Q26BHF3SE2H","gender x level","Female",0.20604496,-0.0625123225,0.5878612125
"vegan","V3Q26BHF3SE2H","gender x level","Female",-0.0011523,-0.31053385,0.2445878985
"vegan","V3Q26BHF3SE2H","gender x level","Female",-0.09010484,-0.283455785,0.0863181625
"vegan","V3Q26BHF3SE2H","gender x level","Female",-0.138273245,-0.3739040025,0.080643735
"vegan","W8T41JZK0ZMEP","gender x level","Female",0.06375325,-0.23142103125,0.346781515
"vegan","W8T41JZK0ZMEP","gender x level","Female",0.00768220000000001,-0.2234348275,0.222441855
"vegan","W8T41JZK0ZMEP","gender x level","Female",-0.0405911,-0.3187341525,0.1967910675
"vegan","W8T41JZK0ZMEP","gender x level","Female",0.09211175,-0.16872145025,0.387918182
"vegan","W8T41JZK0ZMEP","gender x level","Female",0.1382059,-0.1396969475,0.4846415725
"vegan","pooled","gender x level","Female",0.04735499,-0.1049896365,0.202778886
"vegan","1SQPTEGYPH0GA","gender x level","Male",-0.05946823,-0.29221699,0.109018805
"vegan","2HRX9P6HKXA8V","gender x level","Male",0.0057657025,-0.161696785,0.15993501
"vegan","78AY09MVJVTYE","gender x level","Male",0.1224886,-0.0450910225,0.3502970925
"vegan","9XKJD8DQTH559","gender x level","Male",-0.15256175,-0.4839612125,0.1636544175
"vegan","9XKJD8DQTH559","gender x level","Male",-0.1332287,-0.45286078475,0.1754039125
"vegan","C0BE4NDSW26QN","gender x level","Male",-0.02722158,-0.38775541,0.3115337235
"vegan","C0BE4NDSW26QN","gender x level","Male",-0.0353151,-0.37540119,0.31456046
"vegan","ED5J990H5VAZT","gender x level","Male",0.015446185,-0.0309559754225,0.0612998507
"vegan","EMBVNVD207CC6","gender x level","Male",-0.04767373,-0.2263132384,0.10827817
"vegan","L69HYJ4Y3TR91","gender x level","Male",-0.174171505,-0.38015033,0.0155057625
"vegan","LBZEEFSBJNB3Z","gender x level","Male",0.115249635,-0.02301749475,0.27993901375
"vegan","LQ5EH4BKGV61T","gender x level","Male",-0.0024076,-0.2934913805,0.28431469
"vegan","S8MT0YGD2KTN9","gender x level","Male",0.0241748,-0.128228189,0.18871857575
"vegan","SAFK7ND1HR6XS","gender x level","Male",-0.036091555,-0.205056113,0.1058657285
"vegan","SRQS8F7JWA9MZ","gender x level","Male",-0.09829865,-0.2743165275,0.0552655575
"vegan","SRQS8F7JWA9MZ","gender x level","Male",0.06652885,-0.09039949,0.250891193
"vegan","V3Q26BHF3SE2H","gender x level","Male",0.036643115,-0.24024603025,0.318955828
"vegan","V3Q26BHF3SE2H","gender x level","Male",-0.0400598,-0.29013165225,0.2003845525
"vegan","V3Q26BHF3SE2H","gender x level","Male",0.038721,-0.1415376825,0.2241894375
"vegan","V3Q26BHF3SE2H","gender x level","Male",0.00124909,-0.2122991675,0.2037483325
"vegan","W8T41JZK0ZMEP","gender x level","Male",0.19067966,-0.08580006475,0.6594146075
"vegan","W8T41JZK0ZMEP","gender x level","Male",0.2437774585,0.0183893175,0.4982205625
"vegan","W8T41JZK0ZMEP","gender x level","Male",-0.1150481,-0.4096520675,0.140895035
"vegan","W8T41JZK0ZMEP","gender x level","Male",0.0673901,-0.18500652,0.3388142325
"vegan","W8T41JZK0ZMEP","gender x level","Male",-0.23979445,-0.7440657225,0.0925198875
"vegan","pooled","gender x level","Male",-0.007954855,-0.111399455,0.0793912425
"vegetarian","1SQPTEGYPH0GA","level change","Base",-0.050681184,-0.353174565825,0.19293690725
"vegetarian","2HRX9P6HKXA8V","level change","Base",-0.057376908,-0.228448132925,0.12000470835
"vegetarian","78AY09MVJVTYE","level change","Base",-0.0969825485,-0.3199137275,0.0565237131125001
"vegetarian","9XKJD8DQTH559","level change","Base",-0.1937445,-0.47171947975,0.0605914548500002
"vegetarian","9XKJD8DQTH559","level change","Base",-0.2061966685,-0.49940043325,0.0243800169
"vegetarian","C0BE4NDSW26QN","level change","Base",-0.042134046,-0.32871801225,0.24628154425
