outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group
breakfast,Level Change,0.791015615117281,0.6316401969982476,1.0462976642557076,0.791015615117281,1.0014864120806,2781.87391545128,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,Animal
breakfast,Slope Change,0.578662823218862,0.2951798035071541,1.1242561210872126,0.578662823218862,1.00229380825252,2606.65160547935,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,Animal
chicken,Level Change,3.07329200820184,0.4731592967923075,9.461932302386032,3.07329200820184,1.01359567793817,193.770182941458,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
chicken,Slope Change,0.575914621950477,0.1401495482091715,1.7221478727572153,0.575914621950477,1.00489722787976,273.753822087718,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
dairy,Level Change,1.8267756913002,0.46978535738778454,4.722195784490514,1.8267756913002,1.03478837522252,101.909620991679,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
dairy,Slope Change,0.549718731665847,0.1909308515987231,1.2324505137339636,0.549718731665847,1.07430866183758,36.1851602620564,Pooled,POOLED,0,finalized_redone_trunc,NA,Animal
untextured,Level Change,1.80315481830063,0.4405278026410104,4.893441626355599,1.80315481830063,1.01262387316355,246.012674664336,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,Animal
untextured,Slope Change,0.560890569794186,0.27247863660007393,1.0513317614621376,0.560890569794186,1.01482366400901,373.064785122919,Pooled,POOLED,0,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,Animal
Total (A3),Level Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,NA,Total
Total (A3),Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,NA,Total
breakfast,Level Change,0.8095412533400441,0.6544533679683195,1.0222651020534699,NA,1.0005830287617,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/2HRX9P6HKXA8V.png,Animal
breakfast,Level Change,0.7900322031397702,0.6057451658529197,1.0579591313220607,NA,1.00027930250524,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/L69HYJ4Y3TR91.png,Animal
breakfast,Level Change,0.7744313630441152,0.6089696704373093,1.0073148566850931,NA,1.00069667596235,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/ED5J990H5VAZT.png,Animal
breakfast,Slope Change,0.39812615662928846,0.2278593233621141,0.6904814684769566,NA,1.00788525830749,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/2HRX9P6HKXA8V.png,Animal
breakfast,Slope Change,0.4417147872050644,0.13594755846918125,1.225165612822987,NA,1.00198721204057,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/L69HYJ4Y3TR91.png,Animal
breakfast,Slope Change,0.786524353789292,0.4932396122332659,1.2533551377834364,NA,1.00032247756743,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/ED5J990H5VAZT.png,Animal
textured,Level Change,1.1673637320253765,1.0618963561732166,1.2907886168778218,NA,1.00001800538633,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/VLZX7K2M9QD4T.png,Animal
