"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegetarian","1SQPTEGYPH0GA","Level Change","Base",-0.0609673718689218,-0.353174565825,0.19293690725
"vegetarian","2HRX9P6HKXA8V","Level Change","Base",-0.0565347909080873,-0.228448132925,0.12000470835
"vegetarian","78AY09MVJVTYE","Level Change","Base",-0.107059491222483,-0.3199137275,0.0565237131125001
"vegetarian","9XKJD8DQTH559","Level Change","Base",-0.196128768604503,-0.47171947975,0.0605914548500002
"vegetarian","9XKJD8DQTH559","Level Change","Base",-0.214537214013537,-0.49940043325,0.0243800169
"vegetarian","C0BE4NDSW26QN","Level Change","Base",-0.042034936915591,-0.32871801225,0.24628154425
"vegetarian","C0BE4NDSW26QN","Level Change","Base",-0.0480548155495735,-0.331233696,0.24454997675
"vegetarian","ED5J990H5VAZT","Level Change","Base",-0.00170806483091767,-0.085752150275,0.084002672975
"vegetarian","EMBVNVD207CC6","Level Change","Base",0.048303573483539,-0.279787743825,0.39050032025
"vegetarian","L69HYJ4Y3TR91","Level Change","Base",-0.0381668786849413,-0.24420147375,0.180427714
"vegetarian","LBZEEFSBJNB3Z","Level Change","Base",0.0737577486470767,-0.10222214625,0.27790528915
"vegetarian","LQ5EH4BKGV61T","Level Change","Base",0.0320812298727667,-0.228932543725,0.37756181626
"vegetarian","S8MT0YGD2KTN9","Level Change","Base",-0.0262432077249187,-0.2058095655,0.210034712075
"vegetarian","SAFK7ND1HR6XS","Level Change","Base",-0.105783849073635,-0.28441968,0.058168133275
"vegetarian","SRQS8F7JWA9MZ","Level Change","Base",-0.000444109960677,-0.12044449915,0.11565106075
"vegetarian","SRQS8F7JWA9MZ","Level Change","Base",0.071227403926682,-0.051969398675,0.199662913075
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",-0.109046523903226,-0.35828055275,0.10122434597
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",0.134200530793378,-0.06113658777,0.370619295
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",-0.0226410837843685,-0.19897776375,0.1280168118
"vegetarian","V3Q26BHF3SE2H","Level Change","Base",0.121319506982046,-0.04320299395,0.31710290525
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",-0.0791541191528303,-0.3198386995,0.12867479575
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",0.155343921165,-0.060435739375,0.39123469225
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",-0.0204918651091233,-0.216030879125,0.16749290625
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",-0.0126768148077733,-0.2181784681,0.18065492225
"vegetarian","W8T41JZK0ZMEP","Level Change","Base",0.0332075684194657,-0.183773460055,0.2909376825
"vegetarian","pooled","Level Change","Base",-0.0227069127095416,-0.123256344375,0.0834579969000001
"vegetarian","1SQPTEGYPH0GA","Slope Change","Base",-0.056632421339954,-0.31507009695,0.2080675225
"vegetarian","2HRX9P6HKXA8V","Slope Change","Base",0.0240769680663523,-0.078435341695,0.13259614075
"vegetarian","78AY09MVJVTYE","Slope Change","Base",-0.0761192771485333,-0.17258124525,0.0183876423
"vegetarian","9XKJD8DQTH559","Slope Change","Base",-0.0172069108465533,-0.33706167475,0.306135922775
"vegetarian","9XKJD8DQTH559","Slope Change","Base",-0.00553486142255467,-0.31167514575,0.309625013675
"vegetarian","C0BE4NDSW26QN","Slope Change","Base",-0.006038156046641,-0.233470998475,0.20266950275
"vegetarian","C0BE4NDSW26QN","Slope Change","Base",-0.032765389360306,-0.2655542918,0.20157411175
"vegetarian","ED5J990H5VAZT","Slope Change","Base",-0.1547435103753,-0.286020583,-0.028342040375
"vegetarian","EMBVNVD207CC6","Slope Change","Base",0.0902649595795,-0.20943770275,0.400301637
"vegetarian","L69HYJ4Y3TR91","Slope Change","Base",-0.0722702868320479,-0.4583478865,0.301071573025
"vegetarian","LBZEEFSBJNB3Z","Slope Change","Base",0.183860773903071,-0.067527029975,0.46790134275
"vegetarian","LQ5EH4BKGV61T","Slope Change","Base",0.00470209537331333,-0.389518816175,0.4092078585
"vegetarian","S8MT0YGD2KTN9","Slope Change","Base",-0.0317328989667633,-0.17163624385,0.1185563500475
"vegetarian","SAFK7ND1HR6XS","Slope Change","Base",-0.108578993558342,-0.53298495575,0.265876352125
"vegetarian","SRQS8F7JWA9MZ","Slope Change","Base",0.0775158234557733,-0.167644316325,0.3868178995
"vegetarian","SRQS8F7JWA9MZ","Slope Change","Base",0.0119529220034255,-0.30898820975,0.26086493435
"vegetarian","V3Q26BHF3SE2H","Slope Change","Base",-0.060065775284803,-0.44644527525,0.25716429375
"vegetarian","V3Q26BHF3SE2H","Slope Change","Base",-0.0505238522074,-0.43519970605,0.27047039335
"vegetarian","V3Q26BHF3SE2H","Slope Change","Base",0.00983146843608433,-0.28222230425,0.375962223
