outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0038156571549046,0.9338926501112139,1.082655010949764,1.0038156571549046,1.0003809121286074,NA,Pooled,POOLED,0.969619953831657,1.0410929626640149,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.969619953831657,1.0410929626640149
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9977864031271207,0.8501473656006149,1.158708669870916,0.9780832352022506,0.9977864031271207,NA,Pooled,POOLED,0.9198060050592837,1.0783486266274132,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9198060050592837,1.0783486266274132
meat,Exposure: Alt-Protein-Modifiable,Form: Count,1.006924364818519,0.9404965948657711,1.0760839159771824,1.006924364818519,1.0006902882893776,NA,Pooled,POOLED,0.9787818879489032,1.0387519028052654,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9787818879489032,1.0387519028052654
meat,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0263552301584222,0.8820432970538383,1.165893612524043,1.2971105676925176,1.0263552301584222,NA,Pooled,POOLED,0.9519690922897517,1.0950273590257744,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9519690922897517,1.0950273590257744
chicken_fish,Exposure: Alt-Protein-Modifiable,Form: Count,1.0168201095611424,0.9390576285367153,1.1009622968284147,1.0168201095611424,1.001669413722174,NA,Pooled,POOLED,0.9809535230012403,1.055704783373272,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9809535230012403,1.055704783373272
chicken_fish,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9969682477707674,0.8508640295811025,1.172267653324013,0.9700927698860967,0.9969682477707674,NA,Pooled,POOLED,0.9180153420982248,1.08397684089801,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9180153420982248,1.08397684089801
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Count,1.007334155385726,0.9317848334705549,1.087640666857124,1.007334155385726,1.0007310061798795,NA,Pooled,POOLED,0.9668270542199575,1.0465662733602807,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9668270542199575,1.0465662733602807
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0102733865717326,0.8693943160791211,1.1885821953208613,1.1076157586963764,1.0102733865717326,NA,Pooled,POOLED,0.9336216550002504,1.092985714239719,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9336216550002504,1.092985714239719
vegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0203295343382384,0.9408177903789429,1.121646786577542,1.0203295343382384,1.002014591367842,NA,Pooled,POOLED,0.9795216878565322,1.0719092473261869,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9795216878565322,1.0719092473261869
vegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.03011270233669,0.8604901064844075,1.2304860011438306,1.3453876134847746,1.03011270233669,NA,Pooled,POOLED,0.9362645212290611,1.1295295150497657,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9362645212290611,1.1295295150497657
