outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,q16,q84,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Vegetarian,Level change,0.9462999275777239,0.6244034889014802,1.5709066723746006,0.9462999275777239,NA,NA,Pooled,POOLED,0.7615907282656715,1.2208246321493526,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.7615907282656715,1.2208246321493526
Vegetarian,Slope change,0.8730306062949297,0.600795932917519,1.209704879142852,0.8730306062949297,NA,NA,Pooled,POOLED,0.7235467958369255,1.0344484817309716,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.7235467958369255,1.0344484817309716
Vegan,Level change,1.024896503195386,0.623362808379032,1.7667879011006202,1.024896503195386,NA,NA,Pooled,POOLED,0.8034277353386128,1.3274892088840324,../../model_fits/finalized_redone_trunc/t2_a3_its/vegan/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.8034277353386128,1.3274892088840324
Vegan,Slope change,0.8593567325690932,0.5918957324373719,1.233469462541695,0.8593567325690932,NA,NA,Pooled,POOLED,0.7132996197385479,1.0254601779313415,../../model_fits/finalized_redone_trunc/t2_a3_its/vegan/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.7132996197385479,1.0254601779313415
Vegetarian,Level change,0.9544494470254519,0.8485247399121325,1.085214870811664,0.9544494470254519,NA,NA,Restaurant,VLZX7K2M9QD4T,0.8954511334339164,1.0133083663742244,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/VLZX7K2M9QD4T.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.8954511334339164,1.0133083663742244
Vegetarian,Level change,1.2937705345221535,1.1249899811811808,1.4977185820548915,1.2937705345221535,NA,NA,Restaurant,SRQS8F7JWA9MZ,1.204988182692091,1.3898338949973503,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,1.204988182692091,1.3898338949973503
Vegetarian,Level change,1.1376783150035323,0.9919840430120269,1.334049955909118,1.1376783150035323,NA,NA,Restaurant,SRQS8F7JWA9MZ,1.055594884947386,1.2228272601420151,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,1.055594884947386,1.2228272601420151
Vegetarian,Level change,0.7737275499565482,0.6217554535788363,0.9967189718754073,0.7737275499565482,NA,NA,Restaurant,2HRX9P6HKXA8V,0.6862107024414144,0.8683965897807915,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.6862107024414144,0.8683965897807915
Vegetarian,Level change,0.8953442480209058,0.7878718218359455,1.0140617568441914,0.8953442480209058,NA,NA,Restaurant,JHDN7CF1C03X5,0.8376511750919245,0.9595573168057135,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/JHDN7CF1C03X5.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.8376511750919245,0.9595573168057135
Vegetarian,Level change,1.270023234900006,0.9175281337828369,1.751454357765076,1.270023234900006,NA,NA,Restaurant,L69HYJ4Y3TR91,1.0748271251137302,1.5099511378144665,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/L69HYJ4Y3TR91.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,1.0748271251137302,1.5099511378144665
Vegetarian,Level change,1.029811046075167,0.7980918946175075,1.2942538486847546,1.029811046075167,NA,NA,Restaurant,ED5J990H5VAZT,0.9051159492235137,1.1648162169007812,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/ED5J990H5VAZT.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9051159492235137,1.1648162169007812
