outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,q1_lo,q1_hi
nonvegan,mpba-modifiable,count,-0.009050986612975,-0.2843793775,0.198358105,0.9909898502687982,0.9990953108169471,1.02172248153063,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.1321983035772607,0.11409633035131071
nonvegan,mpba-modifiable,proportion,-0.0558628476915,-1.569637275,1.445090875,0.9456688276592202,0.994429289505338,1.01120456600385,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.8249261512629285,0.7132004558799285
nonvegan,vegan,count,-0.029154966097725,-0.510124055,0.46968355,0.9712659395112743,0.9970887493231316,1.0608545877844,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.27910588574058215,0.22079595354513215
nonvegan,vegan,proportion,-0.1843572129105,-1.6805657075,1.2284422625,0.8316386786884647,0.9817331771048534,1.01629986066628,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.9264510828084592,0.5577366569874592
nonvegan,vegetarian,count,-0.001934781659375,-0.082089685,0.06722401375,0.9980670888241395,0.9998065405497558,1.018935244326,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.04002501093233419,0.036155447613584184
nonvegan,vegetarian,proportion,-0.21104519630075,-1.38873285,1.061492525,0.8097374689160626,0.9791166223140009,1.03647430644444,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.836102689923199,0.414012297321699
meat,mpba-modifiable,count,-0.010872940965275,-0.1624127125,0.15050694925,0.9891859558037066,0.9989132967935221,1.02193288153117,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.09069938528925459,0.0689535033587046
meat,mpba-modifiable,proportion,0.2997432748005,-1.0378894,1.612147725,1.349512309283656,1.0304280799285086,1.00550860518848,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.37628660402603054,0.9757731536270305
meat,vegan,count,0.01472358384325,-0.48802565,0.458427949275,1.0148325097404678,1.0014734428360996,1.02580915992028,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.22671866086976022,0.25616582855626024
meat,vegan,proportion,-0.74664848080201,-2.390363525,0.942998525,0.4739523542487133,0.9280544734501314,1.03274237024917,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-1.596995942536704,0.10369898093268404
meat,vegetarian,count,-0.0225208392532225,-0.0988895225,0.03907586825,0.9777308618000206,0.9977504501130351,1.00522769877255,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.057716091995569437,0.012674413489124438
meat,vegetarian,proportion,-1.507623106156,-2.74461125,-0.138943664999999,0.22143568204997385,0.8600520996203845,1.0492220139393,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-2.1723342247784494,-0.8429119875335506
chicken_fish,mpba-modifiable,count,-0.0237736923271525,-0.1805002775,0.1335218975,0.9765066757071207,0.9976254544714134,1.00768572338554,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.10388139003123412,0.05633400537692912
chicken_fish,mpba-modifiable,proportion,0.093210684975955,-1.765760375,1.7860064,1.0976929783262521,1.0093646449443463,1.00078508186701,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.8128522678301675,0.9992736377820775
chicken_fish,vegan,count,-0.077391199197,-0.52145225,0.355529525,0.925527717077632,0.9922907499636598,1.00287070629228,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.3011110397582245,0.1463286413642245
chicken_fish,vegan,proportion,-1.08943689536925,-2.93512975,0.814137300000001,0.33640587208619127,0.8967809142250319,1.00320238999202,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-2.0458825713896585,-0.1329912193488414
chicken_fish,vegetarian,count,0.031630158216975,-0.114840175,0.227438555,1.0321357077966395,1.0031680234345692,1.03072467010167,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,-0.0556858443340454,0.1189461607679954
