outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group
breakfast,Level Change,-0.23555271646781,-0.70743997,0.28236292,0.812870082504974,1.0004118007458,2703.00395091767,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
breakfast,Slope Change,-0.8202089989468,-1.721027325,0.2683642725,0.502509174229788,1.00065442799972,3934.89746144297,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
untextured,Level Change,0.01267033186614,-0.728953635,0.847585512499999,1.09358328217573,1.01042910104574,181.478657553481,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
untextured,Slope Change,-0.965725775190833,-1.944109725,0.0871446249999996,0.433819536704014,1.0112403634854,176.724441195302,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
Total (A3),Level Change,0,0,0,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc_cp,NA,Total
Total (A3),Slope Change,0,0,0,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc_cp,NA,Total
breakfast,Level Change,-0.178767264394667,-0.38757445,0.0309659199999999,0.840879065117117,1.00019014689066,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/2HRX9P6HKXA8V.png,Animal
breakfast,Level Change,-0.150449807982817,-0.435370175,0.18877888225,0.871264298650704,1.00087833707847,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/L69HYJ4Y3TR91.png,Animal
breakfast,Level Change,-0.258772382602867,-0.64616135,0.0684647575,0.784375588605393,0.999835823809117,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/ED5J990H5VAZT.png,Animal
breakfast,Slope Change,-0.580544939288333,-0.974408175,-0.126671975,0.572841283706759,1.00018768467054,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/2HRX9P6HKXA8V.png,Animal
breakfast,Slope Change,-0.268677606987767,-1.52640925,1.06308125,0.942832479128007,0.999884074414089,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/L69HYJ4Y3TR91.png,Animal
breakfast,Slope Change,0.0507343547365333,-0.512908275,0.619081125,1.096855278576,1.00064740381577,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/breakfast/plots/ED5J990H5VAZT.png,Animal
textured,Level Change,0.199765013316667,0.129727125,0.272556925,1.22190549983866,1.0098175799851,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/textured/plots/VLZX7K2M9QD4T.png,Animal
textured,Slope Change,-0.365768822572083,-1.11211225,0.367301925,0.743678321729826,1.0116819923268,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/textured/plots/VLZX7K2M9QD4T.png,Animal
untextured,Level Change,0.0747518749087833,-0.0554923875,0.236448475,1.08048097625729,1.00216224740543,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/untextured/plots/SRQS8F7JWA9MZ.png,Animal
untextured,Level Change,0.0482473353492233,-0.0770390525,0.19597195,1.0519289099979101,1.01026319763749,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/untextured/plots/SRQS8F7JWA9MZ.png,Animal
untextured,Slope Change,-0.667273554843167,-1.8558825,0.082466209999999,0.566954914433952,1.00166907238823,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/untextured/plots/SRQS8F7JWA9MZ.png,Animal
untextured,Slope Change,-0.134837487572558,-0.85784195,1.0622415,0.996429459590721,1.00249200851401,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/a4_its_t/untextured/plots/SRQS8F7JWA9MZ.png,Animal
