outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Breakfast,count,0.413625834559927,-0.14540036130628647,0.8677875659337135,1.5122911739183693,1.042229932375281,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/all_restaurants_weekly.png,Animal
Breakfast,presence,1.61637907328041,-0.115575295,3.28513291075,5.03482653268651,1.175434548019233,1.03929795693809,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/all_restaurants_weekly.png,Animal
Chicken,count,0.0528778604401933,-0.095095341325,0.20274414305,1.0543008654113624,1.005301791058936,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/all_restaurants_weekly.png,Animal
Chicken,presence,1.70871373967508,-0.12193927125,3.380524756,5.521854365615298,1.1863381452386965,1.0023350263566,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/all_restaurants_weekly.png,Animal
Dairy,count,0.0637193541205933,-0.037784495425,0.1897774495,1.065793246302642,1.0063922793797022,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/all_restaurants_weekly.png,Animal
Dairy,presence,1.17650915544575,-0.2057644955,2.555701013,3.243033494267972,1.1248513746926279,1.0107209270943,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/all_restaurants_weekly.png,Animal
Egg,count,0.0282665302720267,-0.046728961975,0.10115792055,1.0286698195339752,1.0028306517776764,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/all_restaurants_weekly.png,Animal
Egg,presence,0.415589850282614,-0.76818951925,1.560595995,1.515264256195708,1.0424346480752498,1.02033701124177,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/all_restaurants_weekly.png,Animal
Untextured,count,0.18430967329126,0.004671351625,0.59704421695,1.2023881129335208,1.018601865935078,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/all_restaurants_weekly.png,Animal
Untextured,presence,1.91155010251508,0.37110095375,3.363054436,6.763564895877192,1.210647100248726,1.01196527918298,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/all_restaurants_weekly.png,Animal
Total (A1),count,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,NA,Total
Total (A1),presence,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,NA,Total
Breakfast,count,NA,NA,NA,0.7930249527608402,0.9770767637397458,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
Breakfast,count,NA,NA,NA,0.8074015790848299,0.9788338043555568,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/78AY09MVJVTYE.png,Animal
Breakfast,count,-1.3330863163737665,NA,-0.4789615922587887,1.3016884886384126,1.02671688995908,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/9XKJD8DQTH559.png,Animal
Breakfast,count,-3.1567097423279282,NA,-1.0908430971471008,1.0434844676846204,1.0042656282627465,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/CB2KHY1C2G9PT.png,Animal
Breakfast,count,NA,NA,-2.6888132116901566,0.978173988742354,0.9977956609146341,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/ED5J990H5VAZT.png,Animal
Breakfast,count,NA,NA,-1.5548394112653545,0.9055625974168233,0.990129152409959,1.00366605655876,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
Breakfast,count,-0.47593437071003375,-0.8298935643058525,-0.18034406332362954,1.8613541429231089,1.0641011217760008,1.01075255647695,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal
Breakfast,count,-0.1645994031634402,-0.8081181737165226,0.25852517381116363,2.335517363821908,1.0885247548115529,1.01051798804652,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/LQ5EH4BKGV61T.png,Animal
Breakfast,count,-0.256270730335658,NA,1.2763288095128298,2.1682760687284057,1.0804668771099621,1.01993526702703,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/SAFK7ND1HR6XS.png,Animal
Breakfast,count,-0.44615935558008835,-0.8565288939133979,-0.1443461475559823,1.8966359482426358,1.0661011155239573,1.00112556708626,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/V3Q26BHF3SE2H.png,Animal
Breakfast,presence,1.2989013445876094,NA,2.2165883283838785,39.06658854086801,1.4427150054521043,1.00953855311003,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/2HRX9P6HKXA8V.png,Animal
Breakfast,presence,NA,NA,NA,0.8277822652655042,0.9812769822949907,1.00066408495887,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/78AY09MVJVTYE.png,Animal
Breakfast,presence,-1.3467571331255361,NA,-0.4780207607335238,1.2970368373326364,1.0263493960007115,1.00768910124591,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/9XKJD8DQTH559.png,Animal
Breakfast,presence,-0.9282438573150774,NA,1.5806306387242324,1.484751193495239,1.0403162164062447,1.01185242712743,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/CB2KHY1C2G9PT.png,Animal
