outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,q16,q84,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Vegetarian,Level change,-0.042013034268395,-0.47095850275,0.451652951,0.9462999275777239,NA,NA,Pooled,POOLED,-0.2723459696,0.1995265584,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2723459696,0.1995265584
Vegetarian,Slope change,-0.14774069337122,-0.509499948,0.190376428325,0.8730306062949297,NA,NA,Pooled,POOLED,-0.3235900552,0.0338684168,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3235900552,0.0338684168
Vegan,Level change,0.030111883681505,-0.47262657275,0.5691631528,1.024896503195386,NA,NA,Pooled,POOLED,-0.2188680352,0.2832893452,../../model_fits/finalized_redone_trunc/t2_a3_its/vegan/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2188680352,0.2832893452
Vegan,Slope change,-0.15464700301822,-0.52442478725,0.209830899925,0.8593567325690932,NA,NA,Pooled,POOLED,-0.3378537228,0.02514146592,../../model_fits/finalized_redone_trunc/t2_a3_its/vegan/plots/all_restaurants_weekly.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.3378537228,0.02514146592
Vegetarian,Level change,-0.0458587770211,-0.1642560375,0.081778005,0.9544494470254519,NA,NA,Restaurant,VLZX7K2M9QD4T,-0.110427628,0.013220588,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/VLZX7K2M9QD4T.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.110427628,0.013220588
Vegetarian,Level change,0.258295017365,0.11777413,0.403943005,1.2937705345221535,NA,NA,Restaurant,SRQS8F7JWA9MZ,0.18646976,0.32918424,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,Exposure: Introductions,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.18646976,0.32918424
Vegetarian,Level change,0.130350020606,-0.0080482575,0.288219395,1.1376783150035323,NA,NA,Restaurant,SRQS8F7JWA9MZ,0.05410448,0.201165604,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.05410448,0.201165604
Vegetarian,Level change,-0.2565577830888,-0.475208425,-0.00328642250000003,0.7737275499565482,NA,NA,Restaurant,2HRX9P6HKXA8V,-0.376570552,-0.141106768,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.376570552,-0.141106768
Vegetarian,Level change,-0.11040488770369,-0.238419865,0.0139638074999999,0.8953442480209058,NA,NA,Restaurant,JHDN7CF1C03X5,-0.177153524,-0.0412832292,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/JHDN7CF1C03X5.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.177153524,-0.0412832292
Vegetarian,Level change,0.2416408577721,-0.086072036,0.560446504375,1.270023234900006,NA,NA,Restaurant,L69HYJ4Y3TR91,0.0721598348,0.41207729124,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/L69HYJ4Y3TR91.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.0721598348,0.41207729124
Vegetarian,Level change,0.024898249196,-0.225531532,0.257934350475,1.029811046075167,NA,NA,Restaurant,ED5J990H5VAZT,-0.0996922228,0.15256332084,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/ED5J990H5VAZT.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0996922228,0.15256332084
Vegetarian,Level change,-0.0265126104154,-0.26321474925,0.20273816925,0.9729512118858429,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.1503064864,0.09855595932,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/W8T41JZK0ZMEP.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1503064864,0.09855595932
Vegetarian,Level change,0.0659855110907435,-0.19058928125,0.367684636175,1.0625861883780838,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.0604586044,0.19334561816,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/W8T41JZK0ZMEP.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0604586044,0.19334561816
Vegetarian,Level change,0.007592971504403,-0.28732660125,0.3287947225,1.003449957451157,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.1371473368,0.14686715476,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/W8T41JZK0ZMEP.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1371473368,0.14686715476
Vegetarian,Level change,-0.00851249001706,-0.24821181375,0.242158193475,0.9884618657612816,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.126414526,0.11421729788,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/W8T41JZK0ZMEP.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.126414526,0.11421729788
Vegetarian,Level change,0.00367403609605,-0.245862846,0.23732990485,1.0067839927331312,NA,NA,Restaurant,W8T41JZK0ZMEP,-0.1251995064,0.12896830264,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/W8T41JZK0ZMEP.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1251995064,0.12896830264
Vegetarian,Level change,0.61988750914,-0.3054577225,1.642336545,1.827391700731199,NA,NA,Restaurant,EMBVNVD207CC6,0.103689224,1.11640744,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/EMBVNVD207CC6.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.103689224,1.11640744
Vegetarian,Level change,-0.1726415276823,-0.95266973725,0.537314467625,0.8541729783013795,NA,NA,Restaurant,C0BE4NDSW26QN,-0.5294029948,0.20658294924,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/C0BE4NDSW26QN.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5294029948,0.20658294924
Vegetarian,Level change,-0.17901358159484,-0.913190055,0.4856316665,0.8553704277843374,NA,NA,Restaurant,C0BE4NDSW26QN,-0.5155094704,0.17138197704,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/C0BE4NDSW26QN.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.5155094704,0.17138197704
Vegetarian,Level change,-0.0260195901058,-0.239539276,0.17082940775,0.9758006407108809,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.1350408132,0.08155322344,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/V3Q26BHF3SE2H.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1350408132,0.08155322344
Vegetarian,Level change,0.05875400664963,-0.14292445275,0.2742739981,1.052577986219542,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.0439694936,0.16220189088,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/V3Q26BHF3SE2H.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0439694936,0.16220189088
Vegetarian,Level change,0.0030477512289,-0.156423117,0.17844570725,1.0019655842330555,NA,NA,Restaurant,V3Q26BHF3SE2H,-0.0840736168,0.0882509364,../../model_fits/finalized_redone_trunc/t2_a3_its/vegetarian/plots/V3Q26BHF3SE2H.png,Plant-based,Exposure: Introductions,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0840736168,0.0882509364
