outcome,effect_type,mean,q2.5,q16,q84,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,-0.340991870708455,-0.78479988325,-0.5471074784,-0.13586311928,0.089376935025,0.7127186833007275,NA,NA,Pooled,POOLED,5,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5471074784,-0.13586311928
Breakfast-style meat,Slope change,-0.271731998044473,-0.910283537275,-0.566123955,0.0207782076,0.37075530525,0.7567020330904142,NA,NA,Pooled,POOLED,5,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/all_restaurants_weekly.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.566123955,0.0207782076
Dairy,Level change,0.354448747312345,-0.84436836975,-0.1602574724,0.88512936124,1.54060043375,1.4158171852858104,NA,NA,Pooled,POOLED,3,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a4_its_t/dairy_t2/plots/all_restaurants_weekly.png,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1602574724,0.88512936124
Dairy,Slope change,-0.375971443625036,-1.323707512425,-0.813847476,0.0615571544,0.526574323775,0.691420833229242,NA,NA,Pooled,POOLED,3,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a4_its_t/dairy_t2/plots/all_restaurants_weekly.png,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.813847476,0.0615571544
Whole-muscle meat,Level change,-0.045613005567655,-0.911420404125,-0.37185165624,0.28517751308,0.7215296937,0.9703877268002824,NA,NA,Pooled,POOLED,2,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/all_restaurants_weekly.png,"Exposure: Whole-Muscle
Analog Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.37185165624,0.28517751308
Whole-muscle meat,Slope change,-0.587766534811703,-1.7522618855,-1.160436336,-0.0342257696000002,0.736657196500001,0.5428098578919428,NA,NA,Pooled,POOLED,2,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/textured_t2/plots/all_restaurants_weekly.png,"Exposure: Whole-Muscle
Analog Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.160436336,-0.0342257696000002
Ground meat,Level change,0.3060703892183,-1.013597086,-0.34682380524,0.9659663064,1.5522889140975,1.3840950464249737,NA,NA,Pooled,POOLED,7,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.34682380524,0.9659663064
Ground meat,Slope change,-0.329882367703704,-0.964120422,-0.6223148468,-0.03052242632,0.258153142225,0.7289255674132944,NA,NA,Pooled,POOLED,7,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/untextured_t2/plots/all_restaurants_weekly.png,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6223148468,-0.03052242632
Breakfast-style meat,Level change,-0.211287545655783,-0.4239549445,-0.31484194252,-0.10314009439999999,0.0220208534999998,0.8048070739306744,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/2HRX9P6HKXA8V.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.31484194252,-0.10314009439999999
Breakfast-style meat,Level change,-0.287492781100138,-0.5784731875,-0.4382833512,-0.13550553448,0.0433357015750001,0.7412861028453346,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,../../model_fits/finalized_redone_trunc_cp/t2_a4_its_t/breakfast_t2/plots/L69HYJ4Y3TR91.png,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4382833512,-0.13550553448
