outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
total,mpbamod,count,0.0250009081480733,1.0253160516628028,1.0025032186479277,-0.02528442535,0.0778036911,1.65253236270234,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Total,18,NA,0.5
total,mpbamod,proportion,-0.279569693348414,0.7561090302087722,0.9724302102197314,-1.350718455,0.8715409625,1.0046709875783,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Total,18,NA,0.5
total,vegan,count,0.1092229279316,1.115410978889702,1.0109821587925532,0.041536995725,0.20012374,1.11647896969507,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count/plots/all_restaurants_weekly.png,Total,18,NA,0.5
total,vegan,proportion,0.979173068644633,2.6622538302650973,1.102871581428438,0.30921300925,1.6624175075,1.00113049222929,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_prop/plots/all_restaurants_weekly.png,Total,18,NA,0.5
total,vegetarian,count,0.040216523174,1.0410361582443044,1.004029750012814,0.0129571908,0.071408104425,1.00171523307131,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Total,18,NA,0.5
total,vegetarian,proportion,0.453194814308567,1.573330663985559,1.046362099774989,-0.125375536,1.054793755,1.00104700510184,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Total,18,NA,0.5
nonvegan,mpbamod,count,0.0293739225204167,1.029809591489117,1.0029417106158705,-0.024994324575,0.0871508031,1.00056189053564,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,18,NA,0.5
nonvegan,mpbamod,proportion,-0.316696947197893,0.7285515112505948,0.9688265377557929,-1.4314293175,0.8165305425,1.00360910329107,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,18,NA,0.5
nonvegan,vegan,count,0.114669160246767,1.1215023386312193,1.0115329131260695,0.032317884675,0.20045275875,1.00398620412241,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,18,NA,0.5
nonvegan,vegan,proportion,0.864346000006447,2.373453339815529,1.0902800610707863,0.154226953,1.52202007,1.00273386236915,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,18,NA,0.5
