outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,step_size
Breakfast,count,0.9384784085429873,0.9384784085429873,0.9936705727933285,0.701018343270223,1.4936328771185439,1.01384959533499,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
Breakfast,presence,0.8449480654352011,0.8449480654352011,0.9832931225704613,0.38460621935052614,2.5985353256357793,1.00445683423579,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/all_restaurants_weekly.png,Animal,0.5
Chicken,count,1.1020890495784044,1.1020890495784044,1.0097681514384418,0.6959067030324766,1.8788493188265858,1.0291849385116,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
Chicken,presence,1.2055529445421507,1.2055529445421507,1.0188696572887859,0.39517970230171784,4.3324437098931465,1.05951113620135,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/all_restaurants_weekly.png,Animal,0.5
Dairy,count,1.0251312807726494,1.0251312807726494,1.0024851512008406,0.8695279941664278,1.0778505402861305,1.04301689730938,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
Dairy,presence,1.0805500911265686,1.0805500911265686,1.0077771113539173,0.36445853229491937,3.4461666591175697,1.05244722412622,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/all_restaurants_weekly.png,Animal,0.5
Egg,count,1.0513193350462127,1.0513193350462127,1.0050171323689028,0.6539684959601295,1.8099571120554236,1.00971805395007,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
Egg,presence,1.0956407658932343,1.0956407658932343,1.0091757783406707,0.34333264200715014,3.576001404255183,1.00209049997432,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_presence/plots/all_restaurants_weekly.png,Animal,0.5
Total (A1),count,1.0312638224834076,1.0312638224834076,1.0030832496863407,0.8973927404584473,1.1577098656956915,1.02461036892935,Pooled,POOLED,finalized_redone_trunc,NA,Total,0.5
Total (A1),presence,1.2482707018442143,1.2482707018442143,1.0224236288105444,0.41261228672807937,3.553616260749242,1.0119905071951,Pooled,POOLED,finalized_redone_trunc,NA,Total,0.5
Breakfast,count,0.92,NA,0.9913710122821782,0.77,1.1,1.00051940109184,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,0.5
Breakfast,count,0.91,NA,0.9906194923496099,0.8,1.03,1.00135147617202,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/ED5J990H5VAZT.png,Animal,0.5
