"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegetarian","2HRX9P6HKXA8V","level change","Base",-0.0551943019285667,-0.213461125,0.066932195
"vegetarian","ED5J990H5VAZT","level change","Base",-0.0223748375388809,-0.0927147575,0.0441583575
"vegetarian","L69HYJ4Y3TR91","level change","Base",0.0090971393124,-0.1539595,0.271440525
"vegetarian","SRQS8F7JWA9MZ","level change","Base",-0.0167355614861333,-0.11414395,0.0675047400000001
"vegetarian","SRQS8F7JWA9MZ","level change","Base",0.00693982332952667,-0.0871138625,0.105830525
"vegetarian","pooled","level change","Base",-0.0270289260115,-0.175567875,0.102329225
"vegetarian","2HRX9P6HKXA8V","slope change","Base",0.000236696553866667,-0.135431175,0.130382725
"vegetarian","ED5J990H5VAZT","slope change","Base",-0.106875423006,-0.2400315,0.0232289775
"vegetarian","L69HYJ4Y3TR91","slope change","Base",-0.108604039042367,-0.727292225,0.330947875
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",0.0502060249714667,-0.357639075,0.609435375
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",-0.0783766121395233,-0.62798175,0.3231883
"vegetarian","pooled","slope change","Base",-0.0532896272137,-0.382701775,0.2721682
"vegetarian","2HRX9P6HKXA8V","gender x level","Female",-0.0508686974151667,-0.183981275,0.0771316300000001
"vegetarian","ED5J990H5VAZT","gender x level","Female",0.08990100725,0.04026367,0.139759625
"vegetarian","L69HYJ4Y3TR91","gender x level","Female",0.0174829949686,-0.14043105,0.1711516
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",-0.159146434436,-0.276004775,-0.0354538375
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",0.119619517926033,-0.0156230525,0.243299875
"vegetarian","pooled","gender x level","Female",0.0010470994412,-0.243209025,0.222819425
"vegetarian","2HRX9P6HKXA8V","gender x level","Male",0.0368655558423667,-0.0856571375,0.152405925
"vegetarian","ED5J990H5VAZT","gender x level","Male",0.138814360666667,0.089163405,0.18709375
"vegetarian","L69HYJ4Y3TR91","gender x level","Male",0.236145035853667,0.08178175,0.415365575
"vegetarian","SRQS8F7JWA9MZ","gender x level","Male",0.0407019111139,-0.045087365,0.149244275
"vegetarian","SRQS8F7JWA9MZ","gender x level","Male",-0.01996399605881,-0.1351966,0.0704947675
"vegetarian","pooled","gender x level","Male",0.107610123617167,-0.165996125,0.317099825
"vegan","2HRX9P6HKXA8V","level change","Base",0.0541814764296333,-0.01627132,0.14181115
"vegan","ED5J990H5VAZT","level change","Base",0.00600543515009667,-0.0267536975,0.03779097
"vegan","L69HYJ4Y3TR91","level change","Base",0.00380712585606667,-0.115609975,0.120257725
"vegan","SRQS8F7JWA9MZ","level change","Base",-0.0168719859030667,-0.0708657075,0.036013685
"vegan","SRQS8F7JWA9MZ","level change","Base",0.0126707666593333,-0.0351972225,0.0702032775
"vegan","pooled","level change","Base",0.0118411328713667,-0.0933607625,0.109476175
"vegan","2HRX9P6HKXA8V","slope change","Base",-0.0562609397216333,-0.135837625,0.00809058075000002
"vegan","ED5J990H5VAZT","slope change","Base",-0.000700414113163333,-0.05904438,0.0613983375
"vegan","L69HYJ4Y3TR91","slope change","Base",-0.0164860577843667,-0.2518261,0.244136025
"vegan","SRQS8F7JWA9MZ","slope change","Base",-0.062679245642,-0.4009032,0.176916625
"vegan","SRQS8F7JWA9MZ","slope change","Base",0.0350765411016667,-0.20278045,0.362498375
"vegan","pooled","slope change","Base",-0.013565433972,-0.1630337,0.18297985
"vegan","2HRX9P6HKXA8V","gender x level","Female",-0.0572504481107667,-0.127667525,0.006652207
"vegan","ED5J990H5VAZT","gender x level","Female",-0.00613942435213333,-0.0273549,0.01495005
"vegan","L69HYJ4Y3TR91","gender x level","Female",0.0162813952178,-0.04495845,0.093229125
"vegan","SRQS8F7JWA9MZ","gender x level","Female",-0.09289033092,-0.15082745,-0.02919187
"vegan","SRQS8F7JWA9MZ","gender x level","Female",0.091367859322,0.0217512875,0.153513375
"vegan","pooled","gender x level","Female",-0.0236584419799,-0.156081375,0.085460755
"vegan","2HRX9P6HKXA8V","gender x level","Male",0.00313460495283,-0.043752215,0.0708672075
"vegan","ED5J990H5VAZT","gender x level","Male",-0.0166577454664667,-0.0386800125,0.004891799
"vegan","L69HYJ4Y3TR91","gender x level","Male",-0.0169873365452667,-0.07818997,0.0354437175
"vegan","SRQS8F7JWA9MZ","gender x level","Male",-0.00751112150336667,-0.049564555,0.05136022
"vegan","SRQS8F7JWA9MZ","gender x level","Male",-0.0555823453483333,-0.116165575,-0.01305858
"vegan","pooled","gender x level","Male",-0.0154530674723667,-0.102945575,0.0543667350000001
"chicken_fish","2HRX9P6HKXA8V","level change","Base",0.1743676383,0.070879,0.32975
"chicken_fish","ED5J990H5VAZT","level change","Base",-0.0199164072533333,-0.044743605,0.00985355375
"chicken_fish","L69HYJ4Y3TR91","level change","Base",0.251104219666667,0.133798,0.354852
"chicken_fish","SRQS8F7JWA9MZ","level change","Base",-0.000229355016666667,-0.000544379775,-5.33264e-05
"chicken_fish","SRQS8F7JWA9MZ","level change","Base",1.26414540818567e-05,-1.53670825e-05,9.055987e-05
"chicken_fish","pooled","level change","Base",0.065282275,-0.114005,0.193754025
"chicken_fish","2HRX9P6HKXA8V","slope change","Base",-0.098557973,-0.259793,0.0474464
"chicken_fish","ED5J990H5VAZT","slope change","Base",-0.0112726409666667,-0.198879,0.142050275
"chicken_fish","L69HYJ4Y3TR91","slope change","Base",-0.434566564,-0.805038025,-0.158298
"chicken_fish","SRQS8F7JWA9MZ","slope change","Base",-0.00202043802,-0.004896665,-0.000486751
"chicken_fish","SRQS8F7JWA9MZ","slope change","Base",0.000163611890730243,-3.08274225e-05,0.000748107775000001
"chicken_fish","pooled","slope change","Base",-0.152209353366667,-0.198799025,-0.0757572
"chicken_fish","2HRX9P6HKXA8V","gender x level","Female",-0.0680175908533333,-0.10979005,0.00812580125
"chicken_fish","ED5J990H5VAZT","gender x level","Female",-0.00253477967266667,-0.03396402,0.026935655
"chicken_fish","L69HYJ4Y3TR91","gender x level","Female",-0.1542754206,-0.248465025,-0.0495541
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Female",-5.01527038263333e-06,-5.5459285e-05,4.05342725e-05
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Female",6.70052220643333e-06,-3.93286175e-05,6.179045e-05
"chicken_fish","pooled","gender x level","Female",-0.0435943326666667,-0.17847205,0.160333025
"chicken_fish","2HRX9P6HKXA8V","gender x level","Male",-0.141061916066667,-0.193057,-0.0519503
"chicken_fish","ED5J990H5VAZT","gender x level","Male",-0.00163292754666667,-0.0169945025,0.009257512
"chicken_fish","L69HYJ4Y3TR91","gender x level","Male",-0.2741749431,-0.66401605,-0.0156594825
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",-4.35747086393333e-06,-5.0608595e-05,4.05478125e-05
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",6.70456707465667e-06,-4.0037035e-05,5.928606e-05
"chicken_fish","pooled","gender x level","Male",-0.0534191083,-0.0740311025,-0.0199122
