"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"vegetarian","2HRX9P6HKXA8V","level change","Base",-0.04607385,-0.213461125,0.066932195
"vegetarian","ED5J990H5VAZT","level change","Base",-0.02192015,-0.0927147575,0.0441583575
"vegetarian","L69HYJ4Y3TR91","level change","Base",-0.008200045,-0.1539595,0.271440525
"vegetarian","SRQS8F7JWA9MZ","level change","Base",-0.01372935,-0.11414395,0.0675047400000001
"vegetarian","SRQS8F7JWA9MZ","level change","Base",0.005491045,-0.0871138625,0.105830525
"vegetarian","pooled","level change","Base",-0.02402625,-0.175567875,0.102329225
"vegetarian","2HRX9P6HKXA8V","slope change","Base",0.000927963,-0.135431175,0.130382725
"vegetarian","ED5J990H5VAZT","slope change","Base",-0.1073575,-0.2400315,0.0232289775
"vegetarian","L69HYJ4Y3TR91","slope change","Base",-0.0756257,-0.727292225,0.330947875
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",0.0124917,-0.357639075,0.609435375
"vegetarian","SRQS8F7JWA9MZ","slope change","Base",-0.04406845,-0.62798175,0.3231883
"vegetarian","pooled","slope change","Base",-0.0539661,-0.382701775,0.2721682
"vegetarian","2HRX9P6HKXA8V","gender x level","Female",-0.0511448,-0.183981275,0.0771316300000001
"vegetarian","ED5J990H5VAZT","gender x level","Female",0.0899715,0.04026367,0.139759625
"vegetarian","L69HYJ4Y3TR91","gender x level","Female",0.0181201,-0.14043105,0.1711516
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",-0.161721,-0.276004775,-0.0354538375
"vegetarian","SRQS8F7JWA9MZ","gender x level","Female",0.121524,-0.0156230525,0.243299875
"vegetarian","pooled","gender x level","Female",0.009206895,-0.243209025,0.222819425
"vegetarian","2HRX9P6HKXA8V","gender x level","Male",0.038273,-0.0856571375,0.152405925
"vegetarian","ED5J990H5VAZT","gender x level","Male",0.139126,0.089163405,0.18709375
"vegetarian","L69HYJ4Y3TR91","gender x level","Male",0.2330585,0.08178175,0.415365575
"vegetarian","SRQS8F7JWA9MZ","gender x level","Male",0.0335939,-0.045087365,0.149244275
"vegetarian","SRQS8F7JWA9MZ","gender x level","Male",-0.0136488,-0.1351966,0.0704947675
"vegetarian","pooled","gender x level","Male",0.114628,-0.165996125,0.317099825
"vegan","2HRX9P6HKXA8V","level change","Base",0.05166365,-0.01627132,0.14181115
"vegan","ED5J990H5VAZT","level change","Base",0.005996765,-0.0267536975,0.03779097
"vegan","L69HYJ4Y3TR91","level change","Base",0.00622574,-0.115609975,0.120257725
"vegan","SRQS8F7JWA9MZ","level change","Base",-0.01659685,-0.0708657075,0.036013685
"vegan","SRQS8F7JWA9MZ","level change","Base",0.01077295,-0.0351972225,0.0702032775
