Outcome,Exposure_Group,Exposure_Type,Mean_t,Q2.5_t,Q97.5_t,Rhat,ci
Total,Mpbamod,count,1.0332584814347086,0.8973927404584473,1.1577098656956915,1.0246103689293478,"1.033 [0.897, 1.158]"
Total,Mpbamod,prop,1.0239266049540283,0.9152805121811738,1.135186069065812,1.0119905071951012,"1.024 [0.915, 1.135]"
Total,Vegan,count,1.222299157595281,0.8581688748731239,1.6265016396246172,1.0321728288573113,"1.222 [0.858, 1.627]"
Total,Vegan,prop,1.0931788663623339,0.9703090548341916,1.2211073365656533,1.0128693353443976,"1.093 [0.970, 1.221]"
Total,Vegetarian,count,1.0460320896559694,1.003311917068086,1.10542994523062,1.0254579664563603,"1.046 [1.003, 1.105]"
Total,Vegetarian,prop,1.0992993846906096,0.9872927328715464,1.1965915018083346,1.0078998435577542,"1.099 [0.987, 1.197]"
Nonvegan,Mpbamod,count,1.0257079594352,0.792715865366772,1.1548827804089525,1.0217224815306314,"1.026 [0.793, 1.155]"
Nonvegan,Mpbamod,prop,1.017893403538443,0.9141550732793013,1.1092425000789734,1.0112045660038544,"1.018 [0.914, 1.109]"
Nonvegan,Vegan,count,1.1897806129342952,0.8033255339408503,1.6134237921450678,1.060854587784399,"1.190 [0.803, 1.613]"
Nonvegan,Vegan,prop,1.072972663087735,0.9567080566897352,1.1949004183661431,1.0162998606662785,"1.073 [0.957, 1.195]"
Nonvegan,Vegetarian,count,1.0440705450801664,0.987609509657159,1.100340508407085,1.0189352443260047,"1.044 [0.988, 1.100]"
Nonvegan,Vegetarian,prop,1.0759505970224288,0.9956479265883674,1.1636885560769854,1.0364743064444362,"1.076 [0.996, 1.164]"
Meat,Mpbamod,count,1.0212820951050876,0.920698058419149,1.1406672805714737,1.0219328815311688,"1.021 [0.921, 1.141]"
Meat,Mpbamod,prop,1.0542796807427874,0.9688546556605294,1.1271206122935844,1.0055086051884847,"1.054 [0.969, 1.127]"
Meat,Vegan,count,1.245914974487958,0.8317273260418013,1.849731789627327,1.0258091599202765,"1.246 [0.832, 1.850]"
Meat,Vegan,prop,1.014807924016892,0.8940787012188453,1.1500042925265788,1.0327423702491652,"1.015 [0.894, 1.150]"
Meat,Vegetarian,count,1.0227082715018958,0.9765431170061464,1.0713687831107808,1.0052276987725548,"1.023 [0.977, 1.071]"
Meat,Vegetarian,prop,0.9456287461061551,0.8595388108760905,1.053269375368147,1.0492220139392971,"0.946 [0.860, 1.053]"
Chicken Fish,Mpbamod,count,1.0067942245620778,0.9056331446910109,1.1003282534329173,1.007685723385545,"1.007 [0.906, 1.100]"
Chicken Fish,Mpbamod,prop,1.0341179769388131,0.8813162503316976,1.1858118256971446,1.000785081867011,"1.034 [0.881, 1.186]"
Chicken Fish,Vegan,count,1.125583452878781,0.8487547106682823,1.5040280114672655,1.0028707062922775,"1.126 [0.849, 1.504]"
Chicken Fish,Vegan,prop,0.9825129565432666,0.8472493166888942,1.1415236441483951,1.0032023899920162,"0.983 [0.847, 1.142]"
Chicken Fish,Vegetarian,count,1.075094694584799,0.9271595072383825,1.282949276784914,1.0307246701016723,"1.075 [0.927, 1.283]"
Chicken Fish,Vegetarian,prop,0.933035512419532,0.7906291168474738,1.1106641003227071,1.0022995470679332,"0.933 [0.791, 1.111]"
Vegetarian,Mpbamod,count,1.0639878074221938,0.8175392010546322,1.314666899267664,1.066083400231267,"1.064 [0.818, 1.315]"
Vegetarian,Mpbamod,prop,0.9945899770603474,0.8586242542399414,1.1429321823211087,1.005116309399977,"0.995 [0.859, 1.143]"
Vegetarian,Vegan,count,1.1926689099493661,0.9343884526703499,1.5315635244292187,1.0237696383162251,"1.193 [0.934, 1.532]"
Vegetarian,Vegan,prop,1.1038141042118899,1.0078615053767674,1.214398843091184,1.04992891750951,"1.104 [1.008, 1.214]"
Vegetarian,Vegetarian,count,1.0668679976551387,0.971232752987281,1.1657047328172954,1.0135150510127704,"1.067 [0.971, 1.166]"
Vegetarian,Vegetarian,prop,1.2090966421123452,1.0590474425478604,1.2996867189464114,1.037881680033974,"1.209 [1.059, 1.300]"
Vegan,Mpbamod,count,1.042337952799849,0.9092359568467966,1.1876710634695504,1.0097635999199097,"1.042 [0.909, 1.188]"
Vegan,Mpbamod,prop,1.00250890257036,0.8896256257292637,1.1260079048658438,1.015845124457427,"1.003 [0.890, 1.126]"
Vegan,Vegan,count,1.1423284788613086,0.91563698494742,1.4418719000501148,1.0136758347091264,"1.142 [0.916, 1.442]"
Vegan,Vegan,prop,1.166798612410558,1.0192054111145556,1.2913558655962871,1.0007664119023554,"1.167 [1.019, 1.291]"
Vegan,Vegetarian,count,1.0506059294388603,0.9892214023993878,1.1206422405254768,1.0269782768550348,"1.051 [0.989, 1.121]"
Vegan,Vegetarian,prop,1.135826558974137,1.0227190031392825,1.242516706781426,1.0117014558297612,"1.136 [1.023, 1.243]"
