Outcome,Exposure_Group,Exposure_Type,Mean_t,Q2.5_t,Q97.5_t,Rhat,ci
Chicken Fish,Mpbamod,count,1.0426767234984984,0.9930828498650622,1.0970918023443978,1.0006385288533457,"1.043 [0.993, 1.097]"
Chicken Fish,Mpbamod,prop,0.9707769820086185,0.8756083833264829,1.0777464141753261,1.0031256058591522,"0.971 [0.876, 1.078]"
Chicken Fish,Vegan,count,1.0612307972255104,1.0025589786959668,1.1267447436236575,1.0031688147820446,"1.061 [1.003, 1.127]"
Chicken Fish,Vegan,prop,1.0047393150697699,0.9104044755465691,1.1102722821749378,1.002788237574927,"1.005 [0.910, 1.110]"
Chicken Fish,Vegetarian,count,1.0179401052796369,0.990410888053749,1.0473921623212465,1.0013799737509586,"1.018 [0.990, 1.047]"
Chicken Fish,Vegetarian,prop,0.8706857775144755,0.8033305141729353,0.9455484820708988,1.0054085358111302,"0.871 [0.803, 0.946]"
Vegetarian,Mpbamod,count,1.033979887476997,0.9824249646624826,1.0886093652465303,1.009865505849831,"1.034 [0.982, 1.089]"
Vegetarian,Mpbamod,prop,0.9832685146039457,0.8993577783392529,1.0832054992298532,1.0261172939846814,"0.983 [0.899, 1.083]"
Vegetarian,Vegan,count,1.098750783552142,1.0525791493188594,1.1477719174743235,1.0021171087298122,"1.099 [1.053, 1.148]"
Vegetarian,Vegan,prop,1.0896747825217317,1.0403819912559717,1.143026821023793,1.002149408619785,"1.090 [1.040, 1.143]"
Vegetarian,Vegetarian,count,1.0535716203392038,1.019499219030295,1.0855939374419084,1.0427826580805608,"1.054 [1.019, 1.086]"
Vegetarian,Vegetarian,prop,1.0843157595263342,1.024871993088593,1.1437443526252566,1.016019353969806,"1.084 [1.025, 1.144]"
Vegan,Mpbamod,count,1.0517906154744763,0.9899089695803428,1.1242355010137313,1.0216551946902965,"1.052 [0.990, 1.124]"
Vegan,Mpbamod,prop,1.0018681494943624,0.8970547338500654,1.128576156824257,1.0107025465369956,"1.002 [0.897, 1.129]"
Vegan,Vegan,count,1.1398723195170524,1.0694629910844662,1.2226456177533978,1.0050888444833992,"1.140 [1.069, 1.223]"
Vegan,Vegan,prop,1.1383633662464858,1.0458338501949695,1.23320090389911,1.0046768433392874,"1.138 [1.046, 1.233]"
Vegan,Vegetarian,count,1.0549328819259574,1.0149105849825204,1.0969311749605852,1.0159106940139226,"1.055 [1.015, 1.097]"
Vegan,Vegetarian,prop,1.0313289894254458,0.9675031241382027,1.1007447101893715,1.003864861606656,"1.031 [0.968, 1.101]"
