Outcome,Exposure_Type,Mean,Rhat,Source
Breakfast,Count,-0.0634954295676,1.0138495953349884,trunc
Breakfast,Presence,-0.1684801145372,1.004456834235794,trunc
Chicken,Count,0.097207514705925,1.029184938511602,trunc
Chicken,Presence,0.18693833683033334,1.0595111362013454,trunc
Dairy,Count,0.02482068319156667,1.043016897309382,trunc
Dairy,Presence,0.0774702551004,1.0524472241262193,trunc
Egg,Count,0.05004588498975,1.0097180539500654,trunc
Egg,Presence,0.09133936645245,1.0020904999743245,trunc
Untextured,Count,0.09228559790783333,1.273588304635101,trunc
Untextured,Presence,0.09228559790783333,1.273588304635101,trunc
