Outcome,Exposure_Type,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
breakfast_p,count,1.5122911739183693,0.4943919985300969,3.750725535147209,1.03017608585881,"1.512 [0.494, 3.751]"
breakfast_p,presence,1.175434548019233,0.9885090021834344,1.3889017002020918,1.03929795693809,"1.175 [0.989, 1.389]"
chicken_p,count,1.0543008654113624,0.9092862377806943,1.224759065037149,1.01474424609042,"1.054 [0.909, 1.225]"
chicken_p,presence,1.1863381452386965,0.9878801175337274,1.402214083500084,1.0023350263566,"1.186 [0.988, 1.402]"
dairy_p,count,1.065793246302642,0.9629204322912432,1.2089805084987422,1.02207786911368,"1.066 [0.963, 1.209]"
dairy_p,presence,1.1248513746926279,0.9796338010484386,1.2911975244704168,1.0107209270943,"1.125 [0.980, 1.291]"
egg_p,count,1.0286698195339752,0.9543460266018564,1.1064513593745304,1.03273005007463,"1.029 [0.954, 1.106]"
egg_p,presence,1.0424346480752498,0.9260574993576652,1.1688958666230953,1.02033701124177,"1.042 [0.926, 1.169]"
textured_p,count,1.5331815738064805,0.6955276392626807,3.2572968443933448,1.00542763554283,"1.533 [0.696, 3.257]"
textured_p,presence,1.0951102836838302,0.9051914900287329,1.293774935096045,1.00692726283197,"1.095 [0.905, 1.294]"
untextured_p,count,1.2023881129335208,1.0046822793971983,1.8167409642989678,1.02174494963019,"1.202 [1.005, 1.817]"
untextured_p,presence,1.210647100248726,1.0378072723295861,1.3997665092431577,1.01196527918298,"1.211 [1.038, 1.400]"
