Outcome,Effect,Mean_t,Q2.5_t,Q97.5_t,Rhat,ci
nonvegan,Level,0.9365652083970116,0.5762107561366104,1.5222804854614316,1.00106356145795,"0.937 [0.576, 1.522]"
nonvegan,Slope,0.993512605860004,0.5968560106207558,1.6537779304193378,1.00038859036906,"0.994 [0.597, 1.654]"
meat,Level,0.8092104787474389,0.5378730768637814,1.2174277298517688,1.69921625850374,"0.809 [0.538, 1.217]"
meat,Slope,0.8504685628973783,0.4966023101158614,1.4564909621704754,1.25259089992189,"0.850 [0.497, 1.456]"
chicken_fish,Level,0.8561359653528303,0.5524416599693756,1.326780444493007,1.13349842644907,"0.856 [0.552, 1.327]"
chicken_fish,Slope,1.2227964020288984,0.7373854215267055,2.0277469518166593,1.03796914604619,"1.223 [0.737, 2.028]"
vegetarian,Level,0.9466229026306016,0.5975374135175562,1.4996465485059662,1.22097268383495,"0.947 [0.598, 1.500]"
vegetarian,Slope,0.8941706556895953,0.6285449560489527,1.272050875282325,1.01304501188119,"0.894 [0.629, 1.272]"
vegan,Level,1.0174204472637984,0.6145223334655349,1.6844698884626021,1.04002359987779,"1.017 [0.615, 1.684]"
vegan,Slope,0.8880165119365486,0.6242189853965223,1.2632959649105022,1.09873305935545,"0.888 [0.624, 1.263]"
