Outcome,Effect,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
breakfast_t2,Level,-0.00302767958061407,-0.09219954121725,0.0784808557325,1.00766016142274,"-0.003 [-0.092, 0.078]"
breakfast_t2,Slope,0.0197410689590871,-0.127279084375,0.16509024325,1.00990605119799,"0.020 [-0.127, 0.165]"
chicken_t2,Level,-0.0763087073886,-0.3347986535,0.0591194900000001,3.09498099382538,"-0.076 [-0.335, 0.059]"
chicken_t2,Slope,-0.127583512148763,-0.4882796025,0.10781568825,1.8918177169953,"-0.128 [-0.488, 0.108]"
dairy_t2,Level,0.09454991407095,-0.5707658225,0.821948801,1.00207254097405,"0.095 [-0.571, 0.822]"
dairy_t2,Slope,-0.182463406776731,-0.6980500245,0.2213556885,1.00457995001283,"-0.182 [-0.698, 0.221]"
textured_t2,Level,-0.0554135215341333,-0.273825375,0.19617930175,1.24384589387136,"-0.055 [-0.274, 0.196]"
textured_t2,Slope,-0.0977033096147433,-1.34432741,1.3034095475,1.09273546716128,"-0.098 [-1.344, 1.303]"
untextured_t2,Level,-0.0640136337718333,-0.2036053965,0.03419673865,3.10637957153127,"-0.064 [-0.204, 0.034]"
untextured_t2,Slope,-0.06554773392653,-0.22988162975,0.104373221975,3.74841791614017,"-0.066 [-0.230, 0.104]"
