fit_dir,total_dir,analysis,outcome,gamma_index,level,restaurant,type_fine,model_col,total_source,mean,median,q2.5,q16,q84,q97.5
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_1,matched_restaurant,0.00507426824156667,0.0089029635,-0.153567252825,-0.06605186028,0.070894353896,0.159042311275
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_2,matched_restaurant,0.0166725182851685,0.0174076481,-0.147572718713425,-0.051197777004,0.0873710044628,0.16970550170275
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,2HRX9P6HKXA8V,level,exposure_2HRX9P6HKXA8V_1,matched_restaurant,0.198499944196267,0.1702857,-0.0360892575,0.0621437084,0.356483888,0.464350925
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,L69HYJ4Y3TR91,level,exposure_L69HYJ4Y3TR91_1,matched_restaurant,0.212440793425217,0.2300915,-0.093004225,0.078667472,0.349949786,0.445952835
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,ED5J990H5VAZT,level,exposure_ED5J990H5VAZT_1,matched_restaurant,-0.0115953682134033,-0.0120487,-0.0854185025,-0.0510018692,0.0279385944,0.067474344
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,SRQS8F7JWA9MZ,slope,exposure_SRQS8F7JWA9MZ_1_slope,matched_restaurant,0.155387240204667,0.078456675,-0.367663097625,-0.06078830488,0.38922421756,1.067034735775
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,SRQS8F7JWA9MZ,slope,exposure_SRQS8F7JWA9MZ_2_slope,matched_restaurant,-0.0501976096101698,0.0215709868,-0.9765233551625,-0.2961063074736,0.1901670834124,0.494158101675
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,2HRX9P6HKXA8V,slope,exposure_2HRX9P6HKXA8V_1_slope,matched_restaurant,-0.127287887265,-0.12144855,-0.3989117175,-0.296325564,0.03614848,0.133973525
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,L69HYJ4Y3TR91,slope,exposure_L69HYJ4Y3TR91_1_slope,matched_restaurant,-0.478722297801933,-0.40638385,-1.1346573,-0.860070184,-0.1644804808,0.10651965
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,ED5J990H5VAZT,slope,exposure_ED5J990H5VAZT_1_slope,matched_restaurant,-0.0711170671777933,-0.04473715,-0.364681725,-0.261401644,0.09426572,0.17509947
