"table_id","tier","analysis","outcome_key","outcome_label","outcome_order","column","column_order","exposure","fit_dir","total_dir","gamma_index","n_rest","reported","suppress_reason","transform"
"t1_a1","T1","a1_proportion","nonvegan","Nonvegan",1,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","nonvegan","Nonvegan",1,"Count",1,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","nonvegan","Nonvegan",1,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","nonvegan","Nonvegan",1,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","nonvegan","Nonvegan",1,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","nonvegan","Nonvegan",1,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","meat","Meat",2,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","meat","Meat",2,"Count",1,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","meat","Meat",2,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","meat","Meat",2,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","meat","Meat",2,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","meat","Meat",2,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","chicken_fish","Chicken & fish",3,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,5,TRUE,,"exp"
"t1_a1","T1","a1_proportion","chicken_fish","Chicken & fish",3,"Count",1,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count",1,5,TRUE,,"exp"
"t1_a1","T1","a1_proportion","chicken_fish","Chicken & fish",3,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count",1,5,TRUE,,"exp"
"t1_a1","T1","a1_proportion","chicken_fish","Chicken & fish",3,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,5,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","chicken_fish","Chicken & fish",3,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop",1,5,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","chicken_fish","Chicken & fish",3,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop",1,5,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Count",1,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop",1,6,TRUE,,"exp_p10"
