"fit_dir","variable","model_col","type_fine","restaurant","transform","mean","median","sd","q2.5","q97.5","mean_t","q2.5_t","q97.5_t","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp",0.00333439803391667,0.007530685,0.0690868874540936,-0.1565105,0.144896875,1.00333996332295,0.855122538869113,1.15592035983423,1.00451461746586,1426.46001234964,2469.13122311103
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp",-0.01579234787008,-0.0146839,0.0239824940581028,-0.0658319225,0.0255950075,0.984331697408369,0.936288220050573,1.02592537224518,1.00726044385407,936.407622991739,1917.92586363278
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",0.0311181642612667,0.0304558,0.0188129912830563,-0.0033736005,0.0686033325,1.03160739581059,0.996632083696301,1.07101128950733,1.00085203378269,1935.14393876776,3454.00568413358
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",-0.0261734650169283,-0.0009234895,0.103671189239653,-0.33171895,0.119779,0.974166091214015,0.717689001006026,1.12724770230718,1.00766484040018,773.576495704004,1177.52774847368
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp",0.012406125870665,0.01245085,0.0133497240472133,-0.01385559,0.03822998,1.01248340108157,0.986239956891885,1.0389701477592,1.00057782700639,4115.00124347679,4916.00105104612
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp",0.00577864642968167,0.008595685,0.0445962902240399,-0.0991209725,0.0956085474999997,1.0057953750143,0.905633144691011,1.10032825343292,1.00768572338554,441.691499744107,627.450274760864
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_count","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp",-0.0117897202929,-0.00486935,0.988727561439166,-1.968019,1.92770875,0.988279506138894,0.13973339406752,6.87374272180317,1.00167907414423,1377.66764084173,2258.80539910095
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp_p10",0.072854334724,0.1094425,1.69860477215584,-3.49112725,3.249892,1.00731203680921,0.705313619310865,1.38401569853049,1.0021081610892,1650.81920553532,3104.47158484059
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp_p10",-1.12432696524,-1.118085,0.514465142904401,-2.1332615,-0.121255925,0.893657491340056,0.807892600070991,0.987947626257669,1.00041249677008,2949.16146380638,3834.6994382575
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp_p10",2.97481797133333,2.986005,0.790028822176114,1.41230475,4.498212,1.34646386562748,1.15169005316394,1.56803179633894,1.00019841734816,4122.28413250766,3803.84513221996
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp_p10",-0.517422481156417,-0.260751,2.23920061545714,-5.7340515,3.20966,0.949573589684726,0.563603014680573,1.37845871250077,1.0001520880962,1416.89804765023,1922.11540411261
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp_p10",0.69071768185965,0.689237,0.692424690578464,-0.679057,2.04076025,1.07151310694083,0.934348578493953,1.2263913863173,0.999942907560298,3626.14848022955,4512.02285182858
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp_p10",0.30799159983397,0.33972,0.744054641649928,-1.2633875,1.70427625,1.03127836112277,0.881316250331698,1.18581182569714,1.00078508186701,803.132187485461,1762.61085150922
"model_fits/finalized_redone_trunc/proportion/chicken_fish/mpbamod_dishes_prop","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp_p10",-0.0321283079079833,-0.0389254,0.988327563260781,-1.93766475,1.9537,0.996792324827193,0.823850271441069,1.21576073475303,1.00165609770194,1855.28876411901,2749.5776020692
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp",-0.0516264913286833,-0.05152745,0.0814689274995768,-0.209205325,0.1037569,0.949683515634663,0.811228653019027,1.1093307438297,1.00163656189111,1994.90534305777,2620.1058383273
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp",0.417295918633333,0.4162825,0.118172213357515,0.19324655,0.655887675,1.51785160705731,1.21318186663859,1.92685217695925,1.00379887083133,1041.32245279649,2015.5245281807
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",-0.0524656468166667,-0.05241635,0.0105843707364408,-0.073381995,-0.032316625,0.948886917782147,0.929245794971852,0.968199977224589,1.00093093893411,3646.20344691817,4883.74597873672
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",0.1721951619013,0.1718795,0.0923029863244624,-0.00667233675,0.359903975,1.18790964529768,0.993349873862502,1.43319178571132,1.00115324654931,1590.69446606305,2906.94696851894
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp",0.0144822267332267,0.0143313,0.0101893321780391,-0.00531835775,0.035050645,1.01458760225503,0.994695759676316,1.03567215908794,1.00202450324549,2276.28727819418,4956.18148976397
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp",0.108706688404667,0.1019945,0.137895743122556,-0.16398505,0.40814685,1.11483530825838,0.848754710668282,1.50402801146727,1.00287070629228,280.308288161108,631.141217833375
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp",-0.0866249551656667,-0.0573947,1.00522141765966,-2.07507725,1.920693,0.917020955119953,0.125546728633797,6.82568703176762,1.00114979934542,929.106489975337,1614.50420537105
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp_p10",-1.154242714544,-1.12932,1.24666723659958,-3.71510075,1.27903,0.890988042910955,0.689692057146648,1.13644276240254,1.00027447723068,1654.64698931678,2861.31289831375
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp_p10",0.7668260714415,0.6664175,1.72115189985733,-2.2697915,4.489874,1.07969933314854,0.796937398261671,1.56672491634114,1.00101655804435,1116.63709053708,2270.37238748228
