"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","mean","q2.5","q97.5","mean_exp","mean_exp_p10","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",1,"pooled",NA,"level",-0.0237736923271525,-0.1805002775,0.1335218975,0.979338502466512,0.997654370666325,1.00768572338554,441.691499744107,627.450274760864
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",2,"pooled",NA,"slope",-0.00609343656435,-2.931703575,2.81881825,2.85398230413487,1.01024846059932,1.00167907414423,1377.66764084173,2258.80539910095
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","2HRX9P6HKXA8V","level",0.00581342012575,-0.154687075,0.145800825,1.00810055950824,1.00060421454607,1.00451461746586,1426.46001234964,2469.13122311103
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","ED5J990H5VAZT","level",-0.015317062545495,-0.0657701025,0.0264746925,0.985086467114955,0.998472379951766,1.00726044385407,936.407622991739,1917.92586363278
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","JHDN7CF1C03X5","level",0.030688414143425,-0.00404249625,0.0686033325,1.0313505582728,1.00307536616393,1.00085203378269,1935.14393876776,3454.00568413358
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","L69HYJ4Y3TR91","level",-0.0219203370108425,-0.321995825,0.1268442,0.983129917517493,0.997862358280156,1.00766484040018,773.576495704004,1177.52774847368
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","W8T41JZK0ZMEP","level",0.0124001811820425,-0.0140033575,0.038294335,1.01256764214339,1.00124167979113,1.00057782700639,4115.00124347679,4916.00105104612
"model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","meat",1,"pooled",NA,"level",-0.010872940965275,-0.1624127125,0.15050694925,0.992128360446511,0.998942880985912,1.02193288153117,117.933100054522,100.728989566456
"model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","meat",2,"pooled",NA,"slope",-0.002568131790275,-2.76421875,2.7605443,2.76784005314822,1.01002817437525,1.00236505393679,470.849316998645,1006.82944309253
"model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","meat",NA,"restaurant","2HRX9P6HKXA8V","level",0.0743129050223632,-0.1469126775,0.2835443075,1.08350453250655,1.00751834997467,1.0077159350856,395.553521422277,680.904720893221
