"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"untextured","SRQS8F7JWA9MZ","level change","Base",0.16517775,-0.105522045,0.403163095
"untextured","SRQS8F7JWA9MZ","level change","Base",0.1116752,-0.171748035,0.3412469975
"untextured","pooled","level change","Base",0.179623545,-0.2621895325,0.7149
"untextured","SRQS8F7JWA9MZ","slope change","Base",-0.70243385,-1.998761135,0.629144030000001
"untextured","SRQS8F7JWA9MZ","slope change","Base",0.52626285,-0.922538745,1.789317675
"untextured","pooled","slope change","Base",-0.2366511,-1.018506625,0.416686705
"untextured","SRQS8F7JWA9MZ","gender x level","Female",0.0564732,-0.12551918,0.3059734375
"untextured","SRQS8F7JWA9MZ","gender x level","Female",-0.01735191175,-0.2796200825,0.1687141625
"untextured","pooled","gender x level","Female",-0.069806615,-0.572601335,0.32839015
"untextured","SRQS8F7JWA9MZ","gender x level","Male",-0.21222135,-0.470737,-0.00376244249999985
"untextured","SRQS8F7JWA9MZ","gender x level","Male",0.113470855,-0.108951550175,0.3802866
"untextured","pooled","gender x level","Male",-0.11539425,-0.69159451,0.366494315
"breakfast","2HRX9P6HKXA8V","level change","Base",0.057643,-0.1589141875,0.31996086
"breakfast","ED5J990H5VAZT","level change","Base",0.044528185,-0.043439245,0.13095988
"breakfast","L69HYJ4Y3TR91","level change","Base",-0.0188418,-0.32050802,0.17424644641
"breakfast","pooled","level change","Base",0.027356685,-0.2051274075,0.465597220500001
"breakfast","2HRX9P6HKXA8V","slope change","Base",0.02776382,-0.2278396625,0.280441885
"breakfast","ED5J990H5VAZT","slope change","Base",0.10687455,-0.08256168,0.291388668
"breakfast","L69HYJ4Y3TR91","slope change","Base",0.135742265,-0.4843306925,0.914123562500001
"breakfast","pooled","slope change","Base",0.0898843,-0.406622325,0.535075800000001
"breakfast","2HRX9P6HKXA8V","gender x level","Female",0.0726276,-0.17738087675,0.3436742325
"breakfast","ED5J990H5VAZT","gender x level","Female",-0.0621234,-0.1179077125,-0.00471975999999997
"breakfast","L69HYJ4Y3TR91","gender x level","Female",-0.01574405,-0.22048689,0.17449695
"breakfast","pooled","gender x level","Female",-0.0142883,-0.3734234825,0.334054265
"breakfast","2HRX9P6HKXA8V","gender x level","Male",-0.0411994,-0.265774285,0.1925127125
"breakfast","ED5J990H5VAZT","gender x level","Male",-0.05589761,-0.11294519525,0.00388900500000001
"breakfast","L69HYJ4Y3TR91","gender x level","Male",-0.2709133,-0.487167005,-0.0471823025
"breakfast","pooled","gender x level","Male",-0.0808719,-0.48979889,0.354508707500001
