outcome,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,0.9142546096168277,0.6363213175164044,0.8090345075336399,1.0313851599577024,1.2696136168757353,0.9142546096168277,0.9910754443839075,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8090345075336399,1.0313851599577024
Breakfast-style meat,Form: Presence,0.6628245362693688,0.18886715739084434,0.3614221799518264,1.3414829125063565,3.0158782280028986,0.6628245362693688,0.9597096410588816,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.3614221799518264,1.3414829125063565
Chicken,Form: Count,1.045500243197389,0.6655099743538049,0.9208082335859058,1.2101374270091507,1.6953992753147031,1.045500243197389,1.0044594611840838,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9208082335859058,1.2101374270091507
Chicken,Form: Presence,0.9908237412067915,0.21427305513047315,0.4877845349170384,2.034055667220113,4.571226627343282,0.9908237412067915,0.9990785627842327,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.4877845349170384,2.034055667220113
Dairy,Form: Count,1.0049850753472254,0.8699698352596014,0.9471103669281757,1.076851383894783,1.1769179394157245,1.0049850753472254,1.0004973927587753,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9471103669281757,1.076851383894783
Dairy,Form: Presence,0.9553772312036174,0.21344215335470348,0.4670820830388093,2.08662235626154,4.509986226415245,0.9553772312036174,0.995445502324501,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.4670820830388093,2.08662235626154
Egg,Form: Count,1.030854793840484,0.5574198607578944,0.8814678211338567,1.1884979506734612,1.7958680996352043,1.030854793840484,1.0030434574411853,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8814678211338567,1.1884979506734612
Egg,Form: Presence,0.8479170681208285,0.18756384230175216,0.42478302187104694,1.7725444480789936,4.034421600112863,0.8479170681208285,0.9836380898016945,NA,Pooled,POOLED,finalized_uncontaminated,NA,Exposure: Egg Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.42478302187104694,1.7725444480789936
Breakfast-style meat,Form: Count,1.0362767801886044,0.8128160108204484,0.9220685255730491,1.1678304385579685,1.3226222150279323,1.0362767801886044,1.0035697836043003,NA,Restaurant,2HRX9P6HKXA8V,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9220685255730491,1.1678304385579685
Breakfast-style meat,Form: Count,0.9311881463696677,0.8162427991897586,0.8729038540722314,0.9939472818462729,1.0599992780618317,0.9311881463696677,0.9928959606850777,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8729038540722314,0.9939472818462729
Breakfast-style meat,Form: Count,0.8532422565314196,0.6290338834327831,0.7449007378982359,0.961352475406174,1.119362278002848,0.8532422565314196,0.9842541067998524,NA,Restaurant,L69HYJ4Y3TR91,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7449007378982359,0.961352475406174
Breakfast-style meat,Form: Presence,2.1895129569315657,0.1994929601985781,0.5851039921438667,12.21322905221262,88.5103303658922,2.1895129569315657,1.0815204903893847,NA,Restaurant,2HRX9P6HKXA8V,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.5851039921438667,12.21322905221262
Breakfast-style meat,Form: Presence,0.4948048507776675,0.3182642155248668,0.391093605575358,0.6191587472402645,0.7766741060742515,0.4948048507776675,0.9320589795684981,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.391093605575358,0.6191587472402645
Breakfast-style meat,Form: Presence,0.43394629360196113,0.03347797800669234,0.13679481240073046,1.236741589330053,4.158847501578844,0.43394629360196113,0.9199063109947018,NA,Restaurant,L69HYJ4Y3TR91,finalized_uncontaminated,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.13679481240073046,1.236741589330053
Chicken,Form: Count,1.0695021095477049,1.017800183130129,1.0430148297520296,1.096381709211243,1.1239384216844497,1.0695021095477049,1.0067419474925692,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0430148297520296,1.096381709211243
Chicken,Form: Count,1.0756472140544502,0.9987645160395141,1.0360481445387275,1.122674326476852,1.1765609308241394,1.0756472140544502,1.0073189072321904,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0360481445387275,1.122674326476852
Chicken,Form: Presence,2.3479043515524114,0.29266422964590794,0.9299475152894445,7.389026675767846,45.25240962005183,2.3479043515524114,1.0891007072623102,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.9299475152894445,7.389026675767846
Chicken,Form: Presence,0.7347011397820677,0.27000931249670956,0.4486763869762738,1.1947734392223615,1.9495250294197648,0.7347011397820677,0.9696412245519563,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.4486763869762738,1.1947734392223615
Dairy,Form: Count,1.016977233116785,0.979669538200085,0.9989475072194633,1.0355406974682888,1.055432403584078,1.016977233116785,1.0016848908862732,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9989475072194633,1.0355406974682888
Dairy,Form: Count,1.0381863312411896,0.9967495962165797,1.017121923613784,1.0587426770495305,1.079487992655798,1.0381863312411896,1.003754558612409,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.017121923613784,1.0587426770495305
Dairy,Form: Count,1.0262972862923974,0.9968924843528534,1.0113877795463484,1.042844365871567,1.0595656550893464,1.0262972862923974,1.0025991176148694,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0113877795463484,1.042844365871567
Dairy,Form: Presence,0.7453915162312035,0.5228607201100031,0.6200714129738963,0.8988325715840595,1.0839463483277656,0.7453915162312035,0.9710429612342959,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6200714129738963,0.8988325715840595
