outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Level change,0.988846417614655,0.8559159796691386,1.135251920281627,0.988846417614655,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9201057502884907,1.0627226678267698
nonvegan,Slope change,0.9661424421483689,0.5570225514675656,1.8353189984223148,0.9661424421483689,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7127536184267963,1.3096127390846533
meat,Level change,0.9546260365071749,0.8216081136422376,1.0705888674214858,0.9546260365071749,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8922925230178269,1.0213140265876588
meat,Slope change,0.9329944749161215,0.5309731627382589,1.7771886755761843,0.9329944749161215,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6855466116536328,1.2697585772093525
chicken_fish,Level change,0.9070657135027751,0.6418606650368833,1.0556174111075611,0.9070657135027751,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.798950603261533,1.0298111112921569
chicken_fish,Slope change,0.9194736428530379,0.38049314979855425,1.8063523578881535,0.9194736428530379,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6179795066046596,1.3680579547798573
vegetarian,Level change,1.0248484520492815,0.8129708885638226,1.2740493115702396,1.0248484520492815,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9138741083207396,1.1492987273682371
vegetarian,Slope change,0.7869913671017946,0.48619596071585447,1.5577109049500169,0.7869913671017946,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.5847511880267382,1.0591776888607725
vegan,Level change,1.0432117755095893,0.899586795225634,1.2874578723299512,1.0432117755095893,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.952041007609938,1.143113374174902
vegan,Slope change,0.59557556790054,0.3153903274463589,1.3070002749378227,0.59557556790054,NA,NA,Pooled,POOLED,NA,Exposure: Introductions,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.41440969491730995,0.8559410202766337
