outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,0.7967244850353296,0.49776653492627665,1.3376038255214504,0.7967244850353296,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6191450385995729,1.0252361974676882
Breakfast-style meat,Slope change,0.40576071434381267,0.16263177490609068,1.14493715610257,0.40576071434381267,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.24663321594034923,0.6675571117907388
Ground meat,Level change,1.0009567574006375,0.4879948543740758,2.323676123228128,1.0009567574006375,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.6722290349803824,1.4904361133631152
Ground meat,Slope change,0.42508207969948375,0.15007894474984118,1.6334044723499974,0.42508207969948375,NA,NA,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.23120096386778735,0.7815485344817544
Breakfast-style meat,Level change,0.841491850407562,0.6605242513762538,1.0911220086048496,0.841491850407562,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7403577231900679,0.9564410718256989
Breakfast-style meat,Level change,0.8104308574164869,0.5933938263729365,1.1562446323016324,0.8104308574164869,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.683614391020275,0.9607728907996942
Breakfast-style meat,Level change,0.7308155329378027,0.49340804613029243,0.9692871181696084,0.7308155329378027,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6151769602811238,0.8681913947802844
Breakfast-style meat,Slope change,0.28757401741543676,0.1558688157792397,0.5342910238452371,0.28757401741543676,NA,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.2100222452780028,0.39376217211175385
Breakfast-style meat,Slope change,0.34420672752520226,0.07878697008831646,1.4220674664265611,0.34420672752520226,NA,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.16454790758726479,0.7200229587287592
Breakfast-style meat,Slope change,0.6215710837962767,0.33486643605555944,1.153542364643812,0.6215710837962767,NA,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.4533772230471786,0.8521614950459789
Ground meat,Level change,1.01263777012375,0.8639887898265876,1.2235393252671043,1.01263777012375,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9266285934068531,1.1066302732047948
Ground meat,Level change,0.9900626302259663,0.8524684835079454,1.1722463056745307,0.9900626302259663,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9127917666282493,1.073874729820139
Ground meat,Slope change,1.6756598030791283,0.41868108814883076,4.746001267117758,1.6756598030791283,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.9019758430525605,3.112983343492452
Ground meat,Slope change,0.5865367224357682,0.2182879317111461,2.315393554422777,0.5865367224357682,NA,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.3211173761016578,1.0713382469118813
Whole-muscle meat,Level change,1.1646629711342362,1.0581073094562525,1.2863073575251542,1.1646629711342362,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle
Analog Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.1080612777026595,1.2241559773151984
Whole-muscle meat,Slope change,0.3892196273333617,0.1637791344479319,1.0426431036933246,0.3892196273333617,NA,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,"Exposure: Whole-Muscle
Analog Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.24273032804595115,0.6241161519496735
